"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"San Diego-Carlsbad-San Marcos","CA",1531,914,52,185,380,45
"San Francisco-Oakland-Fremont","CA",2119,798,8,12,1301,37
"San Jose-Sunnyvale-Santa Clara","CA",232,230,2,0,0,0
"San Luis Obispo-Paso Robles","CA",253,208,8,7,30,6
"Sandusky","OH",51,15,0,4,32,4
"Santa Barbara-Santa Maria-Goleta","CA",142,43,0,23,76,7
"Santa Cruz-Watsonville","CA",30,30,0,0,0,0
"Santa Fe","NM",55,55,0,0,0,0
"Santa Rosa-Petaluma","CA",147,112,0,0,35,2
"Sarasota-Bradenton-Venice","FL",988,806,6,25,151,16
"Savannah","GA",184,177,0,0,7,1
"Scranton--Wilkes-Barre","PA",40,40,0,0,0,0
"Seattle-Tacoma-Bellevue","WA",1908,1206,50,65,587,18
"Sheboygan","WI",54,26,4,0,24,2
"Sherman-Denison","TX",3,3,0,0,0,0
"Shreveport-Bossier City","LA",155,155,0,0,0,0
"Sioux City","IA-NE-SD",26,24,2,0,0,0
"Sioux Falls","SD",223,157,0,0,66,1
"South Bend-Mishawaka","IN-MI",140,80,0,0,60,1
"Spartanburg","SC",145,145,0,0,0,0
"Spokane","WA",183,162,4,12,5,1
"Springfield","IL",78,51,12,0,15,1
"Springfield","MA",98,94,4,0,0,0
"Springfield","MO",396,303,26,0,67,3
"Springfield","OH",23,23,0,0,0,0
"St. Cloud","MN",138,113,0,0,25,3
"St. George","UT",344,322,2,0,20,3
"St. Joseph","MO-KS",14,14,0,0,0,0
"St. Louis","MO-IL",1285,1182,34,9,60,4
"State College","PA",25,25,0,0,0,0
"Stockton","CA",705,549,0,0,156,7
"Sumter","SC",60,47,2,0,11,1
"Syracuse","NY",130,101,0,0,29,2
"Tallahassee","FL",98,98,0,0,0,0
"Tampa-St. Petersburg-Clearwater","FL",2219,1870,20,6,323,16
"Terre Haute","IN",21,19,2,0,0,0
"Texarkana","TX-Texarkana",49,19,30,0,0,0
"Toledo","OH",223,211,0,0,12,2
"Topeka","KS",94,94,0,0,0,0
"Trenton-Ewing","NJ",63,56,2,0,5,1
"Tucson","AZ",923,791,6,0,126,5
"Tulsa","OK",389,366,12,0,11,1
"Tuscaloosa","AL",99,99,0,0,0,0
"Tyler","TX",43,36,0,0,7,1
"Utica-Rome","NY",13,13,0,0,0,0
"Valdosta","GA",80,80,0,0,0,0
"Vallejo-Fairfield","CA",323,180,6,3,134,6
"Vero Beach","FL",367,179,0,0,188,13
"Victoria","TX",11,11,0,0,0,0
"Vineland-Millville-Bridgeton","NJ",24,24,0,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",681,619,14,12,36,3
"Visalia-Porterville","CA",210,193,4,8,5,1
"Waco","TX",72,64,8,0,0,0
"Warner Robins","GA",134,110,0,12,12,2
"Washington-Arlington-Alexandria","DC-VA-MD-WV",3061,2456,0,0,605,21
"Waterloo-Cedar Falls","IA",38,34,4,0,0,0
"Wausau","WI",85,77,8,0,0,0
"Weirton-Steubenville","WV-OH",15,10,0,0,5,1
"Wenatchee","WA",95,64,0,31,0,0
"Wheeling","WV-OH",3,3,0,0,0,0
"Wichita Falls","TX",15,15,0,0,0,0
"Wichita","KS",258,250,8,0,0,0
"Williamsport","PA",3,3,0,0,0,0
"Wilmington","NC",656,570,10,24,52,7
"Winchester","VA-WV",127,127,0,0,0,0
"Winston-Salem","NC",429,309,0,0,120,5
"Worcester","MA",398,290,14,18,76,3
"Yakima","WA",34,22,12,0,0,0
"York-Hanover","PA",184,170,0,0,14,2
"Youngstown-Warren-Boardman","OH-PA",120,107,10,3,0,0
"Yuba City-Marysville","CA",229,229,0,0,0,0
"Yuma","AZ",233,233,0,0,0,0
