"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Monroe","LA MSA",39,39,0,0,0,0
"Montgomery","AL MSA",115,110,0,0,5,1
"Muncie","IN MSA",23,23,0,0,0,0
"Myrtle Beach","SC MSA",411,160,0,8,243,5
"Naples","FL MSA",637,386,10,176,65,6
"Nashville","TN MSA",1264,898,10,8,348,35
"New London-Norwich","CT-RI MSA",95,95,0,0,0,0
"New Orleans","LA MSA",296,281,2,3,10,1
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",4002,2558,466,327,651,35
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",608,581,6,12,9,1
"Ocala","FL MSA",241,241,0,0,0,0
"Odessa-Midland","TX MSA",27,27,0,0,0,0
"Oklahoma City","OK MSA",425,415,10,0,0,0
"Omaha","NE-IA MSA",502,420,2,0,80,6
"Orlando","FL MSA",2809,1592,24,24,1169,71
"Owensboro","KY MSA",79,71,0,8,0,0
"Panama City","FL MSA",62,50,12,0,0,0
"Parkersburg-Marietta","WV-OH MSA",36,16,0,20,0,0
"Pensacola","FL MSA",285,285,0,0,0,0
"Peoria-Pekin","IL MSA",126,102,2,0,22,2
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",1901,1639,34,25,203,19
"Phoenix-Mesa","AZ MSA",3914,3451,12,45,406,20
"Pine Bluff","AR MSA",24,22,2,0,0,0
"Pittsburgh","PA MSA",540,497,6,11,26,3
"Pittsfield","MA MSA",0,0,0,0,0,0
"Pocatello","ID MSA",17,13,4,0,0,0
"Portland","ME MSA",130,127,0,3,0,0
"Portland-Salem","OR-WA CMSA",1345,1126,52,29,138,16
"Providence-Fall River- Warwick","RI-MA MSA",239,231,8,0,0,0
"Provo-Orem","UT MSA",318,248,6,16,48,3
"Pueblo","CO MSA",117,105,12,0,0,0
"Punta Gorda","FL MSA",493,111,2,12,368,44
"Raleigh-Durham-Chapel Hill NC MSA","1886",1385,8,28,465,27,NA
"Rapid City","SD MSA",42,39,0,3,0,0
"Reading","PA MSA",110,100,2,3,5,1
"Redding","CA MSA",125,125,0,0,0,0
"Reno","NV MSA",466,346,4,4,112,8
"Richland-Kennewick-Pasco","WA MSA",90,90,0,0,0,0
"Richmond-Petersburg","VA MSA",736,648,0,0,88,7
"Roanoke","VA MSA",94,78,2,0,14,1
"Rochester","MN MSA",172,110,12,8,42,3
"Rochester","NY MSA",195,185,0,0,10,2
"Rockford","IL MSA",180,132,8,4,36,3
"Rocky Mount","NC MSA",72,56,4,0,12,1
"Sacramento-Yolo","CA CMSA",1408,1238,0,56,114,11
