"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Pueblo","CO MSA",85,77,8,0,0,0
"Punta Gorda","FL MSA",352,86,2,0,264,18
"Raleigh-Durham-Chapel Hill NC MSA","1261",966,12,21,262,21,NA
"Rapid City","SD MSA",28,23,0,0,5,1
"Reading","PA MSA",72,72,0,0,0,0
"Redding","CA MSA",67,67,0,0,0,0
"Reno","NV MSA",476,328,0,0,148,12
"Richland-Kennewick-Pasco","WA MSA",67,59,0,3,5,1
"Richmond-Petersburg","VA MSA",399,394,0,0,5,1
"Roanoke","VA MSA",157,59,2,0,96,4
"Rochester","MN MSA",203,67,4,60,72,10
"Rochester","NY MSA",193,151,2,0,40,5
"Rockford","IL MSA",144,134,2,8,0,0
"Rocky Mount","NC MSA",51,38,2,0,11,1
"Sacramento-Yolo","CA CMSA",1408,1095,2,0,311,25
"Saginaw-Bay City-Midland","MI MSA",25,23,2,0,0,0
"St. Cloud","MN MSA",62,54,0,3,5,1
"St. Joseph","MO MSA",8,8,0,0,0,0
"St. Louis","MO-IL MSA",722,667,18,16,21,3
"Salinas","CA MSA",88,86,2,0,0,0
"Salt Lake City-Ogden","UT MSA",584,458,14,45,67,5
"San Angelo","TX MSA",13,13,0,0,0,0
"San Antonio","TX MSA",901,527,2,124,248,24
"San Diego","CA MSA",859,714,0,49,96,9
"San Francisco-Oakland-San Jose","CA CMSA",2271,1290,18,27,936,33
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",135,120,2,3,10,2
"Santa Barbara-Santa Maria- Lompoc","CA MSA",38,33,0,0,5,1
"Santa Fe","NM MSA",64,31,0,3,30,4
"Sarasota-Bradenton","FL MSA",488,450,2,4,32,3
"Savannah","GA MSA",153,148,0,0,5,1
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",43,39,0,4,0,0
"Seattle-Tacoma-Bremerton WA CMSA","1863",972,36,112,743,30,NA
"Sharon","PA MSA",6,6,0,0,0,0
"Sheboygan","WI MSA",5,5,0,0,0,0
"Sherman-Denison","TX MSA",8,4,4,0,0,0
"Shreveport-Bossier City","LA MSA",52,52,0,0,0,0
"Sioux City","IA-NE MSA",17,11,2,4,0,0
"Sioux Falls","SD MSA",109,93,4,12,0,0
"South Bend","IN MSA",55,53,2,0,0,0
"Spokane","WA MSA",148,107,6,3,32,2
"Springfield","IL MSA",79,35,12,0,32,4
"Springfield","MO MSA",140,124,12,4,0,0
"Springfield","MA MSA",45,45,0,0,0,0
"State College","PA MSA",25,23,2,0,0,0
"Steubenville-Weirton","OH-WV MSA",1,1,0,0,0,0
"Stockton-Lodi","CA MSA",540,487,2,0,51,1
"Sumter","SC MSA",19,19,0,0,0,0
"Syracuse","NY MSA",69,51,2,16,0,0
"Tallahassee","FL MSA",438,106,2,6,324,17
"Tampa-St. Petersburg- Clearwater","FL MSA",1815,918,36,11,850,50
"Terre Haute","IN MSA",15,15,0,0,0,0
"Texarkana","TX-TexarkanaAR MSA",50,14,0,36,0,0
"Toledo","OH MSA",168,142,8,3,15,3
"Topeka","KS MSA",41,39,2,0,0,0
"Tucson","AZ MSA",360,360,0,0,0,0
"Tulsa","OK MSA",236,236,0,0,0,0
"Tuscaloosa","AL MSA",99,35,0,0,64,8
"Tyler","TX MSA",28,22,0,0,6,1
"Utica-Rome","NY MSA",7,7,0,0,0,0
"Victoria","TX MSA",10,10,0,0,0,0
"Visalia-Tulare-Porterville","CA MSA",124,117,0,0,7,1
