"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Lawrence","KS MSA",64,56,8,0,0,0
"Lawton","OK MSA",13,13,0,0,0,0
"Lewiston-Auburn","ME MSA",17,17,0,0,0,0
"Lexington","KY MSA",316,266,6,16,28,2
"Lima","OH MSA",5,5,0,0,0,0
"Lincoln","NE MSA",177,139,6,0,32,4
"Little Rock-North Little Rock","AR MSA",220,214,6,0,0,0
"Longview-Marshall","TX MSA",14,14,0,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",8130,5182,58,166,2724,138
"Louisville","KY-IN MSA",532,501,2,3,26,3
"Lubbock","TX MSA",145,141,4,0,0,0
"Lynchburg","VA MSA",90,90,0,0,0,0
"Macon","GA MSA",173,173,0,0,0,0
"Madison","WI MSA",436,211,22,24,179,8
"Mansfield","OH MSA",38,31,4,3,0,0
"McAllen-Edinburg-Mission","TX MSA",497,464,6,12,15,2
"Medford-Ashland","OR MSA",164,139,4,16,5,1
"Melbourne-Titusville-Palm Bay","FL MSA",567,536,4,0,27,2
"Memphis","TN-AR-MS MSA",827,631,0,0,196,13
"Merced","CA MSA",166,166,0,0,0,0
"Miami-Fort Lauderdale","FL CMSA",2623,967,54,4,1598,58
"Milwaukee-Racine","WI CMSA",813,357,32,7,417,21
"Minneapolis-St. Paul","MN-WI MSA",2977,1678,32,138,1129,56
"Missoula","MT MSA",200,30,26,0,144,8
"Mobile","AL MSA",351,324,0,0,27,3
"Modesto","CA MSA",300,235,6,0,59,11
"Monroe","LA MSA",93,49,0,44,0,0
"Montgomery","AL MSA",121,121,0,0,0,0
"Muncie","IN MSA",29,24,0,0,5,1
"Myrtle Beach","SC MSA",275,220,0,4,51,5
"Naples","FL MSA",458,359,12,23,64,6
"Nashville","TN MSA",1012,950,10,3,49,4
"New London-Norwich","CT-RI MSA",91,89,2,0,0,0
"New Orleans","LA MSA",336,316,8,0,12,1
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",4749,2564,744,321,1120,74
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",1088,690,4,4,390,34
"Ocala","FL MSA",1078,452,4,4,618,48
"Odessa-Midland","TX MSA",29,29,0,0,0,0
"Oklahoma City","OK MSA",436,436,0,0,0,0
"Omaha","NE-IA MSA",450,398,2,0,50,5
"Orlando","FL MSA",2626,1678,36,0,912,56
"Owensboro","KY MSA",79,79,0,0,0,0
"Panama City","FL MSA",79,70,6,3,0,0
"Parkersburg-Marietta","WV-OH MSA",29,19,2,8,0,0
"Pensacola","FL MSA",273,257,0,0,16,1
"Peoria-Pekin","IL MSA",99,89,2,3,5,1
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",2074,1783,62,31,198,20
"Phoenix-Mesa","AZ MSA",4283,4023,8,35,217,11
"Pine Bluff","AR MSA",17,15,2,0,0,0
"Pittsburgh","PA MSA",841,448,16,19,358,45
"Pittsfield","MA MSA",2,2,0,0,0,0
"Pocatello","ID MSA",17,17,0,0,0,0
"Portland","ME MSA",142,113,8,16,5,1
"Portland-Salem","OR-WA CMSA",1356,1089,30,41,196,21
