"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Madison","WI",371,244,18,15,94,13
"Manchester-Nashua","NH",120,114,0,0,6,1
"Mansfield","OH",26,20,2,4,0,0
"McAllen-Edinburg-Pharr","TX",537,450,6,75,6,1
"Medford","OR",179,146,4,12,17,2
"Memphis","TN-MS-AR",1069,945,0,0,124,15
"Merced","CA",296,296,0,0,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",4429,1750,42,31,2606,48
"Michigan City-La Porte","IN",24,24,0,0,0,0
"Midland","TX",34,34,0,0,0,0
"Milwaukee-Waukesha-West Allis","WI",697,304,22,4,367,18
"Minneapolis-St. Paul-Bloomington","MN-WI",2083,1672,16,24,371,17
"Missoula","MT",47,36,2,9,0,0
"Mobile","AL",147,147,0,0,0,0
"Modesto","CA",306,281,2,0,23,1
"Monroe","LA",28,26,2,0,0,0
"Monroe","MI",55,55,0,0,0,0
"Montgomery","AL",125,125,0,0,0,0
"Morgantown","WV",9,1,0,0,8,1
"Morristown","TN",49,45,0,4,0,0
"Mount Vernon-Anacortes","WA",55,48,2,0,5,1
"Muncie","IN",12,12,0,0,0,0
"Muskegon-Norton Shores","MI",32,28,4,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",988,397,0,0,591,27
"Napa","CA",33,33,0,0,0,0
"Naples-Marco Island","FL",589,289,12,16,272,15
"Nashville-Davidson--Murfreesboro","TN",1194,1008,6,0,180,14
"New Haven-Milford","CT",178,124,6,4,44,4
"New Orleans-Metairie-Kenner","LA",449,418,16,4,11,1
"New York-Northern New Jersey-Long Island","NY-NJ-PA",5274,1867,658,457,2292,85
"Niles-Benton Harbor","MI",12,12,0,0,0,0
"Norwich-New London","CT",109,81,2,0,26,2
"Ocala","FL",646,634,0,12,0,0
"Ocean City","NJ",186,67,64,7,48,5
"Odessa","TX",15,15,0,0,0,0
"Ogden-Clearfield","UT",324,297,10,17,0,0
"Oklahoma City","OK",755,725,6,3,21,2
"Olympia","WA",144,139,0,0,5,1
"Omaha-Council Bluffs","NE-IA",594,552,2,0,40,1
"Orlando","FL",2997,2336,10,8,643,52
"Oshkosh-Neenah","WI",70,44,8,0,18,2
"Owensboro","KY",46,44,2,0,0,0
