"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Miami-Fort Lauderdale","FL CMSA",2679,1216,12,24,1427,28
"Milwaukee-Racine","WI CMSA",725,313,22,20,370,11
"Minneapolis-St. Paul","MN-WI MSA",1614,1040,22,32,520,14
"Missoula","MT MSA",31,17,4,4,6,1
"Mobile","AL MSA",314,307,2,0,5,1
"Modesto","CA MSA",223,216,4,3,0,0
"Monroe","LA MSA",31,31,0,0,0,0
"Montgomery","AL MSA",95,95,0,0,0,0
"Muncie","IN MSA",15,15,0,0,0,0
"Myrtle Beach","SC MSA",201,164,4,8,25,2
"Naples","FL MSA",1007,317,6,154,530,23
"Nashville","TN MSA",932,896,22,0,14,2
"New London-Norwich","CT-RI MSA",65,61,0,4,0,0
"New Orleans","LA MSA",339,323,4,3,9,1
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",3660,1929,324,158,1249,83
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",678,627,34,12,5,1
"Ocala","FL MSA",405,329,4,0,72,7
"Odessa-Midland","TX MSA",32,30,2,0,0,0
"Oklahoma City","OK MSA",578,498,8,0,72,4
"Omaha","NE-IA MSA",266,258,8,0,0,0
"Orlando","FL MSA",1938,1458,4,0,476,22
"Owensboro","KY MSA",75,66,0,4,5,1
"Panama City","FL MSA",239,119,0,4,116,6
"Parkersburg-Marietta","WV-OH MSA",14,6,0,8,0,0
"Pensacola","FL MSA",374,372,2,0,0,0
"Peoria-Pekin","IL MSA",58,58,0,0,0,0
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",1648,1497,28,15,108,14
"Phoenix-Mesa","AZ MSA",3144,2962,2,21,159,9
"Pine Bluff","AR MSA",14,10,4,0,0,0
"Pittsburgh","PA MSA",405,347,12,12,34,6
"Pittsfield","MA MSA",0,0,0,0,0,0
"Pocatello","ID MSA",14,14,0,0,0,0
"Portland","ME MSA",99,99,0,0,0,0
"Portland-Salem","OR-WA CMSA",1296,920,38,7,331,22
"Providence-Fall River- Warwick","RI-MA MSA",164,151,10,3,0,0
"Provo-Orem","UT MSA",276,146,4,0,126,5
"Pueblo","CO MSA",100,76,24,0,0,0
"Punta Gorda","FL MSA",142,114,0,28,0,0
"Raleigh-Durham-Chapel Hill","Hill NC MSA",1568,1190,16,34,328,16
"Rapid City","SD MSA",22,22,0,0,0,0
"Reading","PA MSA",146,49,0,0,97,2
"Redding","CA MSA",114,94,0,20,0,0
"Reno","NV MSA",238,212,0,0,26,3
"Richland-Kennewick-Pasco","WA MSA",72,70,2,0,0,0
"Richmond-Petersburg","VA MSA",556,551,0,0,5,1
"Roanoke","VA MSA",83,73,0,0,10,1
"Rochester","MN MSA",89,54,2,4,29,2
"Rochester","NY MSA",117,110,2,0,5,1
"Rockford","IL MSA",131,129,2,0,0,0
"Rocky Mount","NC MSA",38,34,4,0,0,0
"Sacramento-Yolo","CA CMSA",1572,1276,24,6,266,11
"Saginaw-Bay City-Midland","MI MSA",31,27,4,0,0,0
"St. Cloud","MN MSA",56,48,0,3,5,1
"St. Joseph","MO MSA",10,10,0,0,0,0
"St. Louis","MO-IL MSA",935,755,66,27,87,6
