"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Macon","GA",61,61,0,0,0,0
"Madera","CA",137,118,16,3,0,0
"Madison","WI",368,263,36,38,31,5
"Manchester-Nashua","NH",143,113,18,0,12,2
"Mansfield","OH",44,36,4,4,0,0
"McAllen-Edinburg-Pharr","TX",804,629,10,111,54,6
"Medford","OR",179,158,4,12,5,1
"Memphis","TN-MS-AR",758,758,0,0,0,0
"Merced","CA",239,239,0,0,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",4330,2127,44,23,2136,48
"Michigan City-La Porte","IN",25,25,0,0,0,0
"Midland","TX",35,35,0,0,0,0
"Milwaukee-Waukesha-West Allis","WI",578,340,42,24,172,7
"Minneapolis-St. Paul-Bloomington","MN-WI",2174,1633,28,51,462,21
"Missoula","MT",36,36,0,0,0,0
"Mobile","AL",125,125,0,0,0,0
"Modesto","CA",384,303,12,0,69,3
"Monroe","LA",29,27,2,0,0,0
"Monroe","MI",36,36,0,0,0,0
"Montgomery","AL",165,143,6,0,16,3
"Morgantown","WV",1,1,0,0,0,0
"Morristown","TN",54,46,0,8,0,0
"Mount Vernon-Anacortes","WA",58,40,0,0,18,3
"Muncie","IN",19,19,0,0,0,0
"Muskegon-Norton Shores","MI",34,28,6,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",779,553,22,0,204,11
"Napa","CA",77,77,0,0,0,0
"Naples-Marco Island","FL",492,392,12,40,48,5
"Nashville-Davidson--Murfreesboro","TN",1550,1223,12,16,299,23
"New Haven-Milford","CT",171,128,4,4,35,2
"New Orleans-Metairie-Kenner","LA",441,408,14,3,16,2
"New York-Northern New Jersey-Long Island","NY-NJ-PA",6375,1606,762,455,3552,126
"Niles-Benton Harbor","MI",13,13,0,0,0,0
"Norwich-New London","CT",128,67,2,4,55,7
"Ocala","FL",771,481,0,0,290,30
"Ocean City","NJ",185,119,28,20,18,3
"Odessa","TX",116,16,0,0,100,7
"Ogden-Clearfield","UT",355,319,2,24,10,1
"Oklahoma City","OK",953,772,4,7,170,15
"Olympia","WA",224,224,0,0,0,0
"Omaha-Council Bluffs","NE-IA",590,505,2,3,80,4
"Orlando","FL",4456,2834,14,8,1600,84
"Oshkosh-Neenah","WI",53,45,8,0,0,0
"Owensboro","KY",48,48,0,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",573,368,18,10,177,10
"Palm Bay-Melbourne-Titusville","FL",585,507,2,0,76,4
"Panama City-Lynn Haven","FL",188,134,2,4,48,3
"Parkersburg-Marietta","WV-OH",16,16,0,0,0,0
"Pascagoula","MS",88,88,0,0,0,0
"Pensacola-Ferry Pass-Brent","FL",355,296,4,0,55,3
"Peoria","IL",69,59,10,0,0,0
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",1790,1368,10,75,337,24
"Phoenix-Mesa-Scottsdale","AZ",6078,4644,12,32,1390,50
"Pine Bluff","AR",7,7,0,0,0,0
"Pittsburgh","PA",601,444,10,9,138,14
"Pittsfield","MA",10,10,0,0,0,0
"Pocatello","ID",65,49,0,16,0,0
"Port St. Lucie-Fort Pierce","FL",1007,817,0,15,175,18
"Portland-South Portland-Biddeford","ME",321,255,10,3,53,7
"Portland-Vancouver-Beaverton","OR-WA",1389,948,30,24,387,37
"Prescott","AZ",308,304,4,0,0,0
"Providence-New Bedford-Fall River","RI-MA",326,274,14,4,34,5
"Provo-Orem","UT",439,420,4,3,12,1
"Pueblo","CO",115,95,20,0,0,0
"Punta Gorda","FL",243,199,12,11,21,2
"Racine","WI",48,46,2,0,0,0
"Raleigh-Cary","NC",1515,1308,10,0,197,39
"Rapid City","SD",132,112,4,16,0,0
"Reading","PA",57,52,2,3,0,0
"Redding","CA",147,115,0,16,16,2
"Reno-Sparks","NV",938,376,2,0,560,55
"Richmond","VA",801,777,2,22,0,0
"Riverside-San Bernardino-Ontario","CA",4425,4076,4,237,108,15
"Roanoke","VA",174,134,0,8,32,1
"Rochester","MN",125,120,0,0,5,1
"Rochester","NY",163,154,0,0,9,1
"Rockford","IL",282,260,18,4,0,0
"Rocky Mount","NC",53,47,6,0,0,0
"Rome","GA",50,37,6,0,7,1
"Sacramento--Arden-Arcade--Roseville","CA",1841,1727,8,18,88,9
"Saginaw-Saginaw Township North","MI",30,28,2,0,0,0
"Salem","OR",157,123,6,4,24,2
"Salinas","CA",95,69,0,0,26,2
"Salisbury","MD",58,58,0,0,0,0
"Salt Lake City","UT",711,661,4,12,34,4
"San Angelo","TX",22,22,0,0,0,0
"San Antonio","TX",1437,1099,12,7,319,18
"San Diego-Carlsbad-San Marcos","CA",1024,854,126,15,29,5
"San Francisco-Oakland-Fremont","CA",1239,784,4,34,417,14
"San Jose-Sunnyvale-Santa Clara","CA",673,225,2,14,432,29
"San Luis Obispo-Paso Robles","CA",147,130,2,0,15,3
"Sandusky","OH",0,0,0,0,0,0
"Santa Barbara-Santa Maria-Goleta","CA",97,86,2,3,6,1
"Santa Cruz-Watsonville","CA",18,18,0,0,0,0
"Santa Fe","NM",52,52,0,0,0,0
"Santa Rosa-Petaluma","CA",118,116,2,0,0,0
"Sarasota-Bradenton-Venice","FL",1113,943,2,0,168,17
"Savannah","GA",246,230,0,0,16,2
"Scranton--Wilkes-Barre","PA",33,33,0,0,0,0
"Seattle-Tacoma-Bellevue","WA",2096,1607,48,99,342,18
"Sheboygan","WI",55,19,0,0,36,3
"Sherman-Denison","TX",4,4,0,0,0,0
"Shreveport-Bossier City","LA",153,153,0,0,0,0
"Sioux City","IA-NE-SD",21,21,0,0,0,0
"Sioux Falls","SD",230,142,0,4,84,10
"South Bend-Mishawaka","IN-MI",114,78,0,0,36,1
"Spartanburg","SC",160,160,0,0,0,0
"Spokane","WA",188,182,6,0,0,0
"Springfield","IL",48,32,16,0,0,0
"Springfield","MA",87,63,6,8,10,2
"Springfield","MO",637,252,20,12,353,22
"Springfield","OH",23,23,0,0,0,0
"St. Cloud","MN",125,118,2,0,5,1
"St. George","UT",335,306,8,0,21,1
"St. Joseph","MO-KS",23,10,2,0,11,1
"St. Louis","MO-IL",1470,1297,36,20,117,6
"State College","PA",38,32,2,4,0,0
"Stockton","CA",608,602,6,0,0,0
"Sumter","SC",60,54,2,4,0,0
"Syracuse","NY",109,101,4,4,0,0
"Tallahassee","FL",357,224,12,4,117,8
"Tampa-St. Petersburg-Clearwater","FL",3058,2117,48,16,877,40
"Texarkana","TX-TexarkanaAR",16,16,0,0,0,0
"Toledo","OH",214,196,10,8,0,0
"Topeka","KS",111,111,0,0,0,0
"Trenton-Ewing","NJ",80,78,2,0,0,0
"Tucson","AZ",1073,995,12,3,63,4
"Tulsa","OK",434,426,0,8,0,0
"Tuscaloosa","AL",112,112,0,0,0,0
"Tyler","TX",52,40,0,3,9,1
"Utica-Rome","NY",2,2,0,0,0,0
"Valdosta","GA",110,78,0,0,32,3
"Vallejo-Fairfield","CA",169,169,0,0,0,0
"Vero Beach","FL",363,333,6,3,21,3
"Victoria","TX",29,13,0,4,12,1
"Vineland-Millville-Bridgeton","NJ",38,38,0,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",869,712,10,3,144,13
"Visalia-Porterville","CA",280,272,0,8,0,0
"Waco","TX",48,48,0,0,0,0
"Warner Robins","GA",114,114,0,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",2923,2434,2,16,471,8
"Waterloo-Cedar Falls","IA",55,55,0,0,0,0
"Wausau","WI",111,77,2,0,32,2
"Weirton-Steubenville","WV-OH",5,5,0,0,0,0
"Wenatchee","WA",45,45,0,0,0,0
"Wheeling","WV-OH",0,0,0,0,0,0
"Wichita Falls","TX",31,27,4,0,0,0
"Wichita","KS",311,253,58,0,0,0
"Williamsport","PA",12,8,4,0,0,0
"Wilmington","NC",837,668,12,0,157,7
"Winchester","VA-WV",92,92,0,0,0,0
"Winston-Salem","NC",297,293,0,4,0,0
"Worcester","MA",224,190,10,24,0,0
"Yakima","WA",48,48,0,0,0,0
"York-Hanover","PA",162,135,2,7,18,3
"Youngstown-Warren-Boardman","OH-PA",96,89,4,3,0,0
"Yuba City-Marysville","CA",292,280,0,0,12,1
"Yuma","AZ",219,214,0,0,5,1
