"fips_msa","max_hpi","max_time","hpi_2009","time","percent_change","rank"
10740,184.57,2008,179.15,2009,3.02539771141501,161
49620,192.26,2008,186.7,2009,2.97803963577931,162
39380,176.2,2007,171.12,2009,2.96867695184663,163
38860,244.61,2008,237.66,2009,2.92434570394681,164
39540,190.4,2007,185.11,2009,2.85776025066176,165
41780,164.48,2006.75,159.95,2009,2.83213504220068,166
43300,174.95,2008.25,170.14,2009,2.82708357822969,167
31740,208.87,2007.25,203.13,2009,2.82577659626841,168
10180,174.19,2008.75,169.49,2009,2.77302495722461,169
10500,173.47,2008,168.82,2009,2.75441298424357,170
30340,209.31,2008,203.76,2009,2.72379269729093,171
27500,172.12,2008,167.58,2009,2.70915383697339,172
21060,177.67,2008.25,173.09,2009,2.64602230053728,173
44220,152.82,2007.25,149.02,2009,2.54999328949133,174
24300,261.67,2008.5,255.22,2009,2.52723140819685,175
37964,224.75,2008,219.34,2009,2.46649038023162,176
21820,184.22,2008,179.86,2009,2.42410763927498,177
41660,183.48,2008.75,179.14,2009,2.4226861672435,178
36260,193.55,2007.75,189,2009,2.40740740740742,179
21340,180.03,2008,175.86,2009,2.37120436711021,180
30020,160.51,2008.25,156.83,2009,2.34648982975195,181
48300,212.74,2008.75,207.95,2009,2.30343832652080,182
28020,169.87,2008,166.08,2009,2.28203275529863,183
13380,230.67,2008,225.57,2009,2.26093895464822,184
44060,198.79,2008,194.41,2009,2.25297052620749,185
24020,225.83,2008.75,221.04,2009,2.16702859211004,186
46220,188.03,2008.75,184.05,2009,2.16245585438739,187
29740,196.56,2008,192.42,2009,2.15154349859684,188
23460,190.07,2008.75,186.25,2009,2.05100671140939,189
12620,198,2007.75,194.05,2009,2.03555784591600,190
12020,195.13,2008.75,191.39,2009,1.95412508490517,191
42340,235.31,2008.25,230.86,2009,1.92757515377284,192
48700,173.37,2008.75,170.18,2009,1.87448583852392,193
33340,192.94,2008,189.4,2009,1.86906019007391,194
26620,173.63,2008.75,170.51,2009,1.82980470353644,195
17820,187.69,2007,184.38,2009,1.79520555374771,196
35660,191.67,2008,188.37,2009,1.7518713170887,197
23844,162.69,2008,159.97,2009,1.70031880977683,198
30980,183.44,2008.25,180.39,2009,1.69078108542602,199
33140,173.63,2008,170.75,2009,1.68667642752563,200
12060,185.25,2008,182.19,2009,1.67956528898404,201
29540,185.65,2008,182.62,2009,1.65918300295695,202
46660,190.78,2008.25,187.72,2009,1.63008736415939,203
15540,219.93,2008,216.52,2009,1.57491224829114,204
47580,160.32,2007.75,157.94,2009,1.50690135494492,205
24580,169.94,2008,167.44,2009,1.49307214524606,206
43100,180.52,2008,177.87,2009,1.48985213920278,207
39740,184.04,2008,181.36,2009,1.47772386413763,208
13900,198.09,2008.75,195.31,2009,1.42337821924121,209
13780,188.91,2008.75,186.34,2009,1.37919931308362,210
17420,187.76,2008,185.21,2009,1.37681550672208,211
29700,165.86,2008.75,163.61,2009,1.37522156347411,212
43780,164.05,2008.25,161.83,2009,1.37180992399431,213
34100,193.05,2008,190.44,2009,1.37051039697542,214
40420,157.15,2008,155.04,2009,1.36093911248712,215
16220,259.18,2008.25,255.81,2009,1.31738399593448,216
31540,188.53,2008,186.09,2009,1.31119350851738,217
32580,151.88,2008.5,149.94,2009,1.29385087368281,218
13740,208.29,2008.75,205.63,2009,1.29358556630841,219
15940,156.46,2008,154.54,2009,1.24239679047497,220
35380,210.54,2007,207.99,2009,1.22602048175393,221
31860,201.77,2007,199.33,2009,1.22410073747052,222
45460,148.84,2007.5,147.05,2009,1.21727303638217,223
28660,164.4,2008.5,162.45,2009,1.20036934441367,224
28140,181.18,2007.25,179.11,2009,1.15571436547373,225
13140,177.16,2008.75,175.19,2009,1.12449340715794,226
40340,190.19,2008,188.2,2009,1.05738575982997,227
41180,191.14,2008,189.16,2009,1.04673292450835,228
33540,235.75,2008.25,233.32,2009,1.04148808503344,229
24140,162.82,2008.25,161.17,2009,1.02376372774089,230
11300,153.59,2005.5,152.04,2009,1.01946856090503,231
