"industry","indust","fips","start","growth"
"A,f,f,ah",3,32900,697.172403119607,1.11868186629946
"A,f,f,ah",3,33100,908.935190199861,1.06216696123651
"A,f,f,ah",3,33140,19.4621724208253,1.23257127943259
"A,f,f,ah",3,33260,3.83078980887539,1.17979368137882
"A,f,f,ah",3,33540,31.3591354961732,1.03605130696320
"A,f,f,ah",3,33660,64.1717398821781,1.07654353527446
"A,f,f,ah",3,33700,591.298390111234,1.16016251348005
"A,f,f,ah",3,33740,91.2976757655803,0.960129246974363
"A,f,f,ah",3,33780,21.6034380595045,1.61834718742537
"A,f,f,ah",3,34060,12.9040157354473,1.03008692188601
"A,f,f,ah",3,34580,224.312756746643,1.01939585321916
"A,f,f,ah",3,34740,26,NA
"A,f,f,ah",3,34820,63.9065250640485,0.86748683853623
