"SumLev","State_Fips","County_Fips","County","HUCENSUS_2000","HUESTBASE_2000","Year","HousingUnitEst"
50,12,61,"Indian River County","57902",57902,2000,58394
50,12,63,"Jackson County","19490",19490,2000,19549
50,12,65,"Jefferson County","5251",5251,2000,5266
50,12,67,"Lafayette County","2660",2660,2000,2666
50,12,69,"Lake County","102830",102829,2000,104084
50,12,71,"Lee County","245405",245405,2000,247758
50,12,73,"Leon County","103974",103974,2000,104486
50,12,75,"Levy County","16570",16570,2000,16603
50,12,77,"Liberty County","3156",3156,2000,3156
50,12,79,"Madison County","7836",7836,2000,7844
50,12,81,"Manatee County","138128",138128,2000,138940
50,12,83,"Marion County","122663",122663,2000,123210
50,12,85,"Martin County","65471",65471,2000,65796
50,12,86,"Miami-Dade County","852278",852414,2000,855292
50,12,87,"Monroe County","51617",51617,2000,51650
50,12,89,"Nassau County","25917",25917,2000,26096
50,12,91,"Okaloosa County","78593",78592,2000,78937
50,12,93,"Okeechobee County","15504",15504,2000,15532
50,12,95,"Orange County","361349",361349,2000,363764
50,12,97,"Osceola County","72293",72293,2000,73529
50,12,99,"Palm Beach County","556428",556433,2000,558873
50,12,101,"Pasco County","173717",173719,2000,174530
50,12,103,"Pinellas County","481573",481587,2000,482099
50,12,105,"Polk County","226376",226376,2000,227468
50,12,107,"Putnam County","33870",33870,2000,33903
50,12,109,"St. Johns County","58008",58008,2000,58602
50,12,111,"St. Lucie County","91262",91262,2000,91754
50,12,113,"Santa Rosa County","49119",49119,2000,49366
50,12,115,"Sarasota County","182467",182471,2000,183314
50,12,117,"Seminole County","147079",147080,2000,148130
50,12,119,"Sumter County","25195",25195,2000,25656
50,12,121,"Suwannee County","15679",15680,2000,15706
50,12,123,"Taylor County","9646",9646,2000,9654
50,12,125,"Union County","3736",3736,2000,3742
50,12,127,"Volusia County","211938",211938,2000,212756
50,12,129,"Wakulla County","9820",9820,2000,9914
50,12,131,"Walton County","29083",29084,2000,29436
50,12,133,"Washington County","9503",9503,2000,9519
50,13,1,"Appling County","7854",7853,2000,7873
50,13,3,"Atkinson County","3171",3171,2000,3181
50,13,5,"Bacon County","4464",4464,2000,4475
50,13,7,"Baker County","1740",1740,2000,1745
50,13,9,"Baldwin County","17173",17192,2000,17244
50,13,11,"Banks County","5808",5808,2000,5845
50,13,13,"Barrow County","17304",17304,2000,17524
50,13,15,"Bartow County","28751",28751,2000,29100
50,13,17,"Ben Hill County","7623",7623,2000,7636
50,13,19,"Berrien County","7100",7100,2000,7121
50,13,21,"Bibb County","67194",67194,2000,67371
50,13,23,"Bleckley County","4866",4866,2000,4881
50,13,25,"Brantley County","6490",6490,2000,6515
50,13,27,"Brooks County","7118",7118,2000,7136
50,13,29,"Bryan County","8675",8675,2000,8766
50,13,31,"Bulloch County","22742",22742,2000,22890
50,13,33,"Burke County","8842",8842,2000,8864
50,13,35,"Butts County","7380",7388,2000,7466
50,13,37,"Calhoun County","2305",2305,2000,2310
50,13,39,"Camden County","16958",16958,2000,17094
50,13,43,"Candler County","3893",3893,2000,3902
50,13,45,"Carroll County","34067",34067,2000,34492
50,13,47,"Catoosa County","21794",21774,2000,21903
50,13,49,"Charlton County","3859",3859,2000,3870
50,13,51,"Chatham County","99683",99780,2000,100236
50,13,53,"Chattahoochee County","3316",3316,2000,3319
50,13,55,"Chattooga County","10677",10677,2000,10698
