"from_state","from_puma","to_state","to_puma","count"
1,2300,47,3190,5
1,2300,48,2500,5
1,2300,48,4700,1
1,2300,51,2300,1
1,2300,252,1,1
1,2300,301,1,1
1,2300,303,1,6
1,2300,344,1,1
1,2400,1,290,1
1,2400,1,700,2
1,2400,1,1000,1
1,2400,1,1300,1
1,2400,1,1400,2
1,2400,1,1700,1
1,2400,1,1990,4
1,2400,1,2290,18
1,2400,1,2400,91
1,2400,4,100,1
1,2400,4,900,1
1,2400,9,500,1
1,2400,12,100,4
1,2400,12,200,3
1,2400,12,1100,4
1,2400,12,3890,1
1,2400,13,500,5
1,2400,13,1100,2
1,2400,17,3100,2
1,2400,18,1600,5
1,2400,20,1500,1
1,2400,21,1700,1
1,2400,22,1490,2
1,2400,24,800,1
1,2400,28,300,1
1,2400,28,2000,2
1,2400,31,600,2
1,2400,37,3690,1
1,2400,47,2500,2
1,2400,47,2800,1
1,2400,47,3190,2
1,2400,48,4100,2
1,2400,51,300,2
1,2400,110,1,1
1,2400,113,1,2
1,2400,303,1,1
1,2400,333,1,3
1,2400,464,1,3
1,2400,501,1,1
1,2500,1,900,1
1,2500,1,1000,2
1,2500,1,1200,1
1,2500,1,1700,1
1,2500,1,1800,12
1,2500,1,1990,1
1,2500,1,2100,1
1,2500,1,2400,3
1,2500,1,2500,107
1,2500,1,2600,21
1,2500,6,2990,1
1,2500,12,100,2
1,2500,12,300,3
1,2500,12,400,2
1,2500,12,600,1
1,2500,12,1200,1
1,2500,12,2200,1
1,2500,12,2400,2
1,2500,12,2900,3
1,2500,13,3900,1
1,2500,26,1390,1
1,2500,27,1390,1
1,2500,40,1390,1
1,2500,48,2500,1
1,2500,48,5600,3
1,2500,207,1,1
1,2500,301,1,1
1,2500,303,1,3
1,2500,313,1,1
1,2500,362,1,1
1,2600,1,290,3
1,2600,1,600,1
1,2600,1,900,1
1,2600,1,1000,3
1,2600,1,1600,4
1,2600,1,1700,8
1,2600,1,1800,19
1,2600,1,1990,5
1,2600,1,2290,1
1,2600,1,2500,15
1,2600,1,2600,303
1,2600,4,900,1
1,2600,5,500,1
1,2600,6,2300,1
1,2600,6,4090,1
1,2600,6,7790,3
1,2600,8,190,1
1,2600,12,100,1
1,2600,12,300,4
1,2600,12,400,9
1,2600,12,500,6
1,2600,12,700,2
1,2600,12,1500,1
1,2600,12,1600,1
1,2600,12,2500,2
1,2600,12,2600,2
1,2600,12,2700,2
1,2600,12,4000,1
1,2600,13,1100,1
1,2600,13,1500,2
1,2600,13,4100,1
1,2600,13,4200,9
1,2600,15,300,2
1,2600,17,1100,1
1,2600,18,2000,2
1,2600,18,2300,1
1,2600,21,1400,2
1,2600,22,200,5
1,2600,24,1300,1
1,2600,26,3100,1
1,2600,28,1100,3
1,2600,29,1200,1
1,2600,29,1300,2
1,2600,31,600,2
1,2600,32,500,2
1,2600,34,690,3
1,2600,36,3300,4
1,2600,36,3800,1
1,2600,37,300,2
1,2600,37,1690,4
1,2600,40,690,1
1,2600,40,1390,1
1,2600,42,500,4
1,2600,47,300,4
1,2600,47,500,1
1,2600,47,800,1
1,2600,47,3190,1
1,2600,48,2500,2
1,2600,48,3700,3
1,2600,50,100,1
1,2600,51,300,3
1,2600,51,1500,1
1,2600,53,1390,3
1,2600,110,1,5
1,2600,163,1,1
1,2600,213,1,3
1,2600,215,1,1
1,2600,217,1,1
1,2600,233,1,1
1,2600,314,1,2
1,2600,364,1,1
1,2600,374,1,1
2,101,1,1800,2
2,101,2,100,86
2,101,2,200,5
2,101,2,300,2
2,101,2,400,2
2,101,6,300,1
2,101,6,800,2
2,101,8,900,1
2,101,12,3890,1
2,101,13,3100,3
2,101,16,200,1
2,101,17,1390,1
2,101,22,800,5
2,101,26,1890,3
2,101,29,890,1
2,101,34,2300,2
2,101,38,500,1
2,101,41,500,1
2,101,42,900,2
2,101,45,600,1
2,101,47,3190,1
2,101,48,700,1
2,101,48,2500,4
2,101,48,3000,1
2,101,48,3500,3
2,101,48,5600,1
2,101,53,700,1
2,101,53,1890,1
2,101,110,1,4
2,101,213,1,1
2,101,214,1,3
2,101,217,1,3
2,101,252,1,1
2,102,1,1990,1
2,102,2,100,119
2,102,2,200,5
2,102,2,300,7
2,102,2,400,10
2,102,4,100,1
2,102,4,500,1
2,102,5,300,1
2,102,6,600,1
2,102,6,1300,1
2,102,6,4590,2
2,102,6,8100,3
2,102,13,2800,1
2,102,13,3490,1
2,102,15,300,1
2,102,18,2300,1
2,102,30,600,1
2,102,32,500,1
2,102,35,600,2
2,102,37,3690,3
2,102,41,700,3
2,102,41,1300,2
2,102,42,4000,3
2,102,45,2000,3
2,102,48,4900,4
2,102,48,5600,2
2,102,49,500,3
2,102,51,400,1
2,102,53,100,2
2,102,53,1500,1
2,102,53,1890,2
2,102,96,1,1
2,102,113,1,2
2,102,164,1,3
2,102,251,1,1
2,200,2,100,42
2,200,2,200,144
2,200,2,300,6
2,200,2,400,7
2,200,4,100,1
2,200,6,200,4
2,200,6,2400,1
2,200,6,3390,1
2,200,6,8100,5
2,200,8,800,2
2,200,12,2700,1
2,200,15,200,1
2,200,15,300,1
2,200,17,2890,1
2,200,17,3000,1
2,200,23,900,3
2,200,41,500,1
2,200,45,200,1
2,200,46,200,1
2,200,48,4600,2
2,200,49,700,2
2,200,51,2300,9
2,200,53,1000,1
2,200,53,1890,1
2,200,53,2190,1
2,200,110,1,1
2,200,247,1,1
2,200,374,1,1
2,300,1,400,1
2,300,1,600,1
2,300,2,100,12
2,300,2,200,8
2,300,2,300,151
2,300,2,400,6
2,300,4,200,4
2,300,4,400,1
2,300,4,800,1
2,300,6,1800,2
2,300,6,2400,1
2,300,6,4090,1
2,300,6,4590,3
2,300,6,7790,1
2,300,6,8100,2
2,300,8,800,1
2,300,8,900,1
2,300,12,2800,2
2,300,13,1500,1
2,300,13,2800,5
2,300,13,3000,1
2,300,13,3100,4
2,300,15,200,1
2,300,18,1200,2
2,300,20,200,1
2,300,21,1400,3
