"fips","Metropolitan Area"
36260,"Ogden-Clearfield, UT (MSA)"
36420,"Oklahoma City, OK (MSA)"
36500,"Olympia, WA (MSA)"
36540,"Omaha-Council Bluffs, NE-IA (MSA)"
36740,"Orlando-Kissimmee, FL (MSA)"
36780,"Oshkosh-Neenah, WI (MSA)"
36980,"Owensboro, KY (MSA)"
37100,"Oxnard-Thousand Oaks-Ventura, CA (MSA)"
37340,"Palm Bay-Melbourne-Titusville, FL (MSA)"
37380,"Palm Coast, FL (MSA)"
37460,"Panama City-Lynn Haven, FL (MSA)"
37620,"Parkersburg-Marietta-Vienna, WV-OH (MSA)"
37700,"Pascagoula, MS (MSA)"
37860,"Pensacola-Ferry Pass-Brent, FL (MSA)"
37900,"Peoria, IL (MSA)"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)"
38060,"Phoenix-Mesa-Scottsdale, AZ (MSA)"
38220,"Pine Bluff, AR (MSA)"
38300,"Pittsburgh, PA (MSA)"
38340,"Pittsfield, MA (MSA)"
38540,"Pocatello, ID (MSA)"
38860,"Portland-South Portland-Biddeford, ME (MSA)"
38900,"Portland-Vancouver-Beaverton, OR-WA (MSA)"
38940,"Port St. Lucie, FL (MSA)"
39100,"Poughkeepsie-Newburgh-Middletown, NY (MSA)"
39140,"Prescott, AZ (MSA)"
39300,"Providence-New Bedford-Fall River, RI-MA (MSA)"
39340,"Provo-Orem, UT (MSA)"
39380,"Pueblo, CO (MSA)"
39460,"Punta Gorda, FL (MSA)"
39540,"Racine, WI (MSA)"
39580,"Raleigh-Cary, NC (MSA)"
39660,"Rapid City, SD (MSA)"
39740,"Reading, PA (MSA)"
39820,"Redding, CA (MSA)"
39900,"Reno-Sparks, NV (MSA)"
40060,"Richmond, VA (MSA)"
40140,"Riverside-San Bernardino-Ontario, CA (MSA)"
40220,"Roanoke, VA (MSA)"
40340,"Rochester, MN (MSA)"
40380,"Rochester, NY (MSA)"
40420,"Rockford, IL (MSA)"
40580,"Rocky Mount, NC (MSA)"
40660,"Rome, GA (MSA)"
40900,"Sacramento-Arden-Arcade-Roseville, CA (MSA)"
40980,"Saginaw-Saginaw Township North, MI (MSA)"
41060,"St. Cloud, MN (MSA)"
41100,"St. George, UT (MSA)"
41140,"St. Joseph, MO-KS (MSA)"
41180,"St. Louis, MO-IL (MSA)"
41420,"Salem, OR (MSA)"
41500,"Salinas, CA (MSA)"
41540,"Salisbury, MD (MSA)"
41620,"Salt Lake City, UT (MSA)"
41660,"San Angelo, TX (MSA)"
41700,"San Antonio, TX (MSA)"
41740,"San Diego-Carlsbad-San Marcos, CA (MSA)"
41780,"Sandusky, OH (MSA)"
41860,"San Francisco-Oakland-Fremont, CA (MSA)"
41940,"San Jose-Sunnyvale-Santa Clara, CA (MSA)"
42020,"San Luis Obispo-Paso Robles, CA (MSA)"
42060,"Santa Barbara-Santa Maria-Goleta, CA (MSA)"
42100,"Santa Cruz-Watsonville, CA (MSA)"
42140,"Santa Fe, NM (MSA)"
42220,"Santa Rosa-Petaluma, CA (MSA)"
42340,"Savannah, GA (MSA)"
42540,"Scranton-Wilkes-Barre, PA (MSA)"
42660,"Seattle-Tacoma-Bellevue, WA (MSA)"
42680,"Sebastian-Vero Beach, FL (MSA)"
43100,"Sheboygan, WI (MSA)"
43300,"Sherman-Denison, TX (MSA)"
43340,"Shreveport-Bossier City, LA (MSA)"
43580,"Sioux City, IA-NE-SD (MSA)"
43620,"Sioux Falls, SD (MSA)"
43780,"South Bend-Mishawaka, IN-MI (MSA)"
43900,"Spartanburg, SC (MSA)"
44060,"Spokane, WA (MSA)"
44100,"Springfield, IL (MSA)"
44140,"Springfield, MA (MSA)"
44180,"Springfield, MO (MSA)"
44220,"Springfield, OH (MSA)"
44300,"State College, PA (MSA)"
44700,"Stockton, CA (MSA)"
44940,"Sumter, SC (MSA)"
45060,"Syracuse, NY (MSA)"
45220,"Tallahassee, FL (MSA)"
45300,"Tampa-St. Petersburg-Clearwater, FL (MSA)"
45460,"Terre Haute, IN (MSA)"
45500,"Texarkana, TX-Texarkana, AR (MSA)"
45780,"Toledo, OH (MSA)"
45820,"Topeka, KS (MSA)"
45940,"Trenton-Ewing, NJ (MSA)"
46060,"Tucson, AZ (MSA)"
46140,"Tulsa, OK (MSA)"
46220,"Tuscaloosa, AL (MSA)"
46340,"Tyler, TX (MSA)"
46540,"Utica-Rome, NY (MSA)"
46660,"Valdosta, GA (MSA)"
46700,"Vallejo-Fairfield, CA (MSA)"
47020,"Victoria, TX (MSA)"
47220,"Vineland-Millville-Bridgeton, NJ (MSA)"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (MSA)"
47300,"Visalia-Porterville, CA (MSA)"
47380,"Waco, TX (MSA)"
47580,"Warner Robins, GA (MSA)"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)"
47940,"Waterloo-Cedar Falls, IA (MSA)"
48140,"Wausau, WI (MSA)"
48260,"Weirton-Steubenville, WV-OH (MSA)"
48300,"Wenatchee, WA (MSA)"
48540,"Wheeling, WV-OH (MSA)"
48620,"Wichita, KS (MSA)"
48660,"Wichita Falls, TX (MSA)"
48700,"Williamsport, PA (MSA)"
48900,"Wilmington, NC (MSA)"
49020,"Winchester, VA-WV (MSA)"
49180,"Winston-Salem, NC (MSA)"
49340,"Worcester, MA (MSA)"
49420,"Yakima, WA (MSA)"
49620,"York-Hanover, PA (MSA)"
49660,"Youngstown-Warren-Boardman, OH-PA (MSA)"
49700,"Yuba City, CA (MSA)"
49740,"Yuma, AZ (MSA)"
,
"Source: Bureau of Economic Analysis, U.S. Department of Commerce",
