"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Poughkeepsie-Newburgh-Middletown","NY",57,40,0,3,14,1
"Prescott","AZ",81,65,0,0,16,1
"Providence-New Bedford-Fall River","RI-MA",115,93,8,3,11,1
"Provo-Orem","UT",101,69,0,0,32,1
"Pueblo","CO",15,15,0,0,0,1
"Punta Gorda","FL",103,35,0,68,0,1
"Racine","WI",7,7,0,0,0,1
"Raleigh-Cary","NC",940,649,0,3,288,1
"Rapid City","SD",40,40,0,0,0,1
"Reading","PA",33,27,2,4,0,1
"Redding","CA",14,14,0,0,0,1
"Reno-Sparks","NV",93,93,0,0,0,1
"Richmond","VA",360,353,0,7,0,1
"Riverside-San Bernardino-Ontario","CA",702,506,4,10,182,1
"Roanoke","VA",110,110,0,0,0,1
"Rochester","MN",23,23,0,0,0,1
"Rochester","NY",60,58,2,0,0,1
"Rockford","IL",15,13,2,0,0,1
"Rocky Mount","NC",24,24,0,0,0,1
"Rome","GA",16,14,2,0,0,1
"Sacramento--Arden-Arcade--Roseville","CA",234,212,0,4,18,1
"Saginaw-Saginaw Township North","MI",7,7,0,0,0,1
"Salem","OR",58,47,0,0,11,1
"Salinas","CA",16,16,0,0,0,1
"Salisbury","MD",35,18,0,0,17,1
"Salt Lake City","UT",335,122,2,3,208,1
"San Angelo","TX",25,25,0,0,0,1
"San Antonio","TX",938,464,10,8,456,1
"San Diego-Carlsbad-San Marcos","CA",296,172,4,7,113,1
"San Francisco-Oakland-Fremont","CA",987,200,6,9,772,1
"San Jose-Sunnyvale-Santa Clara","CA",385,56,0,8,321,1
"San Luis Obispo-Paso Robles","CA",97,46,8,0,43,1
"Sandusky","OH",0,0,0,0,0,1
"Santa Barbara-Santa Maria","CA",35,19,0,0,16,1
"Santa Cruz-Watsonville","CA",8,8,0,0,0,1
"Santa Fe","NM",12,12,0,0,0,1
"Santa Rosa-Petaluma","CA",29,29,0,0,0,1
"Savannah","GA",134,106,0,7,21,1
"Scranton--Wilkes-Barre","PA",17,15,2,0,0,1
"Seattle-Tacoma-Bellevue","WA",1278,641,112,102,423,1
"Sebastian-Vero Beach","FL",55,55,0,0,0,1
"Sheboygan","WI",7,5,2,0,0,1
"Sherman-Denison","TX",1,1,0,0,0,1
"Shreveport-Bossier City","LA",58,50,0,3,5,1
"Sioux City","IA-NE-SD",8,8,0,0,0,1
"Sioux Falls","SD",26,18,4,4,0,1
"South Bend-Mishawaka","IN-MI",17,17,0,0,0,1
"Spartanburg","SC",95,95,0,0,0,1
"Spokane","WA",40,33,0,0,7,1
"Springfield","IL",15,8,2,0,5,1
"Springfield","MA",43,26,2,0,15,1
"Springfield","MO",202,56,12,0,134,1
"Springfield","OH",4,4,0,0,0,1
"St. Cloud","MN",13,8,0,0,5,1
"St. George","UT",68,68,0,0,0,1
"St. Joseph","MO-KS",3,3,0,0,0,1
"St. Louis","MO-IL",436,372,8,7,49,1
"State College","PA",8,8,0,0,0,1
"Stockton","CA",106,60,0,4,42,1
"Sumter","SC",35,35,0,0,0,1
"Syracuse","NY",31,31,0,0,0,1
"Tallahassee","FL",128,84,2,4,38,1
"Tampa-St. Petersburg-Clearwater","FL",851,592,6,3,250,1
"Terre Haute","IN",15,5,0,0,10,1
"Texarkana","TX-Texarkana",19,15,4,0,0,1
"Toledo","OH",54,46,0,0,8,1
"Topeka","KS",129,45,0,0,84,1
"Trenton-Ewing","NJ",33,21,2,0,10,1
"Tucson","AZ",491,191,4,0,296,1
"Tulsa","OK",291,267,24,0,0,1
"Tuscaloosa","AL",141,39,0,0,102,1
"Tyler","TX",26,16,0,3,7,1
"Utica-Rome","NY",2,2,0,0,0,1
"Valdosta","GA",57,43,2,0,12,1
"Vallejo-Fairfield","CA",7,7,0,0,0,1
"Victoria","TX",6,6,0,0,0,1
"Vineland-Millville-Bridgeton","NJ",32,32,0,0,0,1
"Virginia Beach-Norfolk-Newport News","VA-NC",551,307,4,0,240,1
"Visalia-Porterville","CA",128,128,0,0,0,1
"Waco","TX",22,22,0,0,0,1
"Warner Robins","GA",57,57,0,0,0,1
"Washington-Arlington-Alexandria","DC-VA-MD-WV",1621,764,34,0,823,1
"Waterloo-Cedar Falls","IA",7,5,2,0,0,1
"Wausau","WI",23,7,0,0,16,1
"Weirton-Steubenville","WV-OH",1,1,0,0,0,1
"Wenatchee","WA",24,22,2,0,0,1
"Wheeling","WV-OH",0,0,0,0,0,1
"Wichita Falls","TX",9,9,0,0,0,1
"Wichita","KS",221,129,0,0,92,1
"Williamsport","PA",2,2,0,0,0,1
"Wilmington","NC",313,255,2,8,48,1
"Winchester","VA-WV",35,35,0,0,0,1
"Winston-Salem","NC",404,404,0,0,0,1
"Worcester","MA",36,34,2,0,0,1
"Yakima","WA",12,12,0,0,0,1
"York-Hanover","PA",80,75,0,0,5,1
"Youngstown-Warren-Boardman","OH-PA",28,12,0,4,12,1
"Yuba City","CA",15,15,0,0,0,1
"Yuma","AZ",53,53,0,0,0,1
"Abilene","TX",21,19,2,0,0,2
"Akron","OH",35,27,0,0,8,2
"Albany","GA",22,22,0,0,0,2
"Albany-Schenectady-Troy","NY",52,49,0,3,0,2
"Albuquerque","NM",310,225,0,24,61,2
"Alexandria","LA",32,32,0,0,0,2
"Allentown-Bethlehem-Easton","PA-NJ",151,141,0,0,10,2
"Altoona","PA",0,0,0,0,0,2
"Amarillo","TX",62,62,0,0,0,2
"Ames","IA",6,6,0,0,0,2
"Anchorage","AK",36,13,0,7,16,2
"Anderson","IN",2,2,0,0,0,2
"Anderson","SC",36,36,0,0,0,2
"Ann Arbor","MI",22,12,0,0,10,2
"Anniston-Oxford","AL",16,14,2,0,0,2
"Appleton","WI",33,33,0,0,0,2
"Asheville","NC",183,183,0,0,0,2
"Athens-Clarke County","GA",55,28,0,0,27,2
"Atlanta-Sandy Springs-Marietta","GA",1808,1693,6,23,86,2
"Atlantic City-Hammonton","NJ",66,56,0,0,10,2
"Auburn-Opelika","AL",57,57,0,0,0,2
"Augusta-Richmond County","GA-SC",127,127,0,0,0,2
"Austin-Round Rock","TX",1497,759,50,0,688,2
"Bakersfield","CA",202,150,8,31,13,2
"Baltimore-Towson","MD",280,226,0,0,54,2
"Bangor","ME",11,7,0,4,0,2
"Barnstable Town","MA",34,34,0,0,0,2
"Baton Rouge","LA",243,171,0,0,72,2
"Battle Creek","MI",1,1,0,0,0,2
"Bay City","MI",1,1,0,0,0,2
"Beaumont-Port Arthur","TX",32,32,0,0,0,2
"Bellingham","WA",46,26,2,3,15,2
"Bend","OR",63,61,2,0,0,2
"Billings","MT",76,76,0,0,0,2
"Binghamton","NY",1,1,0,0,0,2
"Birmingham-Hoover","AL",363,298,0,0,65,2
"Bismarck","ND",42,24,0,0,18,2
"Bloomington","IN",22,19,0,3,0,2
"Bloomington-Normal","IL",31,26,0,0,5,2
"Boise City-Nampa","ID",279,257,2,20,0,2
"Boston-Cambridge-Quincy","MA-NH",359,205,16,10,128,2
"Boulder","CO",35,20,0,0,15,2
"Bowling Green","KY",28,28,0,0,0,2
"Bradenton-Sarasota-Venice","FL",228,177,0,36,15,2
"Bremerton-Silverdale","WA",98,52,0,8,38,2
"Bridgeport-Stamford-Norwalk","CT",75,57,18,0,0,2
"Brownsville-Harlingen","TX",117,107,0,4,6,2
"Brunswick","GA",38,38,0,0,0,2
"Buffalo-Niagara Falls","NY",65,65,0,0,0,2
"Burlington","NC",71,67,0,4,0,2
"Burlington-South Burlington","VT",18,18,0,0,0,2
"Canton-Massillon","OH",28,23,0,0,5,2
"Cape Coral-Fort Myers","FL",136,118,2,0,16,2
"Carson City","NV",1,1,0,0,0,2
"Casper","WY",13,13,0,0,0,2
"Cedar Rapids","IA",31,23,0,8,0,2
"Champaign-Urbana","IL",112,16,0,0,96,2
"Charleston","WV",10,10,0,0,0,2
"Charleston-North Charleston-Summerville","SC",317,264,2,3,48,2
"Charlotte-Gastonia-Concord","NC-SC",1224,937,2,4,281,2
"Charlottesville","VA",54,45,0,0,9,2
"Chattanooga","TN-GA",108,93,2,0,13,2
"Cheyenne","WY",14,14,0,0,0,2
"Chicago-Naperville-Joliet","IL-IN-WI",957,523,20,67,347,2
"Chico","CA",49,47,2,0,0,2
"Cincinnati-Middletown","OH-KY-IN",275,215,0,20,40,2
"Clarksville","TN-KY",76,74,2,0,0,2
"Cleveland","TN",25,23,2,0,0,2
"Cleveland-Elyria-Mentor","OH",168,165,0,3,0,2
"Coeur dAlene","ID",65,46,0,0,19,2
"College Station-Bryan","TX",127,92,0,6,29,2
"Colorado Springs","CO",148,148,0,0,0,2
"Columbia","MO",67,67,0,0,0,2
"Columbia","SC",332,291,0,4,37,2
"Columbus","GA-AL",82,60,0,3,19,2
"Columbus","IN",11,11,0,0,0,2
