areacode2,MSA,State,State_Alpha,County,MSAName,StateName,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,FMRType,pop100
80000057,10000,8,CO,57,,Colorado,449,465,583,785,936,40,1577
80000061,10000,8,CO,61,,Colorado,447,463,579,781,931,40,1622
80000063,10000,8,CO,63,,Colorado,447,463,579,781,931,40,8011
80000065,10000,8,CO,65,,Colorado,448,464,580,783,933,40,7812
80000067,10000,8,CO,67,,Colorado,573,634,835,1164,1374,40,43941
80000071,10000,8,CO,71,,Colorado,453,485,588,792,944,40,15207
80000073,10000,8,CO,73,,Colorado,455,471,590,795,948,40,6087
80000075,10000,8,CO,75,,Colorado,447,463,579,781,931,40,20504
80000079,10000,8,CO,79,,Colorado,447,463,579,781,931,40,831
80000081,10000,8,CO,81,,Colorado,447,463,579,781,931,40,13184
80000083,10000,8,CO,83,,Colorado,447,463,579,781,931,40,23830
80000085,10000,8,CO,85,,Colorado,450,466,590,818,963,40,33432
80000087,10000,8,CO,87,,Colorado,447,463,579,781,931,40,27171
80000089,10000,8,CO,89,,Colorado,447,463,579,781,931,40,20311
80000091,10000,8,CO,91,,Colorado,453,470,595,793,963,40,3742
80000093,10000,8,CO,93,,Colorado,443,491,638,886,1008,40,14523
80000095,10000,8,CO,95,,Colorado,447,463,579,781,931,40,4480
80000097,10000,8,CO,97,,Colorado,676,926,1233,1626,1849,40,14872
80000099,10000,8,CO,99,,Colorado,445,461,577,779,928,40,14483
80000103,10000,8,CO,103,,Colorado,447,463,579,781,931,40,5986
80000105,10000,8,CO,105,,Colorado,446,462,578,780,930,40,12413
80000107,10000,8,CO,107,,Colorado,444,536,709,986,1162,40,19690
80000109,10000,8,CO,109,,Colorado,453,469,588,792,944,40,5917
80000111,10000,8,CO,111,,Colorado,447,463,579,781,931,40,558
80000113,10000,8,CO,113,,Colorado,817,1181,1297,1621,2093,40,6594
80000115,10000,8,CO,115,,Colorado,447,463,579,781,931,40,2747
80000117,10000,8,CO,117,,Colorado,575,688,883,1228,1511,40,23548
80000119,10000,8,CO,119,,Colorado,452,536,714,992,1001,40,20555
80000121,10000,8,CO,121,,Colorado,447,463,579,781,931,40,4926
80000125,10000,8,CO,125,,Colorado,448,464,580,783,933,40,9841
81125000,1125,8,CO,13,"Boulder--Longmont, CO PMSA",Colorado,684,819,1051,1465,1726,40,291288
81720000,1720,8,CO,41,"Colorado Springs, CO MSA",Colorado,518,557,742,1034,1220,40,516929
82080000,2080,8,CO,59,"Denver, CO PMSA",Colorado,607,724,964,1337,1579,50,2109282
82670000,2670,8,CO,69,"Fort Collins--Loveland, CO MSA",Colorado,518,640,791,1099,1299,40,251494
82995000,2995,8,CO,77,"Grand Junction, CO MSA",Colorado,469,488,611,823,979,40,116255
83060000,3060,8,CO,123,"Greeley, CO PMSA",Colorado,569,628,790,1096,1297,40,180936
86560000,6560,8,CO,101,"Pueblo, CO MSA",Colorado,499,516,646,870,1038,40,141472
90000003,10000,9,CT,3,,Connecticut,419,677,765,1062,1252,40,2012
90000005,10000,9,CT,5,,Connecticut,483,657,877,1094,1246,40,68569
90000007,10000,9,CT,7,,Connecticut,731,828,1106,1540,1816,40,21150
90000011,10000,9,CT,11,,Connecticut,606,742,843,1087,1380,40,4544
90000013,10000,9,CT,13,,Connecticut,419,677,765,1062,1070,40,693
90000015,10000,9,CT,15,,Connecticut,479,584,758,949,1190,40,51697
91160000,1160,9,CT,9,"Bridgeport, CT PMSA",Connecticut,619,804,967,1210,1509,40,459479
91930000,1930,9,CT,5,"Danbury, CT PMSA",Connecticut,785,938,1173,1548,1785,40,217980
93280000,3280,9,CT,15,"Hartford, CT MSA",Connecticut,549,685,876,1099,1334,40,1183110
95480000,5480,9,CT,9,"New Haven--Meriden, CT PMSA",Connecticut,659,809,999,1280,1483,40,542149
95520000,5520,44,RI,9,"New London--Norwich, CT--RI MSA",Rhode Island,568,687,837,1046,1197,40,293566
98040000,8040,9,CT,1,"Stamford--Norwalk, CT PMSA",Connecticut,1129,1322,1611,2160,2386,40,353556
98880000,8880,9,CT,9,"Waterbury, CT PMSA",Connecticut,567,766,950,1184,1327,40,228984
100000005,10000,10,DE,5,,Delaware,494,525,670,880,941,40,156638
102190000,2190,10,DE,1,"Dover, DE MSA",Delaware,560,620,706,916,1042,40,126697
109160000,9160,24,MD,15,"Wilmington--Newark, DE--MD PMSA",Maryland,525,691,806,1095,1323,40,586216
120000003,10000,12,FL,3,,Florida,438,480,543,673,731,40,22259
120000007,10000,12,FL,7,,Florida,438,480,543,673,731,40,26088
120000013,10000,12,FL,13,,Florida,438,480,543,673,731,40,13017
120000017,10000,12,FL,17,,Florida,438,480,543,673,731,40,118085
120000023,10000,12,FL,23,,Florida,438,480,543,673,731,40,56513
120000027,10000,12,FL,27,,Florida,438,480,543,673,731,40,32209
120000029,10000,12,FL,29,,Florida,438,480,543,673,731,40,13827
120000037,10000,12,FL,37,,Florida,438,480,543,673,731,40,11057
120000041,10000,12,FL,41,,Florida,438,480,543,673,731,40,14437
120000043,10000,12,FL,43,,Florida,438,480,543,673,731,40,10576
120000045,10000,12,FL,45,,Florida,438,480,543,673,731,40,13332
120000047,10000,12,FL,47,,Florida,438,480,543,673,731,40,13327
120000049,10000,12,FL,49,,Florida,438,480,543,673,731,40,26938
120000051,10000,12,FL,51,,Florida,437,478,556,699,783,40,36210
120000055,10000,12,FL,55,,Florida,438,480,543,676,756,40,87366
120000059,10000,12,FL,59,,Florida,438,480,543,673,731,40,18564
120000061,10000,12,FL,61,,Florida,432,541,696,871,974,40,112947
120000063,10000,12,FL,63,,Florida,438,480,543,673,731,40,46755
120000065,10000,12,FL,65,,Florida,438,480,543,673,731,40,12902
120000067,10000,12,FL,67,,Florida,438,480,543,673,731,40,7022
120000075,10000,12,FL,75,,Florida,438,480,543,673,731,40,34450
120000077,10000,12,FL,77,,Florida,438,480,543,673,731,40,7021
120000079,10000,12,FL,79,,Florida,438,480,543,673,731,40,18733
120000087,10000,12,FL,87,,Florida,626,706,907,1250,1487,40,79589
120000093,10000,12,FL,93,,Florida,438,480,543,673,738,40,35910
120000107,10000,12,FL,107,,Florida,438,480,543,673,731,40,70423
120000119,10000,12,FL,119,,Florida,438,480,543,673,731,40,53345
120000121,10000,12,FL,121,,Florida,438,480,543,673,731,40,34844
120000123,10000,12,FL,123,,Florida,438,480,543,673,732,40,19256
120000125,10000,12,FL,125,,Florida,438,480,543,673,731,40,13442
120000129,10000,12,FL,129,,Florida,438,480,543,673,731,40,22863
120000131,10000,12,FL,131,,Florida,438,480,543,699,874,40,40601
120000133,10000,12,FL,133,,Florida,438,480,543,673,731,40,20973
122020000,2020,12,FL,127,"Daytona Beach, FL MSA",Florida,443,519,663,879,934,40,493175
122680000,2680,12,FL,11,"Fort Lauderdale, FL PMSA",Florida,567,668,827,1151,1353,50,1623018
122700000,2700,12,FL,71,"Fort Myers--Cape Coral, FL MSA",Florida,478,549,663,927,967,40,440888
122710000,2710,12,FL,111,"Fort Pierce--Port St. Lucie, FL MSA",Florida,531,582,754,981,1058,40,319426
122750000,2750,12,FL,91,"Fort Walton Beach, FL MSA",Florida,464,507,576,782,920,40,170498
122900000,2900,12,FL,1,"Gainesville, FL MSA",Florida,464,506,616,844,998,40,217955
123600000,3600,12,FL,109,"Jacksonville, FL MSA",Florida,534,598,720,952,1060,40,1100491
123980000,3980,12,FL,105,"Lakeland--Winter Haven, FL MSA",Florida,445,487,550,682,746,40,483924
124900000,4900,12,FL,9,"Melbourne--Titusville--Palm Bay, FL MSA",Florida,444,520,649,869,1012,40,476230
125000000,5000,12,FL,86,"Miami, FL PMSA",Florida,577,726,904,1241,1439,50,2253362
125345000,5345,12,FL,21,"Naples, FL MSA",Florida,496,700,843,1171,1305,40,251377
125790000,5790,12,FL,83,"Ocala, FL MSA",Florida,464,507,576,756,886,40,258916
125960000,5960,12,FL,117,"Orlando, FL MSA",Florida,633,718,857,1124,1372,40,1644561
126015000,6015,12,FL,5,"Panama City, FL MSA",Florida,465,507,577,736,789,40,148217
126080000,6080,12,FL,113,"Pensacola, FL MSA",Florida,462,505,574,766,903,40,412153
126580000,6580,12,FL,15,"Punta Gorda, FL MSA",Florida,455,523,696,965,1137,40,141627
127510000,7510,12,FL,115,"Sarasota--Bradenton, FL MSA",Florida,468,595,756,972,1059,40,589959
128240000,8240,12,FL,73,"Tallahassee, FL MSA",Florida,472,524,689,900,1086,40,284539
128280000,8280,12,FL,103,"Tampa--St. Petersburg--Clearwater, FL MSA",Florida,530,630,781,1037,1257,50,2395997
128960000,8960,12,FL,99,"West Palm Beach--Boca Raton, FL MSA",Florida,570,665,823,1092,1352,50,1131184
130000001,10000,13,GA,1,,Georgia,318,384,469,608,692,40,17419
130000003,10000,13,GA,3,,Georgia,318,384,469,608,692,40,7609
130000005,10000,13,GA,5,,Georgia,318,384,469,608,692,40,10103
130000007,10000,13,GA,7,,Georgia,318,384,469,608,692,40,4074
130000009,10000,13,GA,9,,Georgia,311,399,486,624,681,40,44700
130000011,10000,13,GA,11,,Georgia,318,384,469,608,692,40,14422
130000017,10000,13,GA,17,,Georgia,318,384,469,608,701,40,17484
130000019,10000,13,GA,19,,Georgia,318,384,469,608,692,40,16235
130000023,10000,13,GA,23,,Georgia,318,384,469,608,692,40,11666
130000025,10000,13,GA,25,,Georgia,318,384,469,608,692,40,14629
130000027,10000,13,GA,27,,Georgia,318,384,469,608,692,40,16450
130000031,10000,13,GA,31,,Georgia,396,402,516,666,846,40,55983
130000033,10000,13,GA,33,,Georgia,318,384,469,608,692,40,22243
130000035,10000,13,GA,35,,Georgia,313,415,550,738,773,40,19522
