"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"233","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","572761",243908,28325,23212,277316
"234","Niles-Benton Harbor, MI","1041",1041,0,0,0
"235","Norwich-New London, CT","9656",9255,0,401,0
"236","Ocala,* FL","21974",21844,130,0,0
"237","Ocean City,* NJ","30183",28468,1501,214,0
"238","Odessa,* TX","17045",3100,0,0,13945
"239","Ogden-Clearfield, UT","29430",28760,322,348,0
"240","Oklahoma City,* OK","107730",98172,1776,0,7782
"241","Olympia, WA","22462",21917,218,0,327
"242","Omaha-Council Bluffs,* NE-IA","43989",42665,244,0,1080
"243","Orlando-Kissimmee,* FL","174841",125378,206,4235,45022
"244","Oshkosh-Neenah, WI","6665",6665,0,0,0
"245","Owensboro, KY","3677",2845,832,0,0
"246","Oxnard-Thousand Oaks-Ventura, CA","19156",12790,1350,760,4256
"247","Palm Bay-Melbourne-Titusville,* FL","38690",33759,0,0,4931
"248","Palm Coast, FL","10213",10213,0,0,0
"249","Panama City-Lynn Haven, FL","7813",7813,0,0,0
"250","Parkersburg-Marietta-Vienna, WV-OH","1044",1019,10,15,0
"251","Pascagoula, MS","8056",8056,0,0,0
"252","Pensacola-Ferry Pass-Brent,* FL","28487",24236,227,0,4024
"253","Peoria, IL","7956",7956,0,0,0
"254","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","127779",105084,1072,360,21263
"255","Phoenix-Mesa-Scottsdale,* AZ","350202",197893,507,5349,146453
"256","Pine Bluff, AR","1145",1145,0,0,0
"257","Pittsburgh,* PA","75315",69276,506,2108,3425
"258","Pittsfield, MA","417",417,0,0,0
"259","Pocatello, ID","1904",1904,0,0,0
"260","Port St. Lucie,* FL","27529",27529,0,0,0
"261","Portland-South Portland-Biddeford,  ME","30313",26938,194,261,2920
"262","Portland-Vancouver-Beaverton,* OR-WA","143342",108345,8336,2485,24176
"263","Poughkeepsie-Newburgh-Middletown,  NY","18434",9046,344,0,9044
"264","Prescott, AZ","20782",20551,231,0,0
"265","Providence-New Bedford-Fall River,  RI-MA","42453",41250,528,370,305
"266","Provo-Orem, UT","49487",39818,491,1009,8169
"267","Pueblo,* CO","7067",7067,0,0,0
"268","Punta Gorda,* FL","14051",10878,1475,1021,677
"269","Racine, WI","8676",8422,254,0,0
"270","Raleigh-Cary,* NC","240110",185484,263,0,54363
"271","Rapid City, SD","8468",7906,562,0,0
"272","Reading, PA","8594",8348,246,0,0
"273","Redding, CA","13205",3997,0,0,9208
"274","Reno-Sparks,* NV","34341",34092,0,249,0
"275","Richmond,* VA","71082",69533,725,824,0
"276","Riverside-San Bernardino-Ontario,*  CA","215232",212418,1011,638,1165
"277","Roanoke, VA","10770",10770,0,0,0
"278","Rochester, MN","7868",7868,0,0,0
"279","Rochester, NY","17039",16597,0,442,0
"280","Rockford, IL","21189",6996,691,280,13222
"281","Rocky Mount, NC","4520",4157,363,0,0
"282","Rome, GA","3133",3133,0,0,0
"283","Sacramento--Arden-Arcade--Roseville,*  CA","103761",103411,350,0,0
"284","Saginaw-Saginaw Township North, MI","758",758,0,0,0
"285","Salem, OR","32476",15259,0,0,17217
"286","Salinas, CA","13506",13506,0,0,0
