"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"187","Lawton, OK","1380",1380,0,0,0
"188","Lebanon, PA","2622",2622,0,0,0
"189","Lewiston, ID-WA","1147",633,514,0,0
"190","Lewiston-Auburn, ME","4004",3504,0,0,500
"191","Lexington-Fayette, KY","39767",39252,515,0,0
"192","Lima, OH","476",476,0,0,0
"193","Lincoln, NE","15081",13987,308,0,786
"194","Little Rock-North Little Rock, AR","71399",49919,230,278,20972
"195","Logan, UT-ID","3770",3520,0,250,0
"196","Longview, TX","2634",2634,0,0,0
"197","Longview, WA","3632",3632,0,0,0
"198","Los Angeles-Long Beach-Santa Ana,*  CA","372162",228867,6817,4974,131504
"199","Louisville,* KY-IN","65803",65165,198,440,0
"200","Lubbock, TX","18109",16314,1795,0,0
"201","Lynchburg, VA","17551",17341,210,0,0
"202","Macon, GA","9119",9119,0,0,0
"203","Madera, CA","9767",9116,504,147,0
"204","Madison,* WI","45774",29278,189,520,15787
"205","Manchester-Nashua, NH","24393",16500,0,0,7893
"206","Mansfield, OH","951",451,500,0,0
"207","McAllen-Edinburg-Pharr,* TX","63885",52748,40,4605,6492
"208","Medford,* OR","22614",21512,0,596,506
"209","Memphis, TN-MS-AR","116584",116584,0,0,0
"210","Merced, CA","43279",35986,0,0,7293
"211","Miami-Fort Lauderdale-Miami Beach,  FL","440288",287199,2653,3239,147197
"212","Michigan City-La Porte, IN","1581",1581,0,0,0
"213","Midland,* TX","2983",2983,0,0,0
"214","Milwaukee-Waukesha-West Allis,* WI","78101",51816,348,1875,24062
"215","Minneapolis-St. Paul-Bloomington,*  MN-WI","198652",168418,1059,2861,26314
"216","Missoula,* MT","12264",9782,0,0,2482
"217","Mobile, AL","21218",21218,0,0,0
"218","Modesto, CA","50261",47934,0,0,2327
"219","Monroe, LA","5243",4697,0,0,546
"220","Monroe, MI","6274",6274,0,0,0
"221","Montgomery, AL","17971",17971,0,0,0
"222","Morgantown, WV","105",105,0,0,0
"223","Morristown, TN","8371",8131,240,0,0
"224","Mount Vernon-Anacortes, WA","10758",9821,458,0,479
"225","Muncie, IN","728",728,0,0,0
"226","Muskegon-Norton Shores, MI","3654",3654,0,0,0
"227","Myrtle Beach-Conway-North Myrtle Beach,  SC","127356",54416,145,3297,69498
"228","Napa, CA","17112",12459,0,0,4653
"229","Naples-Marco Island,* FL","110299",91327,1167,6050,11755
"230","Nashville-Davidson--Murfreesboro,*  TN","168137",144517,1828,1088,20704
"231","New Haven-Milford, CT","11352",10946,241,0,165
"232","New Orleans-Metairie-Kenner,* LA","102939",101925,1014,0,0
"233","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","479797",284742,31173,30350,133532
"234","Niles-Benton Harbor, MI","2465",2465,0,0,0
"235","Norwich-New London,* CT","15637",5407,0,1022,9208
"236","Ocala,* FL","60496",59731,590,175,0
"237","Ocean City,* NJ","54534",19464,9720,1903,23447
"238","Odessa,* TX","1837",1837,0,0,0
"239","Ogden-Clearfield, UT","49338",46529,283,2174,352
"240","Oklahoma City,* OK","100750",81326,145,0,19279
"241","Olympia, WA","26629",26369,260,0,0
"242","Omaha-Council Bluffs,* NE-IA","36104",34904,540,173,487
"243","Orlando,* FL","385297",281477,517,2394,100909
"244","Oshkosh-Neenah, WI","4419",3554,100,340,425
"245","Owensboro, KY","1470",1298,172,0,0
"246","Oxnard-Thousand Oaks-Ventura, CA","50946",44647,464,0,5835
"247","Palm Bay-Melbourne-Titusville,* FL","86084",72804,0,0,13280
"248","Panama City-Lynn Haven,* FL","66726",16907,145,2879,46795
"249","Parkersburg-Marietta, WV-OH","445",445,0,0,0
"250","Pascagoula, MS","7710",7710,0,0,0
"251","Pensacola-Ferry Pass-Brent, FL","42188",41182,145,0,861
"252","Peoria, IL","10160",6043,449,0,3668
"253","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","186710",172348,1060,1233,12069
"254","Phoenix-Mesa-Scottsdale, AZ","670602",621067,1853,6075,41607
"255","Pine Bluff, AR","247",162,0,0,85
"256","Pittsburgh,* PA","45529",41980,280,922,2347
"257","Pittsfield, MA","1140",1140,0,0,0
"258","Pocatello, ID","3740",3740,0,0,0
"259","Port St. Lucie-Fort Pierce,* FL","95065",91298,414,638,2715
"260","Portland-South Portland-Biddeford,  ME","30783",29848,414,521,0
"261","Portland-Vancouver-Beaverton,* OR-WA","177352",149360,2917,10787,14288
"262","Poughkeepsie-Newburgh-Middletown,  NY","17507",16053,0,0,1454
"263","Prescott, AZ","38179",37916,263,0,0
"264","Providence-New Bedford-Fall River,  RI-MA","33279",29778,1137,246,2118
"265","Provo-Orem, UT","42941",41410,645,0,886
"266","Pueblo,* CO","14009",13810,199,0,0
"267","Punta Gorda,* FL","44673",38788,490,421,4974
"268","Racine, WI","9789",9789,0,0,0
"269","Raleigh-Cary,* NC","173854",171923,1760,0,171
"270","Rapid City, SD","10343",9459,160,336,388
"271","Reading, PA","8239",8239,0,0,0
"272","Redding,* CA","24168",20413,0,0,3755
"273","Reno-Sparks,* NV","25851",25591,0,260,0
"274","Richmond,* VA","107734",92244,0,4727,10763
"275","Riverside-San Bernardino-Ontario,*  CA","476420",436842,0,1102,38476
"276","Roanoke, VA","12534",12534,0,0,0
"277","Rochester, MN","12253",11492,0,0,761
"278","Rochester, NY","18297",17170,883,244,0
"279","Rockford, IL","9816",9816,0,0,0
"280","Rocky Mount, NC","4707",4383,324,0,0
"281","Rome,* GA","5072",4703,369,0,0
"282","Sacramento--Arden-Arcade--Roseville,*  CA","272239",262728,800,0,8711
"283","Saginaw-Saginaw Township North, MI","4021",4021,0,0,0
"284","Salem,* OR","28574",27787,451,336,0
"285","Salinas, CA","10008",10008,0,0,0
"286","Salisbury, MD","6614",6614,0,0,0
"287","Salt Lake City,* UT","116666",78686,751,344,36885
"288","San Angelo, TX","3351",3351,0,0,0
"289","San Antonio, TX","164123",140359,781,2131,20852
"290","San Diego-Carlsbad-San Marcos,* CA","266216",141335,1571,3258,120052
"291","San Francisco-Oakland-Fremont,* CA","142609",123939,462,2035,16173
"292","San Jose-Sunnyvale-Santa Clara,* CA","62136",32751,648,2043,26694
"293","San Luis Obispo-Paso Robles,* CA","15731",13972,344,0,1415
"294","Sandusky, OH","600",600,0,0,0
"295","Santa Barbara-Santa Maria-Goleta,  CA","12411",9565,0,0,2846
"296","Santa Cruz-Watsonville, CA","12422",8465,0,0,3957
"297","Santa Fe,* NM","5168",5168,0,0,0
"298","Santa Rosa-Petaluma, CA","14382",14028,354,0,0
"299","Sarasota-Bradenton-Venice,* FL","189332",138859,0,638,49835
"300","Savannah, GA","38427",38054,202,0,171
"301","Scranton--Wilkes-Barre, PA","2683",2683,0,0,0
"302","Seattle-Tacoma-Bellevue,* WA","248937",228056,2021,5179,13681
"303","Sheboygan, WI","1705",1705,0,0,0
"304","Sherman-Denison, TX","1510",1510,0,0,0
"305","Shreveport-Bossier City, LA","16870",16870,0,0,0
"306","Sioux City, IA-NE-SD","2201",2201,0,0,0
"307","Sioux Falls, SD","6331",6127,0,204,0
"308","South Bend-Mishawaka, IN-MI","11085",9485,0,700,900
"309","Spartanburg, SC","16169",16169,0,0,0
"310","Spokane, WA","19688",19341,0,0,347
"311","Springfield, IL","3145",2523,167,0,455
"312","Springfield, MA","7862",7284,131,0,447
"313","Springfield, MO","27718",27618,100,0,0
"314","Springfield, OH","680",680,0,0,0
"315","St. Cloud, MN","5858",5401,0,0,457
"316","St. George, UT","34865",34865,0,0,0
"317","St. Joseph, MO-KS","1055",1055,0,0,0
"318","St. Louis,* MO-IL","136039",126910,1398,1901,5830
"319","State College, PA","5216",5216,0,0,0
"320","Stockton,* CA","112588",111727,347,0,514
"321","Sumter,* SC","4735",3851,236,0,648
"322","Syracuse, NY","7676",6023,1021,632,0
"323","Tallahassee, FL","16535",14157,1383,598,397
"324","Tampa-St. Petersburg-Clearwater,* FL","346500",303527,7412,12610,22951
"325","Terre Haute, IN","1693",1693,0,0,0
"326","Texarkana, TX-Texarkana, AR","2059",1451,98,0,510
"327","Toledo, OH","17992",13013,0,5,4974
"328","Topeka, KS","6872",6872,0,0,0
"329","Trenton-Ewing,* NJ","5246",4389,0,1,856
"330","Tucson, AZ","125662",124884,0,778,0
"331","Tulsa,* OK","45536",44905,631,0,0
"332","Tuscaloosa, AL","14383",13611,0,0,772
"333","Tyler, TX","6258",5646,0,150,462
"334","Utica-Rome, NY","591",591,0,0,0
"335","Valdosta, GA","9239",8453,0,0,786
"336","Vallejo-Fairfield, CA","49526",39353,405,1145,8623
"337","Vero Beach,* FL","39467",34940,0,408,4119
"338","Victoria, TX","820",820,0,0,0
"339","Vineland-Millville-Bridgeton,* NJ","2132",2132,0,0,0
"340","Virginia Beach-Norfolk-Newport News,  VA-NC","88273",85268,434,0,2571
"341","Visalia-Porterville, CA","27387",27031,0,356,0
"342","Waco, TX","10270",10270,0,0,0
"343","Warner Robins, GA","14672",14672,0,0,0
"344","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","317152",292770,0,201,24181
"345","Waterloo-Cedar Falls, IA","1335",1335,0,0,0
"346","Wausau, WI","4539",4467,72,0,0
"347","Weirton-Steubenville, WV-OH","0",0,0,0,0
"348","Wenatchee, WA","4517",4517,0,0,0
"349","Wheeling, WV-OH","0",0,0,0,0
"350","Wichita Falls, TX","4063",3463,0,600,0
"351","Wichita, KS","17739",17644,95,0,0
"352","Williamsport, PA","134",134,0,0,0
"353","Wilmington,* NC","81956",76004,1798,0,4154
"354","Winchester, VA-WV","15604",15604,0,0,0
"355","Winston-Salem, NC","37823",37823,0,0,0
"356","Worcester, MA","35360",33505,517,207,1131
"357","Yakima, WA","5086",4799,287,0,0
"358","York-Hanover, PA","18429",18429,0,0,0
"359","Youngstown-Warren-Boardman, OH-PA","7788",7688,100,0,0
"360","Yuba City-Marysville, CA","58802",58038,0,0,764
"361","Yuma, AZ","19771",19568,203,0,0
