"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"174","Knoxville, TN","12112",10135,0,0,1977
"175","Kokomo, IN","0",0,0,0,0
"176","La Crosse, WI-MN","1261",1261,0,0,0
"177","Lafayette, IN","2803",2217,0,0,586
"178","Lafayette, LA","5918",5429,0,0,489
"179","Lake Charles, LA","8424",6871,125,0,1428
"180","Lake Havasu City-Kingman, AZ","3365",3365,0,0,0
"181","Lakeland-Winter Haven,* FL","16000",16000,0,0,0
"182","Lancaster, PA","5782",5372,0,0,410
"183","Lansing-East Lansing, MI","1084",1084,0,0,0
"184","Laredo,* TX","4741",3937,0,151,653
"185","Las Cruces,* NM","9954",8984,0,120,850
"186","Las Vegas-Paradise,* NV","41780",24129,0,0,17651
"187","Lawrence, KS","1353",1353,0,0,0
"188","Lawton, OK","2265",2265,0,0,0
"189","Lebanon, PA","2020",2020,0,0,0
"190","Lewiston, ID-WA","0",0,0,0,0
"191","Lewiston-Auburn, ME","1426",1426,0,0,0
"192","Lexington-Fayette, KY","14244",13944,300,0,0
"193","Lima, OH","164",164,0,0,0
"194","Lincoln, NE","2820",2820,0,0,0
"195","Little Rock-North Little Rock, AR","18602",11985,127,640,5850
"196","Logan, UT-ID","1065",1065,0,0,0
"197","Longview, TX","1085",1085,0,0,0
"198","Longview, WA","1776",1776,0,0,0
"199","Los Angeles-Long Beach-Santa Ana,*  CA","101975",68160,5285,1432,27098
"200","Louisville-Jefferson County,* KY-IN","23375",15854,170,96,7255
"201","Lubbock, TX","4587",4587,0,0,0
"202","Lynchburg, VA","5889",5889,0,0,0
"203","Macon, GA","5876",2066,400,0,3410
"204","Madera-Chowchilla, CA","1375",1157,0,218,0
"205","Madison,* WI","10335",8000,0,360,1975
"206","Manchester-Nashua, NH","4321",3540,300,0,481
"207","Mansfield, OH","297",297,0,0,0
"208","McAllen-Edinburg-Mission,* TX","22143",20718,720,564,141
"209","Medford, OR","3019",2674,345,0,0
"210","Memphis,* TN-MS-AR","13157",13157,0,0,0
"211","Merced, CA","5027",5027,0,0,0
"212","Miami-Fort Lauderdale-Pompano Beach,*  FL","116586",35706,202,1169,79509
"213","Michigan City-La Porte, IN","766",766,0,0,0
"214","Midland,* TX","2486",2486,0,0,0
"215","Milwaukee-Waukesha-West Allis,* WI","13809",13059,0,0,750
"216","Minneapolis-St. Paul-Bloomington,*  MN-WI","75299",58403,0,0,16896
"217","Missoula,* MT","1002",1002,0,0,0
"218","Mobile, AL","15818",15505,0,0,313
"219","Modesto, CA","2807",2807,0,0,0
"220","Monroe, LA","1867",1484,0,0,383
"221","Monroe, MI","722",722,0,0,0
"222","Montgomery, AL","2463",2463,0,0,0
"223","Morgantown, WV","0",0,0,0,0
"224","Morristown, TN","2364",2244,120,0,0
"225","Mount Vernon-Anacortes, WA","3337",3337,0,0,0
"226","Muncie, IN","212",212,0,0,0
"227","Muskegon-Norton Shores, MI","225",0,225,0,0
"228","Myrtle Beach-North Myrtle Beach-Conway,  SC","14596",9418,0,0,5178
"229","Napa, CA","0",0,0,0,0
"230","Naples-Marco Island,* FL","17811",16601,0,1210,0
"231","Nashville-Davidson--Murfreesboro,*  TN","81686",37298,0,0,44388
"232","New Haven-Milford, CT","3632",3201,0,0,431
"233","New Orleans-Metairie-Kenner,* LA","24151",22967,889,295,0
"234","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","236910",139466,6635,6893,83916
"235","Niles-Benton Harbor, MI","185",185,0,0,0
"236","Norwich-New London, CT","4743",4743,0,0,0
"237","Ocala,* FL","6883",6883,0,0,0
"238","Ocean City,* NJ","10989",9232,1757,0,0
"239","Odessa,* TX","400",400,0,0,0
"240","Ogden-Clearfield, UT","9720",9720,0,0,0
"241","Oklahoma City,* OK","31821",30932,158,0,731
"242","Olympia, WA","5469",5220,249,0,0
"243","Omaha-Council Bluffs,* NE-IA","18967",13712,0,851,4404
"244","Orlando-Kissimmee,* FL","67080",52660,283,1436,12701
"245","Oshkosh-Neenah, WI","3280",2380,0,0,900
"246","Owensboro, KY","848",732,116,0,0
"247","Oxnard-Thousand Oaks-Ventura, CA","9580",8277,0,365,938
"248","Palm Bay-Melbourne-Titusville,* FL","26306",13913,0,312,12081
"249","Palm Coast, FL","12370",4904,0,0,7466
"250","Panama City-Lynn Haven-Panama City Beach,  FL","1454",1248,206,0,0
"251","Parkersburg-Marietta-Vienna, WV-OH","425",425,0,0,0
"252","Pascagoula, MS","3628",3628,0,0,0
"253","Pensacola-Ferry Pass-Brent,* FL","11296",11296,0,0,0
"254","Peoria, IL","4123",4123,0,0,0
"255","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","67106",55848,1487,609,9162
"256","Phoenix-Mesa-Scottsdale,* AZ","85865",85096,760,0,9
"257","Pine Bluff, AR","155",24,0,131,0
"258","Pittsburgh,* PA","22790",21415,509,520,346
"259","Pittsfield, MA","13125",0,0,0,13125
"260","Pocatello, ID","804",804,0,0,0
"261","Port St. Lucie,* FL","8329",5421,0,0,2908
"262","Portland-South Portland-Biddeford,  ME","12850",11820,220,0,810
"263","Portland-Vancouver-Beaverton,* OR-WA","46549",23352,0,0,23197
"264","Poughkeepsie-Newburgh-Middletown,  NY","7379",6427,0,382,570
"265","Prescott, AZ","11550",7372,0,0,4178
"266","Providence-New Bedford-Fall River,  RI-MA","19178",18678,500,0,0
"267","Provo-Orem, UT","10868",7483,550,534,2301
"268","Pueblo,* CO","2263",2263,0,0,0
"269","Punta Gorda,* FL","2085",2085,0,0,0
"270","Racine, WI","1640",1640,0,0,0
"271","Raleigh-Cary,* NC","33889",33719,170,0,0
"272","Rapid City, SD","2413",2164,249,0,0
"273","Reading, PA","2757",2757,0,0,0
"274","Redding, CA","13201",6990,0,871,5340
"275","Reno-Sparks,* NV","7277",7057,220,0,0
"276","Richmond,* VA","41919",30454,862,993,9610
"277","Riverside-San Bernardino-Ontario,*  CA","135544",66309,1059,487,67689
"278","Roanoke, VA","7908",7908,0,0,0
"279","Rochester, MN","4611",4611,0,0,0
"280","Rochester, NY","6989",6989,0,0,0
"281","Rockford, IL","1460",925,535,0,0
"282","Rocky Mount, NC","2276",2082,194,0,0
"283","Rome, GA","446",446,0,0,0
"284","Sacramento--Arden-Arcade--Roseville,*  CA","70335",66482,0,0,3853
