"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"252","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","137112",123808,108,2939,10257
"253","Phoenix-Mesa-Scottsdale, AZ","575524",537489,1403,18534,18098
"254","Pine Bluff, AR","79",79,0,0,0
"255","Pittsburgh,* PA","62932",50535,288,2026,10083
"256","Pittsfield, MA","303",303,0,0,0
"257","Pocatello, ID","1118",1118,0,0,0
"258","Port St. Lucie-Fort Pierce,* FL","69158",62805,0,960,5393
"259","Portland-South Portland-Biddeford,  ME","31187",30401,150,261,375
"260","Portland-Vancouver-Beaverton,* OR-WA","152629",144273,3228,1054,4074
"261","Poughkeepsie-Newburgh-Middletown,*  NY","28988",27824,0,1164,0
"262","Prescott, AZ","34481",31722,976,494,1289
"263","Providence-New Bedford-Fall River,  RI-MA","32138",30715,141,356,926
"264","Provo-Orem, UT","50321",43956,438,632,5295
"265","Pueblo,* CO","9919",9798,121,0,0
"266","Punta Gorda,* FL","45082",23408,311,1270,20093
"267","Racine,* WI","12013",11893,120,0,0
"268","Raleigh-Cary,* NC","129071",119556,2011,234,7270
"269","Rapid City, SD","5748",5748,0,0,0
"270","Reading, PA","7732",7732,0,0,0
"271","Redding,* CA","8271",8271,0,0,0
"272","Reno-Sparks,* NV","62861",43233,0,0,19628
"273","Richmond,* VA","87166",81305,238,3061,2562
"274","Riverside-San Bernardino-Ontario,*  CA","453841",432088,1148,1404,19201
"275","Roanoke, VA","13412",13336,76,0,0
"276","Rochester, MN","10794",10794,0,0,0
"277","Rochester, NY","25258",24804,81,0,373
"278","Rockford, IL","14472",14289,0,183,0
"279","Rocky Mount, NC","5215",4404,640,171,0
"280","Rome,* GA","2587",2407,180,0,0
"281","Sacramento--Arden-Arcade--Roseville,*  CA","341505",324586,741,6562,9616
"282","Saginaw-Saginaw Township North, MI","3299",3299,0,0,0
"283","Salem,* OR","20916",20382,155,0,379
"284","Salinas, CA","21009",21009,0,0,0
"285","Salisbury, MD","3413",3413,0,0,0
"286","Salt Lake City,* UT","75038",68955,1441,1320,3322
"287","San Angelo, TX","3848",3848,0,0,0
"288","San Antonio, TX","133787",130309,675,348,2455
"289","San Diego-Carlsbad-San Marcos,* CA","190636",109809,2772,13740,64315
"290","San Francisco-Oakland-Fremont,* CA","157651",145883,992,0,10776
"291","San Jose-Sunnyvale-Santa Clara,* CA","47251",39511,0,0,7740
"292","San Luis Obispo-Paso Robles,* CA","24246",23022,470,434,320
"293","Sandusky, OH","2342",2342,0,0,0
"294","Santa Barbara-Santa Maria-Goleta,  CA","19826",17012,390,898,1526
"295","Santa Cruz-Watsonville,* CA","11677",11677,0,0,0
"296","Santa Fe,* NM","3701",3701,0,0,0
"297","Santa Rosa-Petaluma,* CA","11161",8585,265,305,2006
"298","Sarasota-Bradenton-Venice,* FL","168977",133488,163,1250,34076
"299","Savannah, GA","21226",21084,0,0,142
"300","Scranton--Wilkes-Barre, PA","6563",6563,0,0,0
"301","Seattle-Tacoma-Bellevue,* WA","207279",185654,5666,4315,11644
"302","Sheboygan, WI","9352",3479,153,5720,0
"303","Sherman-Denison, TX","946",946,0,0,0
