"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"281","Rockford, IL","8039",5381,328,2010,320
"282","Rocky Mount, NC","3257",3063,194,0,0
"283","Rome, GA","2286",2120,166,0,0
"284","Sacramento--Arden-Arcade--Roseville,*  CA","66645",60111,236,322,5976
"285","Saginaw-Saginaw Township North, MI","345",345,0,0,0
"286","Salem, OR","10608",10608,0,0,0
"287","Salinas, CA","13556",1443,0,2309,9804
"288","Salisbury, MD","3176",1402,0,0,1774
"289","Salt Lake City,* UT","54647",34152,567,922,19006
"290","San Angelo,* TX","3176",3176,0,0,0
"291","San Antonio,* TX","96512",92617,540,1437,1918
"292","San Diego-Carlsbad-San Marcos,* CA","81090",45641,171,1702,33576
"293","San Francisco-Oakland-Fremont,* CA","110342",62291,1913,547,45591
"294","San Jose-Sunnyvale-Santa Clara,* CA","37679",28648,0,1119,7912
"295","San Luis Obispo-Paso Robles, CA","6391",5889,0,0,502
"296","Sandusky, OH","0",0,0,0,0
"297","Santa Barbara-Santa Maria, CA","3099",3099,0,0,0
"298","Santa Cruz-Watsonville, CA","2755",2755,0,0,0
"299","Santa Fe,* NM","1466",1466,0,0,0
"300","Santa Rosa-Petaluma, CA","10744",7398,0,319,3027
"301","Savannah, GA","19171",19171,0,0,0
"302","Scranton--Wilkes-Barre, PA","4668",4413,0,255,0
"303","Seattle-Tacoma-Bellevue,* WA","188870",108863,9308,6547,64152
"304","Sebastian-Vero Beach,* FL","19881",19881,0,0,0
"305","Sheboygan, WI","1266",776,259,0,231
"306","Sherman-Denison, TX","163",163,0,0,0
"307","Shreveport-Bossier City, LA","15668",15668,0,0,0
"308","Sioux City, IA-NE-SD","1644",1644,0,0,0
"309","Sioux Falls, SD","10833",5602,781,778,3672
"310","South Bend-Mishawaka, IN-MI","6100",4398,0,446,1256
"311","Spartanburg, SC","8883",8883,0,0,0
"312","Spokane, WA","15467",9483,193,291,5500
"313","Springfield, IL","1870",1870,0,0,0
"314","Springfield, MA","9285",8705,130,450,0
"315","Springfield, MO","13602",8430,655,378,4139
"316","Springfield, OH","1278",1078,200,0,0
"317","St. Cloud, MN","4148",3833,0,0,315
"318","St. George, UT","11672",11672,0,0,0
"319","St. Joseph, MO-KS","1200",580,620,0,0
"320","St. Louis,* MO-IL","85434",76695,596,1219,6924
"321","State College, PA","3107",3107,0,0,0
"322","Stockton,* CA","15801",15801,0,0,0
"323","Sumter,* SC","4050",4050,0,0,0
"324","Syracuse, NY","10939",10939,0,0,0
"325","Tallahassee, FL","12784",10041,285,0,2458
"326","Tampa-St. Petersburg-Clearwater,* FL","174734",107070,1120,1150,65394
"327","Terre Haute, IN","2859",2154,191,0,514
"328","Texarkana, TX-Texarkana, AR","1858",854,111,0,893
"329","Toledo, OH","12136",8705,1214,1821,396
"330","Topeka, KS","6929",6929,0,0,0
"331","Trenton-Ewing,* NJ","10473",9733,149,0,591
"332","Tucson,* AZ","46862",45226,199,236,1201
"333","Tulsa,* OK","56608",45625,0,0,10983
"334","Tuscaloosa, AL","8137",6334,927,0,876
"335","Tyler, TX","2674",2397,0,0,277
"336","Utica-Rome, NY","416",416,0,0,0
"337","Valdosta, GA","6018",4724,240,0,1054
"338","Vallejo-Fairfield, CA","6738",6311,0,427,0
"339","Victoria, TX","755",755,0,0,0
"340","Vineland-Millville-Bridgeton,* NJ","3251",2797,0,0,454
"341","Virginia Beach-Norfolk-Newport News,*  VA-NC","68848",55171,996,0,12681
"342","Visalia-Porterville, CA","17307",17307,0,0,0
"343","Waco, TX","3371",3371,0,0,0
"344","Warner Robins, GA","5197",5197,0,0,0
"345","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","181959",151150,0,0,30809
"346","Waterloo-Cedar Falls, IA","5074",5074,0,0,0
"347","Wausau, WI","4063",2373,0,0,1690
"348","Weirton-Steubenville, WV-OH","232",232,0,0,0
"349","Wenatchee, WA","7575",7575,0,0,0
"350","Wheeling, WV-OH","0",0,0,0,0
"351","Wichita Falls, TX","829",829,0,0,0
"352","Wichita, KS","16498",16498,0,0,0
"353","Williamsport, PA","340",340,0,0,0
"354","Wilmington,* NC","55203",49239,0,0,5964
"355","Winchester, VA-WV","7149",7149,0,0,0
"356","Winston-Salem, NC","12101",12101,0,0,0
"357","Worcester, MA","10560",10560,0,0,0
"358","Yakima, WA","8192",8192,0,0,0
"359","York-Hanover, PA","10352",9759,0,0,593
"360","Youngstown-Warren-Boardman, OH-PA","4986",4986,0,0,0
"361","Yuba City, CA","1730",1730,0,0,0
"362","Yuma, AZ","11865",11865,0,0,0
