"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"167","Kankakee-Bradley, IL","3640",3640,0,0,0
"168","Kansas City,* MO-KS","186201",172541,1691,4803,7166
"169","Kennewick-Richland-Pasco, WA","39574",31521,192,2249,5612
"170","Killeen-Temple-Fort Hood, TX","36266",33069,309,1972,916
"171","Kingsport-Bristol-Bristol, TN-VA","10251",10251,0,0,0
"172","Kingston, NY","20513",13796,0,0,6717
"173","Knoxville, TN","52749",50786,131,400,1432
"174","Kokomo, IN","4861",4861,0,0,0
"175","La Crosse, WI-MN","8543",8028,300,0,215
"176","Lafayette, IN","12559",12059,0,0,500
"177","Lafayette, LA","20878",20878,0,0,0
"178","Lake Charles, LA","7705",7277,82,0,346
"179","Lakeland,* FL","148678",143423,1927,0,3328
"180","Lancaster, PA","22819",20913,0,499,1407
"181","Lansing-East Lansing, MI","16331",14922,647,0,762
"182","Laredo,* TX","17686",15468,84,136,1998
"183","Las Cruces,* NM","28356",26689,180,0,1487
"184","Las Vegas-Paradise,* NV","542441",399015,0,8120,135306
"185","Lawrence, KS","4998",4171,827,0,0
"186","Lawton, OK","1755",1755,0,0,0
"187","Lebanon, PA","9588",9344,244,0,0
"188","Lewiston, ID-WA","1000",850,150,0,0
"189","Lewiston-Auburn, ME","5331",4831,0,0,500
"190","Lexington-Fayette, KY","55740",53574,0,366,1800
"191","Lima, OH","790",790,0,0,0
"192","Lincoln, NE","26675",25388,880,0,407
"193","Little Rock-North Little Rock, AR","65760",63510,0,0,2250
"194","Logan, UT-ID","14092",13425,0,250,417
"195","Longview, TX","3421",3421,0,0,0
"196","Longview, WA","5682",5320,362,0,0
"197","Los Angeles-Long Beach-Santa Ana,*  CA","601914",362037,6476,9044,224357
"198","Louisville,* KY-IN","127058",119433,200,105,7320
"199","Lubbock, TX","26361",14778,2940,792,7851
"200","Lynchburg, VA","34688",32762,0,0,1926
"201","Macon, GA","8363",8363,0,0,0
"202","Madera, CA","33614",33614,0,0,0
"203","Madison,* WI","77356",53853,1233,1935,20335
"204","Manchester-Nashua, NH","27592",25794,0,1200,598
"205","Mansfield, OH","4031",3755,0,276,0
"206","McAllen-Edinburg-Pharr,* TX","87950",67453,314,12238,7945
"207","Medford,* OR","29079",28005,381,288,405
"208","Memphis, TN-MS-AR","152718",146906,157,0,5655
"209","Merced, CA","40201",39484,0,243,474
"210","Miami-Fort Lauderdale-Miami Beach,  FL","674381",377690,6869,7538,282284
"211","Michigan City-La Porte, IN","3709",3709,0,0,0
"212","Midland,* TX","4444",4444,0,0,0
"213","Milwaukee-Waukesha-West Allis,* WI","105174",86564,2643,6674,9293
"214","Minneapolis-St. Paul-Bloomington,*  MN-WI","427543",353828,1667,2160,69888
"215","Missoula,* MT","4782",4223,0,0,559
"216","Mobile, AL","23146",22696,0,0,450
"217","Modesto, CA","46948",45005,0,0,1943
"218","Monroe, LA","7187",7187,0,0,0
"219","Monroe, MI","7496",7496,0,0,0
"220","Montgomery, AL","25133",25133,0,0,0
"221","Morgantown, WV","1267",317,250,0,700
"222","Morristown, TN","8615",6890,975,0,750
"223","Mount Vernon-Anacortes, WA","15813",15813,0,0,0
"224","Muncie, IN","4088",3838,250,0,0
