"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"230","New Haven-Milford, CT","17407",15567,390,0,1450
"231","New Orleans-Metairie-Kenner,* LA","83327",81384,0,0,1943
"232","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","694002",368492,63091,53066,209353
"233","Niles-Benton Harbor, MI","2500",2500,0,0,0
"234","Norwich-New London, CT","14437",14437,0,0,0
"235","Ocala,* FL","124288",124288,0,0,0
"236","Ocean City,* NJ","41938",20019,7150,2644,12125
"237","Odessa,* TX","3978",3978,0,0,0
"238","Ogden-Clearfield, UT","63490",56960,705,1857,3968
"239","Oklahoma City,* OK","110820",104419,291,232,5878
"240","Olympia, WA","33264",32125,737,0,402
"241","Omaha-Council Bluffs,* NE-IA","60526",54497,308,737,4984
"242","Orlando,* FL","535076",464159,225,1470,69222
"243","Oshkosh-Neenah, WI","7663",7294,0,369,0
"244","Owensboro, KY","2990",2990,0,0,0
"245","Oxnard-Thousand Oaks-Ventura, CA","53313",44605,601,2630,5477
"246","Palm Bay-Melbourne-Titusville,* FL","108285",103564,0,0,4721
"247","Panama City-Lynn Haven,* FL","76356",14333,537,16125,45361
"248","Parkersburg-Marietta, WV-OH","1495",1495,0,0,0
"249","Pascagoula, MS","16632",15493,0,0,1139
"250","Pensacola-Ferry Pass-Brent, FL","32071",30344,1727,0,0
"251","Peoria, IL","17498",15762,1344,0,392
"252","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","214377",178039,1386,4034,30918
"253","Phoenix-Mesa-Scottsdale,* AZ","813195",670262,4018,25866,113049
"254","Pine Bluff, AR","617",486,0,60,71
"255","Pittsburgh,* PA","96361",87199,581,1811,6770
"256","Pittsfield, MA","632",632,0,0,0
"257","Pocatello, ID","4347",4231,116,0,0
"258","Port St. Lucie-Fort Pierce,* FL","125480",120661,0,2485,2334
"259","Portland-South Portland-Biddeford,  ME","45927",42771,821,261,2074
"260","Portland-Vancouver-Beaverton,* OR-WA","253264",225464,1973,3227,22600
"261","Poughkeepsie-Newburgh-Middletown,  NY","19255",16168,407,0,2680
"262","Prescott, AZ","67107",66890,217,0,0
"263","Providence-New Bedford-Fall River,  RI-MA","88373",45223,2278,420,40452
"264","Provo-Orem, UT","107015",100755,656,1386,4218
"265","Pueblo,* CO","22444",22030,414,0,0
"266","Punta Gorda,* FL","104731",81208,2150,1571,19802
"267","Racine, WI","14813",10821,0,0,3992
"268","Raleigh-Cary,* NC","257212",237012,1705,1374,17121
"269","Rapid City, SD","8416",8416,0,0,0
"270","Reading, PA","12007",11007,1000,0,0
"271","Redding,* CA","10541",7684,343,1366,1148
"272","Reno-Sparks,* NV","54818",47720,0,0,7098
"273","Richmond,* VA","150349",144465,0,1989,3895
"274","Riverside-San Bernardino-Ontario,*  CA","674310",635799,2515,3573,32423
"275","Roanoke, VA","29858",29858,0,0,0
"276","Rochester, MN","17794",17417,0,0,377
"277","Rochester, NY","24354",22815,0,0,1539
"278","Rockford, IL","24162",21451,880,1831,0
"279","Rocky Mount, NC","6707",6419,288,0,0
"280","Rome,* GA","6573",5646,404,0,523
"281","Sacramento--Arden-Arcade--Roseville,*  CA","147962",130324,925,4120,12593
"282","Saginaw-Saginaw Township North, MI","1588",1588,0,0,0
"283","Salem,* OR","21161",18320,269,482,2090
"284","Salinas, CA","15546",15546,0,0,0
"285","Salisbury, MD","10254",10254,0,0,0
"286","Salt Lake City,* UT","128849",123955,397,1712,2785
"287","San Angelo, TX","3768",3768,0,0,0
"288","San Antonio, TX","241411",200478,942,0,39991
"289","San Diego-Carlsbad-San Marcos,* CA","231257",158174,2178,7677,63228
"290","San Francisco-Oakland-Fremont,* CA","318644",198091,1208,829,118516
"291","San Jose-Sunnyvale-Santa Clara,* CA","122580",46865,0,2364,73351
"292","San Luis Obispo-Paso Robles,* CA","22190",22190,0,0,0
"293","Sandusky, OH","0",0,0,0,0
"294","Santa Barbara-Santa Maria-Goleta,  CA","13168",13168,0,0,0
"295","Santa Cruz-Watsonville, CA","5114",5114,0,0,0
"296","Santa Fe,* NM","6216",6216,0,0,0
"297","Santa Rosa-Petaluma, CA","28384",26773,731,0,880
"298","Sarasota-Bradenton-Venice,* FL","164050",156424,590,0,7036
"299","Savannah, GA","51406",50330,0,0,1076
"300","Scranton--Wilkes-Barre, PA","5146",5146,0,0,0
"301","Seattle-Tacoma-Bellevue,* WA","359704",312938,5007,11338,30421
"302","Sebastian-Vero Beach,* FL","110359",107632,690,725,1312
"303","Sheboygan, WI","2767",2243,524,0,0
"304","Sherman-Denison, TX","497",497,0,0,0
"305","Shreveport-Bossier City, LA","31774",31137,0,0,637
"306","Sioux City, IA-NE-SD","4152",4152,0,0,0
"307","Sioux Falls, SD","18259",17089,140,1030,0
"308","South Bend-Mishawaka, IN-MI","13714",9212,250,0,4252
"309","Spartanburg, SC","19010",18618,392,0,0
"310","Spokane, WA","29789",22520,318,0,6951
"311","Springfield, IL","6798",5930,589,0,279
"312","Springfield, MA","12553",12190,363,0,0
"313","Springfield, MO","34398",30668,2530,0,1200
"314","Springfield, OH","2232",2232,0,0,0
"315","St. Cloud, MN","15116",14400,0,0,716
"316","St. George, UT","34648",34648,0,0,0
"317","St. Joseph, MO-KS","2258",1559,273,0,426
"318","St. Louis,* MO-IL","227232",218944,2415,878,4995
"319","State College, PA","6488",6488,0,0,0
"320","Stockton,* CA","87854",85195,0,0,2659
"321","Sumter,* SC","6202",5817,131,254,0
"322","Syracuse, NY","13851",13851,0,0,0
"323","Tallahassee, FL","53212",42355,476,1479,8902
"324","Tampa-St. Petersburg-Clearwater,* FL","445483",393085,12712,2064,37622
"325","Terre Haute, IN","3280",2300,108,0,872
"326","Texarkana, TX-Texarkana, AR","2634",2634,0,0,0
"327","Toledo, OH","31791",29991,0,0,1800
"328","Topeka, KS","9879",9879,0,0,0
"329","Trenton-Ewing,* NJ","8807",8482,325,0,0
"330","Tucson, AZ","174504",167500,1738,1360,3906
"331","Tulsa,* OK","100032",89184,4770,1002,5076
"332","Tuscaloosa, AL","20798",20798,0,0,0
"333","Tyler, TX","8277",7861,0,0,416
"334","Utica-Rome, NY","469",469,0,0,0
"335","Valdosta, GA","11095",10871,224,0,0
"336","Vallejo-Fairfield, CA","19728",19728,0,0,0
"337","Victoria, TX","3107",1584,0,654,869
"338","Vineland-Millville-Bridgeton,* NJ","5071",5071,0,0,0
"339","Virginia Beach-Norfolk-Newport News,*  VA-NC","137673",114900,4081,2589,16103
"340","Visalia-Porterville, CA","49070",43657,143,0,5270
"341","Waco, TX","8521",8441,80,0,0
"342","Warner Robins, GA","17542",17542,0,0,0
"343","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","561500",347900,350,595,212655
"344","Waterloo-Cedar Falls, IA","9793",9793,0,0,0
"345","Wausau, WI","10122",7843,179,0,2100
"346","Weirton-Steubenville, WV-OH","998",998,0,0,0
"347","Wenatchee, WA","6213",6213,0,0,0
"348","Wheeling, WV-OH","0",0,0,0,0
"349","Wichita Falls, TX","3569",3569,0,0,0
"350","Wichita, KS","37069",29423,1642,0,6004
"351","Williamsport, PA","407",407,0,0,0
"352","Wilmington,* NC","139302",106696,397,0,32209
"353","Winchester, VA-WV","27992",27192,0,0,800
"354","Winston-Salem, NC","35566",35566,0,0,0
"355","Worcester, MA","46951",29660,1087,797,15407
"356","Yakima, WA","12144",12144,0,0,0
"357","York-Hanover, PA","35512",32707,844,640,1321
"358","Youngstown-Warren-Boardman, OH-PA","14138",13658,420,60,0
"359","Yuba City, CA","19519",19519,0,0,0
"360","Yuma, AZ","21956",21053,0,0,903
