"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"197","Longview, TX","3125",2895,0,0,230
"198","Longview, WA","4972",4972,0,0,0
"199","Los Angeles-Long Beach-Santa Ana,*  CA","304154",165397,5280,7621,125856
"200","Louisville-Jefferson County,* KY-IN","58509",58128,285,96,0
"201","Lubbock, TX","11387",10197,202,0,988
"202","Lynchburg, VA","15656",14963,0,0,693
"203","Macon, GA","7583",6088,0,0,1495
"204","Madera, CA","3877",3877,0,0,0
"205","Madison,* WI","30090",27151,1543,0,1396
"206","Manchester-Nashua, NH","8196",7523,0,0,673
"207","Mansfield, OH","1315",1175,140,0,0
"208","McAllen-Edinburg-Mission,* TX","50233",48884,97,1132,120
"209","Medford, OR","9595",9144,0,451,0
"210","Memphis,* TN-MS-AR","53818",49364,256,256,3942
"211","Merced, CA","3082",3082,0,0,0
"212","Miami-Fort Lauderdale-Miami Beach,*  FL","150329",86472,1503,584,61770
"213","Michigan City-La Porte, IN","3244",3244,0,0,0
"214","Midland,* TX","6478",6478,0,0,0
"215","Milwaukee-Waukesha-West Allis,* WI","59135",47116,921,595,10503
"216","Minneapolis-St. Paul-Bloomington,*  MN-WI","106605",101087,533,0,4985
"217","Missoula,* MT","7895",7333,359,203,0
"218","Mobile, AL","26448",26448,0,0,0
"219","Modesto, CA","14535",11205,404,0,2926
"220","Monroe, LA","4084",3701,0,0,383
"221","Monroe, MI","1454",1454,0,0,0
"222","Montgomery, AL","6577",6577,0,0,0
"223","Morgantown, WV","1405",285,0,0,1120
"224","Morristown, TN","3770",3770,0,0,0
"225","Mount Vernon-Anacortes, WA","7194",7194,0,0,0
"226","Muncie, IN","1136",1136,0,0,0
"227","Muskegon-Norton Shores, MI","1674",1383,291,0,0
"228","Myrtle Beach-North Myrtle Beach-Conway,  SC","42447",33323,0,0,9124
"229","Napa, CA","1053",1053,0,0,0
"230","Naples-Marco Island,* FL","35123",29779,0,4036,1308
"231","Nashville-Davidson--Murfreesboro,*  TN","135490",126026,226,0,9238
"232","New Haven-Milford, CT","13434",8260,0,4251,923
"233","New Orleans-Metairie-Kenner,* LA","42125",40012,2113,0,0
"234","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","483470",226797,28319,9116,219238
"235","Niles-Benton Harbor, MI","2561",2561,0,0,0
"236","Norwich-New London, CT","6625",6386,239,0,0
"237","Ocala,* FL","21024",21024,0,0,0
"238","Ocean City,* NJ","11137",10447,620,0,70
"239","Odessa,* TX","5124",5124,0,0,0
"240","Ogden-Clearfield, UT","30766",27941,0,1155,1670
"241","Oklahoma City,* OK","70438",68639,317,0,1482
"242","Olympia, WA","22435",22435,0,0,0
"243","Omaha-Council Bluffs,* NE-IA","49301",46962,416,353,1570
"244","Orlando-Kissimmee,* FL","225123",104539,0,0,120584
