"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"167","Kalamazoo-Portage, MI","6516",6132,384,0,0
"168","Kankakee-Bradley, IL","1414",1414,0,0,0
"169","Kansas City,* MO-KS","52487",28435,230,2246,21576
"170","Kennewick-Pasco-Richland, WA","7640",7057,0,0,583
"171","Killeen-Temple-Fort Hood, TX","6967",6226,741,0,0
"172","Kingsport-Bristol-Bristol, TN-VA","2156",2156,0,0,0
"173","Kingston, NY","804",804,0,0,0
"174","Knoxville, TN","11205",10571,229,0,405
"175","Kokomo, IN","44",44,0,0,0
"176","La Crosse, WI-MN","3420",3120,300,0,0
"177","Lafayette, IN","3363",2693,0,0,670
"178","Lafayette, LA","5517",5126,0,0,391
"179","Lake Charles, LA","2897",1795,125,0,977
"180","Lake Havasu City-Kingman, AZ","3806",3806,0,0,0
"181","Lakeland-Winter Haven,* FL","21845",21845,0,0,0
"182","Lancaster, PA","5655",4905,0,0,750
"183","Lansing-East Lansing, MI","2275",2275,0,0,0
"184","Laredo,* TX","4887",4575,0,312,0
"185","Las Cruces,* NM","7310",7310,0,0,0
"186","Las Vegas-Paradise,* NV","36337",28066,0,1557,6714
"187","Lawrence, KS","1648",1648,0,0,0
"188","Lawton, OK","1385",1385,0,0,0
"189","Lebanon, PA","3231",3231,0,0,0
"190","Lewiston, ID-WA","216",216,0,0,0
"191","Lewiston-Auburn, ME","1666",1666,0,0,0
"192","Lexington-Fayette, KY","21551",10051,1500,0,10000
"193","Lima, OH","164",164,0,0,0
"194","Lincoln, NE","4155",4041,114,0,0
"195","Little Rock-North Little Rock, AR","12875",10877,0,666,1332
"196","Logan, UT-ID","2380",1713,0,250,417
"197","Longview, TX","1285",1285,0,0,0
"198","Longview, WA","2439",2439,0,0,0
"199","Los Angeles-Long Beach-Santa Ana,*  CA","222529",54908,5055,2617,159949
"200","Louisville-Jefferson County,* KY-IN","17861",17637,128,96,0
"201","Lubbock, TX","5269",5269,0,0,0
"202","Lynchburg, VA","6264",5949,0,0,315
"203","Macon, GA","1975",1975,0,0,0
"204","Madera, CA","3272",3272,0,0,0
"205","Madison,* WI","19740",10231,996,1496,7017
"206","Manchester-Nashua, NH","4493",4012,0,0,481
"207","Mansfield, OH","344",344,0,0,0
"208","McAllen-Edinburg-Mission,* TX","24815",24392,0,423,0
