"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"209","Memphis,* TN-MS-AR","61507",61507,0,0,0
"210","Merced, CA","6122",5915,207,0,0
"211","Miami-Fort Lauderdale-Miami Beach,*  FL","138480",85781,1918,300,50481
"212","Michigan City-La Porte, IN","2763",2763,0,0,0
"213","Midland,* TX","5578",5578,0,0,0
"214","Milwaukee-Waukesha-West Allis,* WI","75314",51356,415,732,22811
"215","Minneapolis-St. Paul-Bloomington,*  MN-WI","183005",154871,1040,690,26404
"216","Missoula,* MT","6515",6515,0,0,0
"217","Mobile, AL","17097",17097,0,0,0
"218","Modesto, CA","34187",12909,0,0,21278
"219","Monroe, LA","3086",2703,0,0,383
"220","Monroe, MI","4899",4476,0,0,423
"221","Montgomery, AL","7970",7970,0,0,0
"222","Morgantown, WV","260",260,0,0,0
"223","Morristown, TN","5328",5328,0,0,0
"224","Mount Vernon-Anacortes, WA","9685",9685,0,0,0
"225","Muncie, IN","1547",1247,0,300,0
"226","Muskegon-Norton Shores, MI","1590",1424,166,0,0
"227","Myrtle Beach-Conway-North Myrtle Beach,  SC","55461",43355,140,0,11966
"228","Napa, CA","11342",4280,0,0,7062
"229","Naples-Marco Island,* FL","20186",20186,0,0,0
"230","Nashville-Davidson--Murfreesboro,*  TN","143349",142468,881,0,0
"231","New Haven-Milford, CT","12577",10734,0,0,1843
"232","New Orleans-Metairie-Kenner,* LA","59650",56938,2712,0,0
"233","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","709076",287572,27201,22830,371473
"234","Niles-Benton Harbor, MI","2195",1907,0,0,288
"235","Norwich-New London, CT","11393",10738,0,0,655
"236","Ocala,* FL","26541",26456,85,0,0
"237","Ocean City,* NJ","20705",16280,4425,0,0
"238","Odessa,* TX","4947",4947,0,0,0
"239","Ogden-Clearfield, UT","39068",37058,0,1047,963
"240","Oklahoma City,* OK","95815",87939,876,0,7000
"241","Olympia, WA","36721",19779,0,0,16942
"242","Omaha-Council Bluffs,* NE-IA","90859",46896,446,0,43517
"243","Orlando-Kissimmee,* FL","212198",132115,181,1084,78818
"244","Oshkosh-Neenah, WI","6256",6046,210,0,0
"245","Owensboro, KY","2853",2853,0,0,0
"246","Oxnard-Thousand Oaks-Ventura, CA","12388",8934,0,365,3089
"247","Palm Bay-Melbourne-Titusville,* FL","37678",33494,0,0,4184
"248","Palm Coast, FL","11721",11721,0,0,0
"249","Panama City-Lynn Haven, FL","16561",6738,41,1221,8561
"250","Parkersburg-Marietta-Vienna, WV-OH","1913",1763,0,150,0
"251","Pascagoula, MS","8307",8307,0,0,0
"252","Pensacola-Ferry Pass-Brent,* FL","23681",21688,1993,0,0
"253","Peoria, IL","12053",11777,276,0,0
"254","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","147801",129187,1595,1072,15947
"255","Phoenix-Mesa-Scottsdale,* AZ","239075",220471,883,5411,12310
