"x","y","id"
-86.455198,32.813322,"01.037"
-86.457148,32.814278,"01.037"
-86.458735,32.818818,"01.037"
-86.512106,33.085876,"01.037"
-86.511142,33.088432,"01.037"
-86.50905,33.090899,"01.037"
-86.086238,33.104702,"01.037"
-86.278203,31.514827,"01.039"
-86.187522,31.00018,"01.039"
-86.1872472578628,30.9940490694821,"01.039"
-86.238335,30.99437,"01.039"
-86.698115,31.000417,"01.039"
-86.70022,31.000418,"01.039"
-86.700596,31.101042,"01.039"
-86.701372,31.49853,"01.039"
-86.701539,31.523812,"01.039"
-86.698972,31.523838,"01.039"
-86.280157,31.528519,"01.039"
-86.303616,32.051664,"01.041"
-86.161174,31.790822,"01.041"
-86.148337,31.790948,"01.041"
-86.147381,31.77671,"01.041"
-86.194027,31.462063,"01.041"
-86.193951,31.440072,"01.041"
-86.210698,31.44171,"01.041"
-86.486137,31.525364,"01.041"
-86.499213,31.525331,"01.041"
-86.499355,31.553933,"01.041"
-86.312574,32.051709,"01.041"
-87.092311,34.312298,"01.043"
-86.459685,34.274353,"01.043"
-86.451117,34.274378,"01.043"
-86.456277,34.263373,"01.043"
-86.979292,33.859393,"01.043"
-86.991979,33.8598,"01.043"
-86.993627,33.860991,"01.043"
-87.146282,33.989345,"01.043"
-87.151036,33.993225,"01.043"
-87.118586,33.992586,"01.043"
-87.110111,34.313799,"01.043"
-85.416437,31.619466,"01.045"
-85.417249,31.289739,"01.045"
-85.417142,31.287225,"01.045"
-85.418333,31.286273,"01.045"
-85.710866,31.195179,"01.045"
-85.791402,31.196349,"01.045"
-85.791401,31.196462,"01.045"
-85.789141,31.587866,"01.045"
-85.789142,31.617964,"01.045"
-85.76785,31.617937,"01.045"
-85.467038,31.620566,"01.045"
-87.017659,32.663267,"01.047"
-86.807378,32.354356,"01.047"
-86.806867,32.351781,"01.047"
-86.807438,32.348593,"01.047"
-86.906741,32.057791,"01.047"
-86.906956,32.047971,"01.047"
-86.988656,32.047228,"01.047"
-87.472206,32.26492,"01.047"
-87.47308,32.307614,"01.047"
-87.421746,32.308106,"01.047"
-87.423103,32.478795,"01.047"
-87.423153,32.482965,"01.047"
-87.399985,32.482879,"01.047"
-87.112858,32.48867,"01.047"
-87.111263,32.489679,"01.047"
-87.108778,32.493278,"01.047"
-87.017766,32.729117,"01.047"
-85.5759766606173,34.8239859621613,"01.049"
-85.628242,34.373993,"01.049"
-85.629183,34.37239,"01.049"
-85.635622,34.368064,"01.049"
-86.101564,34.20073,"01.049"
-86.106086,34.200756,"01.049"
-86.106382,34.214031,"01.049"
-86.110229,34.418598,"01.049"
-86.110362,34.427797,"01.049"
-86.109492,34.428594,"01.049"
-85.583145,34.860371,"01.049"
-85.960422,32.769156,"01.051"
-85.853543,32.478899,"01.051"
-85.85264,32.475957,"01.051"
-85.853041,32.475265,"01.051"
-86.044784,32.406925,"01.051"
-86.046402,32.406146,"01.051"
-86.049694,32.406263,"01.051"
-86.408172,32.411037,"01.051"
-86.411172,32.409937,"01.051"
-86.411272,32.421436,"01.051"
-86.413252,32.740768,"01.051"
-86.413337,32.750592,"01.051"
-86.372695,32.751174,"01.051"
-85.972763,32.769227,"01.051"
-86.793095,31.261622,"01.053"
-86.688231,30.996425,"01.053"
-86.688313003629,30.9945961283665,"01.053"
-86.706261,30.994703,"01.053"
-87.610873,30.997387,"01.053"
-87.615431,30.997361,"01.053"
-87.61553,31.007724,"01.053"
-87.615978,31.242464,"01.053"
-87.61589,31.244458,"01.053"
-87.61266,31.242108,"01.053"
-86.871022,31.261902,"01.053"
-86.101564,34.20073,"01.055"
-85.843837,34.200007,"01.055"
-85.843617,34.200006,"01.055"
-85.843197,34.18266,"01.055"
-85.745108,34.004631,"01.055"
-85.737326,33.989566,"01.055"
-85.738975,33.96846,"01.055"
-86.050813,33.841598,"01.055"
-86.051072,33.841598,"01.055"
-86.051314,33.841609,"01.055"
-86.325622,33.940147,"01.055"
-86.370152,33.93977,"01.055"
-86.369464,33.941764,"01.055"
-86.106086,34.200756,"01.055"
-87.926196,33.919618,"01.057"
-87.561073,33.868714,"01.057"
-87.5316,33.867621,"01.057"
-87.531471,33.828723,"01.057"
-87.425307,33.689182,"01.057"
-87.423842,33.689114,"01.057"
-87.423802,33.659237,"01.057"
-87.687657,33.521085,"01.057"
-87.738078,33.519659,"01.057"
-87.7725,33.521662,"01.057"
-87.900786,33.524658,"01.057"
-87.946519,33.524066,"01.057"
-87.946606,33.616465,"01.057"
-87.951785,33.91993,"01.057"
-88.120075,34.581468,"01.059"
-87.547214,34.567398,"01.059"
-87.529615,34.56708,"01.059"
-87.529715,34.565948,"01.059"
-87.530824,34.375096,"01.059"
-87.529722,34.304598,"01.059"
-87.573133,34.305337,"01.059"
-88.018086,34.315351,"01.059"
-88.173632,34.321054,"01.059"
-88.16591,34.380926,"01.059"
-88.139988,34.581703,"01.059"
-85.485639,31.190715,"01.061"
-85.486711,31.031776,"01.061"
-85.4882971328866,30.9970829661259,"01.061"
-85.498272,30.996928,"01.061"
-86.180232,30.994005,"01.061"
-86.1872472578628,30.9940490694821,"01.061"
-86.187522,31.00018,"01.061"
-86.192629,31.104173,"01.061"
-86.193225,31.124851,"01.061"
-86.192949,31.179068,"01.061"
-85.485761,31.199836,"01.061"
-87.838082,33.136796,"01.063"
-87.714014,33.003336,"01.063"
-87.706329,32.996306,"01.063"
-87.706858,32.991442,"01.063"
-87.867134,32.767561,"01.063"
-87.870359,32.762676,"01.063"
-87.868841,32.760791,"01.063"
-87.814321,32.521546,"01.063"
-87.817851,32.517794,"01.063"
-87.823335,32.5204,"01.063"
-88.053729,32.593052,"01.063"
-88.057333,32.593441,"01.063"
-88.059094,32.595603,"01.063"
-88.207202,32.922716,"01.063"
-88.207316,32.924782,"01.063"
-88.200129,32.929887,"01.063"
-87.837521,33.153637,"01.063"
-87.642007,33.005324,"01.065"
-87.488548,33.004105,"01.065"
-87.421936,33.003379,"01.065"
-87.421246,32.994902,"01.065"
-87.4212,32.874508,"01.065"
-87.421387,32.830829,"01.065"
-87.422915,32.830819,"01.065"
-87.524748,32.503542,"01.065"
-87.524485,32.482029,"01.065"
-87.527837,32.48201,"01.065"
-87.710312,32.480782,"01.065"
-87.728749,32.480922,"01.065"
-87.728759,32.489386,"01.065"
-87.868841,32.760791,"01.065"
-87.870359,32.762676,"01.065"
-87.867134,32.767561,"01.065"
-87.715709,33.006824,"01.065"
-85.148431,31.773463,"01.067"
-85.087404,31.311223,"01.067"
-85.087651,31.308677,"01.067"
-85.139535,31.308024,"01.067"
-85.40959,31.314899,"01.067"
-85.417434,31.314973,"01.067"
-85.417432,31.315107,"01.067"
-85.415934,31.695938,"01.067"
-85.416038,31.706665,"01.067"
-85.352699,31.706138,"01.067"
-85.154331,31.773863,"01.067"
-85.40959,31.314899,"01.069"
-85.139535,31.308024,"01.069"
-85.087651,31.308677,"01.069"
-85.087695,31.304053,"01.069"
-84.999428,31.013843,"01.069"
-84.999626,31.009079,"01.069"
-85.001366,31.005044,"01.069"
-85.478612741233,30.9972334195244,"01.069"
-85.4882971328866,30.9970829661259,"01.069"
-85.486711,31.031776,"01.069"
-85.485639,31.190715,"01.069"
-85.485761,31.199836,"01.069"
-85.499934,31.199029,"01.069"
-85.712276,31.195937,"01.069"
-85.71209,31.197266,"01.069"
-85.708784,31.198481,"01.069"
-85.417434,31.314973,"01.069"
-86.2535286596816,34.9907470165099,"01.071"
-85.6114179050347,34.984776793424,"01.071"
-85.605165,34.984678,"01.071"
-85.599385,34.951766,"01.071"
-86.07351,34.467083,"01.071"
-86.082763,34.464473,"01.071"
-86.089058,34.467528,"01.071"
-86.353638,34.628962,"01.071"
-86.359034,34.63261,"01.071"
-86.358482,34.693431,"01.071"
-86.311274,34.991098,"01.071"
-86.879088,33.843174,"01.073"
-86.577822,33.765138,"01.073"
-86.54276,33.765167,"01.073"
-86.542626,33.748004,"01.073"
-86.517165,33.528308,"01.073"
-86.517199,33.524136,"01.073"
-86.543136,33.524392,"01.073"
-87.044829,33.246667,"01.073"
-87.065738,33.246907,"01.073"
-87.065754,33.267602,"01.073"
-87.335514,33.470429,"01.073"
-87.341698,33.470501,"01.073"
-87.3372,33.475396,"01.073"
-86.883949,33.843237,"01.073"
-88.147102,34.05664,"01.075"
-87.963197,34.022502,"01.075"
-87.951929,34.022202,"01.075"
-87.951929,34.015422,"01.075"
-87.946606,33.616465,"01.075"
-87.946519,33.524066,"01.075"
-87.966286,33.524815,"01.075"
-88.271563,33.53392,"01.075"
-88.274619,33.534008,"01.075"
-88.2713968110086,33.5599681661116,"01.075"
-88.207229,34.058333,"01.075"
-88.000032,35.005939,"01.077"
-87.216683,34.999148,"01.077"
-87.210759,34.999024,"01.077"
-87.210947,34.983705,"01.077"
-87.261043,34.759905,"01.077"
-87.260676,34.758626,"01.077"
