"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",458,417,2,23,16,1,2000
"Ocala","FL MSA",185,185,0,0,0,1,2000
"Odessa-Midland","TX MSA",28,28,0,0,0,1,2000
"Oklahoma City","OK MSA",311,311,0,0,0,1,2000
"Omaha","NE-IA MSA",205,205,0,0,0,1,2000
"Orlando","FL MSA",1584,1106,18,8,452,1,2000
"Owensboro","KY MSA",42,30,0,0,12,1,2000
"Panama City","FL MSA",50,42,8,0,0,1,2000
"Parkersburg-Marietta","WV-OH MSA",7,7,0,0,0,1,2000
"Pensacola","FL MSA",177,177,0,0,0,1,2000
"Peoria-Pekin","IL MSA",102,48,2,0,52,1,2000
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",1680,1256,14,3,407,1,2000
"Phoenix-Mesa","AZ MSA",3131,2446,8,32,645,1,2000
"Pine Bluff","AR MSA",6,4,2,0,0,1,2000
"Pittsburgh","PA MSA",529,446,4,11,68,1,2000
"Pittsfield","MA MSA",0,0,0,0,0,1,2000
"Pocatello","ID MSA",13,11,2,0,0,1,2000
"Portland","ME MSA",76,76,0,0,0,1,2000
"Portland-Salem","OR-WA CMSA",957,732,32,23,170,1,2000
"Providence-Fall River- Warwick","RI-MA MSA",277,169,8,0,100,1,2000
"Provo-Orem","UT MSA",182,167,6,0,9,1,2000
"Pueblo","CO MSA",93,87,6,0,0,1,2000
"Punta Gorda","FL MSA",102,83,0,4,15,1,2000
"Raleigh-Durham-Chapel Hill","Hill NC MSA",782,762,4,0,16,1,2000
"Rapid City","SD MSA",37,23,0,0,14,1,2000
"Reading","PA MSA",57,57,0,0,0,1,2000
"Redding","CA MSA",198,46,0,152,0,1,2000
"Reno","NV MSA",243,243,0,0,0,1,2000
"Richland-Kennewick-Pasco","WA MSA",48,48,0,0,0,1,2000
"Richmond-Petersburg","VA MSA",437,410,0,0,27,1,2000
"Roanoke","VA MSA",64,59,0,0,5,1,2000
"Rochester","MN MSA",54,41,2,3,8,1,2000
"Rochester","NY MSA",104,98,0,0,6,1,2000
"Rockford","IL MSA",121,109,12,0,0,1,2000
"Rocky Mount","NC MSA",33,33,0,0,0,1,2000
"Sacramento-Yolo","CA CMSA",1381,849,0,16,516,1,2000
