"cbsa","cbsaname","intptlon","intptlat","pop2k","afact"
"cbsa","CBSA Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","cbsa to cbsa alloc factor"
"13980","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",-80.529628,37.172572,151272,1 
"14020","Bloomington, IN Metropolitan Statistical Area",-86.657683,39.162228,175506,1 
"14060","Bloomington-Normal, IL Metropolitan Statistical Area",-88.954687,40.494602,150433,1 
"14100","Bloomsburg-Berwick, PA Micropolitan Statistical Area",-76.44074,41.029413,82387,1 
"14140","Bluefield, WV-VA Micropolitan Statistical Area",-81.322877,37.264727,107578,1 
"14180","Blytheville, AR Micropolitan Statistical Area",-89.994502,35.840346,51979,1 
"14220","Bogalusa, LA Micropolitan Statistical Area",-89.97714,30.835598,43926,1 
"14260","Boise City-Nampa, ID Metropolitan Statistical Area",-116.395961,43.620358,464840,1 
"14300","Bonham, TX Micropolitan Statistical Area",-96.172623,33.564303,31242,1 
"14340","Boone, IA Micropolitan Statistical Area",-93.898045,42.02884,26224,1 
"14380","Boone, NC Micropolitan Statistical Area",-81.687746,36.220003,42695,1 
"14420","Borger, TX Micropolitan Statistical Area",-101.448864,35.679872,23857,1 
"14460","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",-71.105998,42.428604,4391344,1 
"14500","Boulder, CO Metropolitan Statistical Area",-105.189186,40.06039,269814,1 
"14540","Bowling Green, KY Metropolitan Statistical Area",-86.413948,36.999966,104166,1 
"14580","Bozeman, MT Micropolitan Statistical Area",-111.12141,45.677449,67831,1 
"14600","Bradenton-Sarasota-Venice, FL Metropolitan Statistical Area",-82.497315,27.336585,589959,1 
"14620","Bradford, PA Micropolitan Statistical Area",-78.582054,41.863962,45936,1 
"14660","Brainerd, MN Micropolitan Statistical Area",-94.239544,46.566794,82249,1 
"14700","Branson, MO Micropolitan Statistical Area",-93.290539,36.678977,68361,1 
"14740","Bremerton-Silverdale, WA Metropolitan Statistical Area",-122.633719,47.61238,231969,1 
"14780","Brenham, TX Micropolitan Statistical Area",-96.397136,30.182149,30373,1 
"14820","Brevard, NC Micropolitan Statistical Area",-82.745336,35.210297,29334,1 
"14860","Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",-73.364577,41.206901,882567,1 
"14940","Brigham City, UT Micropolitan Statistical Area",-112.101464,41.593891,42745,1 
"15020","Brookhaven, MS Micropolitan Statistical Area",-90.453652,31.554865,33166,1 
"15060","Brookings, OR Micropolitan Statistical Area",-124.328445,42.25169,21137,1 
"15100","Brookings, SD Micropolitan Statistical Area",-96.786422,44.315642,28220,1 
"15140","Brownsville, TN Micropolitan Statistical Area",-89.272172,35.585205,19797,1 
"15180","Brownsville-Harlingen, TX Metropolitan Statistical Area",-97.559621,26.047287,335227,1 
"15220","Brownwood, TX Micropolitan Statistical Area",-98.989112,31.731293,37674,1 
"15260","Brunswick, GA Metropolitan Statistical Area",-81.548211,31.232543,93044,1 
"15340","Bucyrus, OH Micropolitan Statistical Area",-82.873306,40.797361,46966,1 
"15380","Buffalo-Niagara Falls, NY Metropolitan Statistical Area",-78.806962,42.934455,1170111,1 
"15420","Burley, ID Micropolitan Statistical Area",-113.727213,42.548314,41590,1 
"15460","Burlington, IA-IL Micropolitan Statistical Area",-91.109957,40.833034,50564,1 
"15500","Burlington, NC Metropolitan Statistical Area",-79.413205,36.073689,130800,1 
"15540","Burlington-South Burlington, VT Metropolitan Statistical Area",-73.119356,44.574844,198889,1 
"15580","Butte-Silver Bow, MT Micropolitan Statistical Area",-112.52473,45.98869,34606,1 
"15620","Cadillac, MI Micropolitan Statistical Area",-85.383552,44.305549,44962,1 
"15660","Calhoun, GA Micropolitan Statistical Area",-84.905712,34.499565,44104,1 
"15700","Cambridge, MD Micropolitan Statistical Area",-76.013259,38.565563,30674,1 
"15740","Cambridge, OH Micropolitan Statistical Area",-81.544056,40.016785,40792,1 
"15780","Camden, AR Micropolitan Statistical Area",-92.781146,33.576892,34534,1 
"15820","Campbellsville, KY Micropolitan Statistical Area",-85.341691,37.351084,22927,1 
"15860","Canon City, CO Micropolitan Statistical Area",-105.20269,38.422452,46145,1 
"15900","Canton, IL Micropolitan Statistical Area",-90.120839,40.52078,38250,1 
"15940","Canton-Massillon, OH Metropolitan Statistical Area",-81.365727,40.81873,406934,1 
"15980","Cape Coral-Fort Myers, FL Metropolitan Statistical Area",-81.872671,26.575969,440888,1 
"16020","Cape Girardeau-Jackson, MO-IL Micropolitan Statistical Area",-89.623372,37.326481,90312,1 
"16060","Carbondale, IL Micropolitan Statistical Area",-89.283561,37.752054,59612,1 
"16100","Carlsbad-Artesia, NM Micropolitan Statistical Area",-104.288483,32.540145,51658,1 
"16180","Carson City, NV Metropolitan Statistical Area",-119.754016,39.16612,52457,1 
"16220","Casper, WY Metropolitan Statistical Area",-106.33828,42.842643,66533,1 
"16260","Cedar City, UT Micropolitan Statistical Area",-113.070956,37.710597,33779,1 
"16300","Cedar Rapids, IA Metropolitan Statistical Area",-91.649275,42.025273,237230,1 
"16340","Cedartown, GA Micropolitan Statistical Area",-85.179067,34.010552,38127,1 
"16380","Celina, OH Micropolitan Statistical Area",-84.607526,40.518786,40924,1 
"16420","Central City, KY Micropolitan Statistical Area",-87.146055,37.237911,31839,1 
"16460","Centralia, IL Micropolitan Statistical Area",-89.021761,38.590173,41691,1 
"16500","Centralia, WA Micropolitan Statistical Area",-122.819396,46.617899,68600,1 
"16540","Chambersburg, PA Micropolitan Statistical Area",-77.658151,39.88224,129313,1 
"16580","Champaign-Urbana, IL Metropolitan Statistical Area",-88.257875,40.148461,210275,1 
"16620","Charleston, WV Metropolitan Statistical Area",-81.716504,38.346512,309635,1 
"16660","Charleston-Mattoon, IL Micropolitan Statistical Area",-88.263398,39.451819,64449,1 
"16700","Charleston-North Charleston-Summerville, SC Metropolitan Statistical Area",-80.039727,32.921727,549033,1 
"16740","Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",-80.839115,35.19002,1330448,1 
"16820","Charlottesville, VA Metropolitan Statistical Area",-78.506546,38.02618,174021,1 
"16860","Chattanooga, TN-GA Metropolitan Statistical Area",-85.253763,35.04198,476531,1 
"16900","Chester, SC Micropolitan Statistical Area",-81.124082,34.701184,34068,1 
"16940","Cheyenne, WY Metropolitan Statistical Area",-104.777357,41.152202,81607,1 
"16980","Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",-87.844006,41.87359,9098316,1 
"17020","Chico, CA Metropolitan Statistical Area",-121.705132,39.669931,203171,1 
"17060","Chillicothe, OH Micropolitan Statistical Area",-83.016734,39.338475,73345,1 
"17140","Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area",-84.470554,39.188011,2009632,1 
"17180","City of The Dalles, OR Micropolitan Statistical Area",-121.202619,45.537065,23791,1 
"17200","Claremont, NH Micropolitan Statistical Area",-72.265183,43.36624,40458,1 
"17220","Clarksburg, WV Micropolitan Statistical Area",-80.326057,39.296801,92144,1 
"17260","Clarksdale, MS Micropolitan Statistical Area",-90.568025,34.22267,30622,1 
"17300","Clarksville, TN-KY Metropolitan Statistical Area",-87.448364,36.639694,232000,1 
"17340","Clearlake, CA Micropolitan Statistical Area",-122.740698,38.977625,58309,1 
"17380","Cleveland, MS Micropolitan Statistical Area",-90.780936,33.77752,40633,1 
"17420","Cleveland, TN Metropolitan Statistical Area",-84.814796,35.159194,104015,1 
"17460","Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area",-81.687132,41.449405,2148143,1 
"17500","Clewiston, FL Micropolitan Statistical Area",-81.203457,26.716163,36210,1 
"17540","Clinton, IA Micropolitan Statistical Area",-90.334617,41.853508,50149,1 
"17580","Clovis, NM Micropolitan Statistical Area",-103.224917,34.418905,45044,1 
"17660","Coeur dAlene, ID Metropolitan Statistical Area",-116.824839,47.73268,108685,1 
"17700","Coffeyville, KS Micropolitan Statistical Area",-95.692099,37.138966,36252,1 
"17740","Coldwater, MI Micropolitan Statistical Area",-85.035156,41.930266,45787,1 
"17780","College Station-Bryan, TX Metropolitan Statistical Area",-96.381679,30.649329,184885,1 
"17820","Colorado Springs, CO Metropolitan Statistical Area",-104.781077,38.870185,537484,1 
"17860","Columbia, MO Metropolitan Statistical Area",-92.348219,38.9752,145666,1 
"17900","Columbia, SC Metropolitan Statistical Area",-81.053149,34.037372,647158,1 
"17940","Columbia, TN Micropolitan Statistical Area",-87.056165,35.614686,69498,1 
"17980","Columbus, GA-AL Metropolitan Statistical Area",-84.94252,32.481862,281768,1 
"18020","Columbus, IN Metropolitan Statistical Area",-85.90027,39.21717,71435,1 
"18060","Columbus, MS Micropolitan Statistical Area",-88.395878,33.514169,61586,1 
"18100","Columbus, NE Micropolitan Statistical Area",-97.390707,41.472988,31662,1 
"18140","Columbus, OH Metropolitan Statistical Area",-82.941246,40.008245,1612694,1 
"18180","Concord, NH Micropolitan Statistical Area",-71.583954,43.246165,136225,1 
"18220","Connersville, IN Micropolitan Statistical Area",-85.147385,39.640899,25588,1 
"18260","Cookeville, TN Micropolitan Statistical Area",-85.478369,36.223545,93417,1 
"18300","Coos Bay, OR Micropolitan Statistical Area",-124.22794,43.302422,62779,1 
"18340","Corbin, KY Micropolitan Statistical Area",-84.137179,36.807961,35865,1 
"18380","Cordele, GA Micropolitan Statistical Area",-83.778468,31.950646,21996,1 
"18420","Corinth, MS Micropolitan Statistical Area",-88.529598,34.908682,34558,1 
"18460","Cornelia, GA Micropolitan Statistical Area",-83.541494,34.566083,35902,1 
"18500","Corning, NY Micropolitan Statistical Area",-77.324893,42.270053,98726,1 
"18580","Corpus Christi, TX Metropolitan Statistical Area",-97.409408,27.789427,403280,1 
"18620","Corsicana, TX Micropolitan Statistical Area",-96.490982,32.079585,45124,1 
"18660","Cortland, NY Micropolitan Statistical Area",-76.14331,42.597101,48599,1 
"18700","Corvallis, OR Metropolitan Statistical Area",-123.281343,44.570902,78153,1 
"18740","Coshocton, OH Micropolitan Statistical Area",-81.861667,40.288837,36655,1 
"18820","Crawfordsville, IN Micropolitan Statistical Area",-86.900552,40.034391,37629,1 
"18860","Crescent City, CA Micropolitan Statistical Area",-124.160684,41.795554,27507,1 
"18900","Crossville, TN Micropolitan Statistical Area",-85.022882,35.950733,46802,1 
"18940","Crowley, LA Micropolitan Statistical Area",-92.350954,30.274473,58861,1 
"18980","Cullman, AL Micropolitan Statistical Area",-86.831669,34.162156,77483,1 
"19020","Culpeper, VA Micropolitan Statistical Area",-77.997492,38.499845,34262,1 
"19060","Cumberland, MD-WV Metropolitan Statistical Area",-78.845655,39.586024,102008,1 
"19100","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",-96.94308,32.836447,5161544,1 
"19140","Dalton, GA Metropolitan Statistical Area",-84.913764,34.787033,120031,1 
"19180","Danville, IL Metropolitan Statistical Area",-87.654996,40.151567,83919,1 
"19220","Danville, KY Micropolitan Statistical Area",-84.738267,37.559782,51058,1 
"19260","Danville, VA Metropolitan Statistical Area",-79.40773,36.694232,110156,1 
"19300","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",-87.760623,30.565383,140415,1 
"19340","Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",-90.490596,41.4871,376019,1 
"19380","Dayton, OH Metropolitan Statistical Area",-84.194164,39.779818,848153,1 
"19460","Decatur, AL Metropolitan Statistical Area",-87.011726,34.522767,145867,1 
"19500","Decatur, IL Metropolitan Statistical Area",-88.947808,39.850756,114706,1 
"19540","Decatur, IN Micropolitan Statistical Area",-84.93574,40.757482,33625,1 
"19580","Defiance, OH Micropolitan Statistical Area",-84.446352,41.29475,39500,1 
"19620","Del Rio, TX Micropolitan Statistical Area",-100.898717,29.380325,44856,1 
"19660","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",-81.115213,29.083901,443343,1 
"19700","Deming, NM Micropolitan Statistical Area",-107.741198,32.216243,25016,1 
"19740","Denver-Aurora, CO Metropolitan Statistical Area",-104.976624,39.7072,2179240,1 
"19760","De Ridder, LA Micropolitan Statistical Area",-93.291766,30.73813,32986,1 
"19780","Des Moines-West Des Moines, IA Metropolitan Statistical Area",-93.695708,41.596049,481394,1 
"19820","Detroit-Warren-Livonia, MI Metropolitan Statistical Area",-83.186554,42.490867,4452557,1 
"19860","Dickinson, ND Micropolitan Statistical Area",-102.802398,46.884016,23524,1 
"19900","Dillon, SC Micropolitan Statistical Area",-79.358184,34.395742,30722,1 
"19940","Dixon, IL Micropolitan Statistical Area",-89.396278,41.809423,36062,1 
"19980","Dodge City, KS Micropolitan Statistical Area",-99.99124,37.748939,32458,1 
"20020","Dothan, AL Metropolitan Statistical Area",-85.452094,31.219015,130861,1 
"20060","Douglas, GA Micropolitan Statistical Area",-82.849749,31.483799,45022,1 
"20100","Dover, DE Metropolitan Statistical Area",-75.556129,39.117372,126697,1 
