"cbsa","cbsaname","pop2k","afact"
"cbsa","CBSA Name","Total Pop, 2000 census","cbsa to cbsa alloc factor"
"23860","Georgetown, SC Micropolitan Statistical Area",55797,1 
"23900","Gettysburg, PA Micropolitan Statistical Area",91292,1 
"23940","Gillette, WY Micropolitan Statistical Area",33698,1 
"23980","Glasgow, KY Micropolitan Statistical Area",48070,1 
"24020","Glens Falls, NY Metropolitan Statistical Area",124345,1 
"24100","Gloversville, NY Micropolitan Statistical Area",55073,1 
"24140","Goldsboro, NC Metropolitan Statistical Area",113329,1 
"24180","Granbury, TX Micropolitan Statistical Area",47909,1 
"24220","Grand Forks, ND-MN Metropolitan Statistical Area",97478,1 
"24260","Grand Island, NE Micropolitan Statistical Area",68305,1 
"24300","Grand Junction, CO Metropolitan Statistical Area",116255,1 
"24340","Grand Rapids-Wyoming, MI Metropolitan Statistical Area",740482,1 
"24380","Grants, NM Micropolitan Statistical Area",25595,1 
"24420","Grants Pass, OR Micropolitan Statistical Area",75726,1 
"24460","Great Bend, KS Micropolitan Statistical Area",28205,1 
"24500","Great Falls, MT Metropolitan Statistical Area",80357,1 
"24540","Greeley, CO Metropolitan Statistical Area",180926,1 
"24580","Green Bay, WI Metropolitan Statistical Area",282599,1 
"24620","Greeneville, TN Micropolitan Statistical Area",62909,1 
"24660","Greensboro-High Point, NC Metropolitan Statistical Area",643430,1 
"24700","Greensburg, IN Micropolitan Statistical Area",24555,1 
"24740","Greenville, MS Micropolitan Statistical Area",62977,1 
"24780","Greenville, NC Metropolitan Statistical Area",152772,1 
"24820","Greenville, OH Micropolitan Statistical Area",53309,1 
"24860","Greenville-Mauldin-Easley, SC Metropolitan Statistical Area",559940,1 
"24900","Greenwood, MS Micropolitan Statistical Area",48716,1 
"24940","Greenwood, SC Micropolitan Statistical Area",66271,1 
"24980","Grenada, MS Micropolitan Statistical Area",23263,1 
"25060","Gulfport-Biloxi, MS Metropolitan Statistical Area",246190,1 
"25100","Guymon, OK Micropolitan Statistical Area",20107,1 
"25180","Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",222771,1 
"25220","Hammond, LA Micropolitan Statistical Area",100588,1 
"25260","Hanford-Corcoran, CA Metropolitan Statistical Area",129461,1 
"25300","Hannibal, MO Micropolitan Statistical Area",37915,1 
"25340","Harriman, TN Micropolitan Statistical Area",51910,1 
"25380","Harrisburg, IL Micropolitan Statistical Area",26733,1 
"25420","Harrisburg-Carlisle, PA Metropolitan Statistical Area",509074,1 
"25460","Harrison, AR Micropolitan Statistical Area",42556,1 
"25500","Harrisonburg, VA Metropolitan Statistical Area",108193,1 
"25540","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",1148618,1 
"25580","Hastings, NE Micropolitan Statistical Area",38190,1 
"25620","Hattiesburg, MS Metropolitan Statistical Area",123812,1 
"25660","Havre, MT Micropolitan Statistical Area",16673,1 
