"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
"10","005",119748,2299,28489,1371831,18052006
"11","001",285627,10877,9636,5661532,5293671
"12","001",115147,2854,11610,911218,7401661
"12","003",9276,332,1470,123526,1024950
"12","005",97796,4095,11545,1620313,6268165
"12","007",10040,338,1150,169753,814143
"12","009",283751,16679,21656,6080719,14038747
"12","011",826695,37707,21282,14445314,11449646
"12","013",5164,314,587,160413,367661
"12","015",104601,3817,16571,1580919,8120488
"12","017",78980,4704,6522,1961382,4443929
"12","019",79132,2360,6968,792837,4589660
"12","021",204300,5106,24771,2239759,12689607
"12","023",23116,1402,2546,589607,1576381
"12","027",12397,124,2264,39140,1237995
"12","029",5859,437,1719,137912,1423105
"12","031",419445,13034,25693,5120636,13946101
"12","033",146870,7395,14145,3307655,9261505
"12","035",48499,2473,5892,703177,3593352
"12","037",5153,404,939,280428,575756
"12","039",18410,1238,1184,530416,727360
"12","041",6995,511,953,237939,643309
"12","043",4972,41,3636,23586,1620253
"12","045",8426,330,2409,165259,1479238
"12","047",4573,331,341,173969,243043
"12","049",9655,22,2946,2085,1839137
"12","051",13088,151,2760,85572,1709440
"12","053",85089,702,9977,267932,4004591
"12","055",61758,936,11844,281807,7247850
"12","057",555478,15363,52607,5525672,26740172
"12","059",8802,271,1445,91654,960269
"12","061",84502,3951,10069,1547120,6546816
"12","063",20582,1153,2608,474194,1735170
"12","065",8208,284,1650,137613,1261028
"12","067",2905,234,1285,120351,1094231
"12","069",151986,6804,18564,2240328,10559317
"12","071",369486,11499,50090,3757014,21685144
"12","073",124473,3321,8251,1554280,5450130
"12","075",17930,765,2709,281708,1803721
"12","077",3205,251,1191,105959,1016153
"12","079",10074,341,4674,171458,3760778
"12","081",183662,4184,21450,1367931,11668404
"12","083",166957,9835,14788,3573871,8679340
"12","085",80745,3303,5999,1262076,3547600
"12","086",957191,27700,29176,10766371,13606176
"12","087",45453,1917,4570,932513,2500142
"12","089",42284,1817,11048,694307,7982792
"12","091",100440,4000,9985,1569974,6375692
"12","093",17229,466,2078,201498,1306522
"12","095",479421,21900,25699,6507431,14314259
"12","097",126820,7346,19121,1890783,10274978
"12","099",683052,36348,30215,15758950,17970098
"12","101",235990,6184,23079,2242137,10937855
"12","103",510927,27862,21827,10834734,13049806
"12","105",304031,8072,45271,2597752,26544617
"12","107",37437,1378,10184,526174,8008750
"12","109",93195,3420,10617,1189938,6079625
"12","111",140294,9156,11089,2947564,6953291
"12","113",69287,3618,7617,1393333,5145008
"12","115",237189,8099,21010,2530111,11682456
"12","117",181786,7202,8727,2322835,5040744
"12","119",46261,1712,6863,609524,3208150
"12","121",23516,1881,2265,752759,1212918
"12","123",8690,698,872,338990,584656
"12","125",6484,155,2544,67021,2037014
"12","127",254832,11514,16036,3928848,9502064
"12","129",11615,473,1146,143628,619058
"12","131",42485,1521,6968,571154,4130288
"12","133",10339,737,1167,311590,713191
"13","001",8304,1050,395,535432,266713
"13","003",3167,67,1315,22050,919309
"13","005",4877,544,289,221494,206462
"13","007",848,2,128,949,74416
"13","009",21200,1610,1683,783620,1120902
"13","011",6886,392,818,191827,432542
"13","013",28407,967,3336,363052,1890899
"13","015",40985,1490,3658,617483,2067337
"13","017",8320,433,908,231791,561985
"13","019",9370,414,2849,172348,1131796
"13","021",75299,6537,3986,3043734,2280041
"13","023",7670,370,3325,130961,2118077
"13","025",4386,443,204,166896,134957
"13","027",6879,659,569,240021,380016
"13","029",11405,497,725,159004,391062
"13","031",27473,1404,1619,569557,1153709
"13","033",9862,762,880,298843,493761
"13","035",9071,656,618,268187,288475
"13","037",1936,98,575,27623,445392
"13","039",21564,1195,2122,437148,1206628
"13","043",4908,502,1209,144612,634819
"13","045",48119,2673,4270,1019964,2589242
"13","047",26687,968,1230,382432,668509
"13","049",4322,288,350,157260,251382
"13","051",118272,4771,7406,1852896,4001008
"13","053",3537,435,263,117733,137521
"13","055",10714,563,733,282879,409712
"13","057",87908,2039,8614,672613,4602485
"13","059",52626,1902,3355,809379,1716668
"13","061",958,80,246,27400,197319
"13","063",111370,6289,5535,2342759,3323302
"13","065",3091,212,625,77322,501943
"13","067",292535,9724,13745,3390945,7024024
"13","069",16866,1375,1421,530020,1049087
"13","071",19629,1092,2282,432347,1426922
"13","073",47251,1322,3653,450115,1911690
"13","075",6324,531,744,214360,531878
