"msa_code","city","state","label"
"18900","Crossville","TN","CrssvlTN"
"18940","Crowley","LA","CrowlyLA"
"18980","Cullman","AL","CullmnAL"
"19020","Culpeper","VA","CulpprVA"
"19060","Cumberland","MD","CmbrlnMD"
"19100","Dallas","TX","DallasTX"
"19140","Dalton","GA","DaltonGA"
"19180","Danville","IL","DanvllIL"
"19220","Danville","KY","DanvllKY"
"19260","Danville","VA","DanvllVA"
"19300","Daphne","AL","DaphneAL"
"19340","Davenport","IA","DvnprtIA"
"19380","Dayton","OH","DaytonOH"
"19460","Decatur","AL","DecatrAL"
"19500","Decatur","IL","DecatrIL"
"19540","Decatur","IN","DecatrIN"
"19580","Defiance","OH","DefincOH"
"19620","Del Rio","TX","DelRioTX"
"19660","Deltona","FL","DeltonFL"
"19700","Deming","NM","DemingNM"
"19740","Denver","CO","DenverCO"
"19760","De Ridder","LA","DRiddrLA"
"19780","Des Moines","IA","DesMnsIA"
"19820","Detroit","MI","DetrotMI"
"19860","Dickinson","ND","DcknsnND"
"19900","Dillon","SC","DillonSC"
"19940","Dixon","IL","DixonIL"
"19980","Dodge City","KS","DdgCtyKS"
"20020","Dothan","AL","DothanAL"
"20060","Douglas","GA","DouglsGA"
"20100","Dover","DE","DoverDE"
"20140","Dublin","GA","DublinGA"
"20180","DuBois","PA","DuBoisPA"
"20220","Dubuque","IA","DubuquIA"
"20260","Duluth","MN","DuluthMN"
"20300","Dumas","TX","DumasTX"
"20340","Duncan","OK","DuncanOK"
"20380","Dunn","NC","DunnNC"
"20420","Durango","CO","DurangCO"
"20460","Durant","OK","DurantOK"
"20500","Durham","NC","DurhamNC"
"20540","Dyersburg","TN","DyrsbrTN"
"20580","Eagle Pass","TX","EglPssTX"
"20620","East Liverpool","OH","EstLvrOH"
"20660","Easton","MD","EastonMD"
"20700","East Stroudsburg","PA","EstStrPA"
"20740","Eau Claire","WI","EClairWI"
"20780","Edwards","CO","EdwrdsCO"
"20820","Effingham","IL","EffnghIL"
"20900","El Campo","TX","ElCampTX"
"20940","El Centro","CA","ElCntrCA"
"20980","El Dorado","AR","ElDordAR"
"21020","Elizabeth City","NC","ElzbtCNC"
"21060","Elizabethtown","KY","ElzbthKY"
"21120","Elk City","OK","ElkCtyOK"
"21140","Elkhart","IN","ElkhrtIN"
"21220","Elko","NV","ElkoNV"
"21260","Ellensburg","WA","EllnsbWA"
"21300","Elmira","NY","ElmiraNY"
"21340","El Paso","TX","ElPasoTX"
