"Akron, OH",10420,1978,2,49.46,( 0.78)
"Akron, OH",10420,1978,3,49.29,( 0.77)
"Akron, OH",10420,1978,4,53.33,( 0.85)
"Akron, OH",10420,1979,1,53.29,( 0.85)
"Akron, OH",10420,1979,2,54.64,( 0.67)
"Akron, OH",10420,1979,3,56.4,( 0.75)
"Akron, OH",10420,1979,4,56.14,( 0.86)
"Akron, OH",10420,1980,1,55.71,( 0.99)
"Akron, OH",10420,1980,2,56,( 1.03)
"Akron, OH",10420,1980,3,56.38,( 0.78)
"Akron, OH",10420,1980,4,57.18,( 0.87)
"Akron, OH",10420,1981,1,56.59,( 1.76)
"Akron, OH",10420,1981,2,56.55,( 1.28)
"Akron, OH",10420,1981,3,57.21,( 1.66)
"Akron, OH",10420,1981,4,57.43,( 1.57)
"Akron, OH",10420,1982,1,55.43,( 1.75)
"Akron, OH",10420,1982,2,57.19,( 1.66)
"Akron, OH",10420,1982,3,54.83,( 1.37)
"Akron, OH",10420,1982,4,55.74,( 1.24)
"Akron, OH",10420,1983,1,56.9,( 0.80)
"Akron, OH",10420,1983,2,58.12,( 0.72)
"Akron, OH",10420,1983,3,58.28,( 0.65)
"Akron, OH",10420,1983,4,57.16,( 0.81)
"Akron, OH",10420,1984,1,56.73,( 0.69)
"Akron, OH",10420,1984,2,57.9,( 0.52)
"Akron, OH",10420,1984,3,57,( 0.64)
"Akron, OH",10420,1984,4,57.64,( 0.52)
"Akron, OH",10420,1985,1,58.75,( 0.48)
"Akron, OH",10420,1985,2,59.22,( 0.44)
"Akron, OH",10420,1985,3,59.65,( 0.40)
"Akron, OH",10420,1985,4,60.06,( 0.45)
"Akron, OH",10420,1986,1,61.71,( 0.46)
"Akron, OH",10420,1986,2,62.06,( 0.37)
"Akron, OH",10420,1986,3,63.51,( 0.38)
"Akron, OH",10420,1986,4,63.9,( 0.41)
"Akron, OH",10420,1987,1,65.13,( 0.43)
"Akron, OH",10420,1987,2,67.02,( 0.41)
"Akron, OH",10420,1987,3,67.96,( 0.52)
"Akron, OH",10420,1987,4,68.19,( 0.65)
"Akron, OH",10420,1988,1,69.79,( 0.65)
"Akron, OH",10420,1988,2,70.74,( 0.52)
"Akron, OH",10420,1988,3,71.27,( 0.55)
"Akron, OH",10420,1988,4,72.03,( 0.59)
"Akron, OH",10420,1989,1,71.78,( 0.60)
"Akron, OH",10420,1989,2,73.86,( 0.52)
"Akron, OH",10420,1989,3,77.21,( 0.51)
"Akron, OH",10420,1989,4,76.92,( 0.53)
"Akron, OH",10420,1990,1,79.5,( 0.60)
"Akron, OH",10420,1990,2,78.42,( 0.53)
"Akron, OH",10420,1990,3,80.77,( 0.51)
"Akron, OH",10420,1990,4,80.77,( 0.55)
"Akron, OH",10420,1991,1,82.09,( 0.54)
"Akron, OH",10420,1991,2,83.21,( 0.48)
"Akron, OH",10420,1991,3,84.13,( 0.50)
"Akron, OH",10420,1991,4,85.07,( 0.48)
"Akron, OH",10420,1992,1,87.07,( 0.46)
"Akron, OH",10420,1992,2,87.49,( 0.46)
"Akron, OH",10420,1992,3,89.14,( 0.48)
"Akron, OH",10420,1992,4,90.24,( 0.47)
"Akron, OH",10420,1993,1,91.22,( 0.51)
"Akron, OH",10420,1993,2,92.15,( 0.47)
"Akron, OH",10420,1993,3,93.9,( 0.49)
"Akron, OH",10420,1993,4,95.54,( 0.48)
"Akron, OH",10420,1994,1,95.79,( 0.52)
"Akron, OH",10420,1994,2,96.78,( 0.55)
"Akron, OH",10420,1994,3,98.93,( 0.58)
"Akron, OH",10420,1994,4,98.79,( 0.61)
"Akron, OH",10420,1995,1,100,( 0.00)
"Akron, OH",10420,1995,2,101.82,( 0.58)
"Akron, OH",10420,1995,3,103.61,( 0.56)
"Akron, OH",10420,1995,4,104.83,( 0.57)
"Akron, OH",10420,1996,1,107.4,( 0.57)
"Akron, OH",10420,1996,2,107.38,( 0.58)
"Akron, OH",10420,1996,3,108.18,( 0.61)
"Akron, OH",10420,1996,4,109.83,( 0.62)
"Akron, OH",10420,1997,1,110.93,( 0.63)
"Akron, OH",10420,1997,2,111.83,( 0.61)
"Akron, OH",10420,1997,3,114.17,( 0.61)
"Akron, OH",10420,1997,4,115.62,( 0.62)
"Akron, OH",10420,1998,1,117.56,( 0.60)
"Akron, OH",10420,1998,2,118.53,( 0.60)
"Akron, OH",10420,1998,3,119.93,( 0.62)
"Akron, OH",10420,1998,4,121.47,( 0.61)
"Akron, OH",10420,1999,1,122.43,( 0.63)
"Akron, OH",10420,1999,2,123.8,( 0.65)
"Akron, OH",10420,1999,3,123.74,( 0.67)
"Akron, OH",10420,1999,4,123.95,( 0.70)
"Akron, OH",10420,2000,1,124.14,( 0.69)
"Akron, OH",10420,2000,2,125.76,( 0.66)
"Akron, OH",10420,2000,3,127.99,( 0.67)
"Akron, OH",10420,2000,4,129.35,( 0.68)
"Akron, OH",10420,2001,1,132.25,( 0.67)
"Akron, OH",10420,2001,2,133.63,( 0.66)
"Akron, OH",10420,2001,3,134.54,( 0.67)
"Akron, OH",10420,2001,4,136.51,( 0.67)
"Akron, OH",10420,2002,1,137.09,( 0.68)
"Akron, OH",10420,2002,2,137.21,( 0.69)
"Akron, OH",10420,2002,3,139.11,( 0.69)
"Akron, OH",10420,2002,4,140.19,( 0.68)
"Akron, OH",10420,2003,1,141.02,( 0.69)
"Akron, OH",10420,2003,2,142.04,( 0.69)
"Akron, OH",10420,2003,3,143.51,( 0.70)
"Akron, OH",10420,2003,4,143.72,( 0.76)
"Akron, OH",10420,2004,1,144.99,( 0.76)
"Akron, OH",10420,2004,2,145.64,( 0.76)
"Akron, OH",10420,2004,3,146.63,( 0.81)
"Akron, OH",10420,2004,4,148.47,( 0.83)
"Akron, OH",10420,2005,1,149.5,( 0.86)
"Akron, OH",10420,2005,2,151.39,( 0.86)
"Akron, OH",10420,2005,3,152.21,( 0.85)
"Akron, OH",10420,2005,4,152.67,( 0.90)
"Akron, OH",10420,2006,1,154.5,( 0.96)
"Akron, OH",10420,2006,2,150.94,( 0.89)
"Akron, OH",10420,2006,3,149.76,( 0.88)
"Akron, OH",10420,2006,4,153.3,( 0.92)
"Akron, OH",10420,2007,1,152.2,( 0.94)
"Akron, OH",10420,2007,2,150.49,( 0.89)
"Akron, OH",10420,2007,3,149.88,( 0.90)
"Akron, OH",10420,2007,4,149.92,( 0.93)
"Akron, OH",10420,2008,1,151.35,( 0.90)
"Akron, OH",10420,2008,2,150.54,( 1.00)
"Akron, OH",10420,2008,3,146,( 1.08)
"Akron, OH",10420,2008,4,145.94,( 1.14)
"Akron, OH",10420,2009,1,149.51,( 0.89)
"Albany, GA",10500,1975,1,-,-
"Albany, GA",10500,1975,2,-,-
"Albany, GA",10500,1975,3,-,-
"Albany, GA",10500,1975,4,-,-
"Albany, GA",10500,1976,1,-,-
"Albany, GA",10500,1976,2,-,-
"Albany, GA",10500,1976,3,-,-
"Albany, GA",10500,1976,4,-,-
"Albany, GA",10500,1977,1,-,-
"Albany, GA",10500,1977,2,-,-
"Albany, GA",10500,1977,3,-,-
"Albany, GA",10500,1977,4,-,-
"Albany, GA",10500,1978,1,-,-
"Albany, GA",10500,1978,2,-,-
"Albany, GA",10500,1978,3,-,-
