"city","state","msa_fips","fips","year","total","tourism","growth","percent_tourism","percent_growth","fips_st","fips_place","latitude","longitude"
"Charleston","SC","16740",16740,2006,114147,2933,16171,2.57,14.17,45,13330,32.78525,-79.994024
"Charleston","SC","16740",16740,2002,88724,2084,13161,2.35,14.83,45,13330,32.78525,-79.994024
"Charleston","SC","16740",16740,2001,80839,2016,11248,2.49,13.91,45,13330,32.78525,-79.994024
"Charleston","WV","16700",16700,2006,24056,2492,4966,10.36,20.64,54,14600,38.35055,-81.630439
"Charleston","WV","16700",16700,2005,22617,2285,4694,10.1,20.75,54,14600,38.35055,-81.630439
"Charleston","WV","16700",16700,2002,18155,1808,3841,9.96,21.16,54,14600,38.35055,-81.630439
"Charleston","WV","16700",16700,2003,19343,1958,4007,10.12,20.72,54,14600,38.35055,-81.630439
"Charleston","WV","16700",16700,2001,17136,1664,3714,9.71,21.67,54,14600,38.35055,-81.630439
"Charleston","WV","16700",16700,2004,20705,2108,4313,10.18,20.83,54,14600,38.35055,-81.630439
"Charlotte","NC","16820",16820,2006,8332,0,1690,0,20.28,37,12000,35.19755,-80.834514
"Charlotte","NC","16820",16820,2005,7744,342,1618,4.42,20.89,37,12000,35.19755,-80.834514
"Charlotte","NC","16820",16820,2004,7110,0,1441,0,20.27,37,12000,35.19755,-80.834514
"Charlotte","NC","16820",16820,2002,6105,287,1149,4.7,18.82,37,12000,35.19755,-80.834514
"Charlotte","NC","16820",16820,2003,6501,292,1266,4.49,19.47,37,12000,35.19755,-80.834514
"Charlotte","NC","16820",16820,2001,5910,536,312,9.07,5.28,37,12000,35.19755,-80.834514
"Charlottesville","VA","16860",16860,2003,16656,560,1625,3.36,9.76,51,14968,38.03745,-78.485745
"Charlottesville","VA","16860",16860,2004,17552,600,1699,3.42,9.68,51,14968,38.03745,-78.485745
"Charlottesville","VA","16860",16860,2002,16158,1020,1822,6.31,11.28,51,14968,38.03745,-78.485745
"Charlottesville","VA","16860",16860,2006,19103,661,1633,3.46,8.55,51,14968,38.03745,-78.485745
"Charlottesville","VA","16860",16860,2001,15423,480,2439,3.11,15.81,51,14968,38.03745,-78.485745
"Charlottesville","VA","16860",16860,2005,18061,638,1444,3.53,8,51,14968,38.03745,-78.485745
"Chattanooga","TN","16940",16940,2006,3948,485,555,12.28,14.06,47,14000,35.066209,-85.256956
"Chattanooga","TN","16940",16940,2003,3147,206,416,6.55,13.22,47,14000,35.066209,-85.256956
"Chattanooga","TN","16940",16940,2001,2745,173,333,6.3,12.13,47,14000,35.066209,-85.256956
"Chattanooga","TN","16940",16940,2005,3566,256,507,7.18,14.22,47,14000,35.066209,-85.256956
"Chattanooga","TN","16940",16940,2002,2941,200,379,6.8,12.89,47,14000,35.066209,-85.256956
"Chattanooga","TN","16940",16940,2004,3290,236,405,7.17,12.31,47,14000,35.066209,-85.256956
"Cheyenne","WY","16980",16980,2003,419436,13791,79877,3.29,19.04,56,13900,41.14545,-104.792349
"Cheyenne","WY","16980",16980,2005,460125,30750,86330,6.68,18.76,56,13900,41.14545,-104.792349
"Cheyenne","WY","16980",16980,2001,396279,12633,75184,3.19,18.97,56,13900,41.14545,-104.792349
"Cheyenne","WY","16980",16980,2002,404593,13264,78521,3.28,19.41,56,13900,41.14545,-104.792349
"Cheyenne","WY","16980",16980,2006,485002,32997,91352,6.8,18.84,56,13900,41.14545,-104.792349
"Cheyenne","WY","16980",16980,2004,441457,29544,81887,6.69,18.55,56,13900,41.14545,-104.792349
"Chicago","IL","17020",17020,2001,4093,294,790,7.18,19.3,17,14000,41.83705,-87.684965
"Chicago","IL","17020",17020,2006,5625,388,1155,6.9,20.53,17,14000,41.83705,-87.684965
"Chicago","IL","17020",17020,2004,5013,337,1042,6.72,20.79,17,14000,41.83705,-87.684965
"Chicago","IL","17020",17020,2005,5378,354,1170,6.58,21.76,17,14000,41.83705,-87.684965
"Chicago","IL","17020",17020,2002,4442,310,884,6.98,19.9,17,14000,41.83705,-87.684965
"Chicago","IL","17020",17020,2003,4647,308,937,6.63,20.16,17,14000,41.83705,-87.684965
"Chico","CA","17140",17140,2002,79458,2923,0,3.68,0,6,13014,39.753803,-121.806931
"Chico","CA","17140",17140,2003,82231,3044,0,3.7,0,6,13014,39.753803,-121.806931
"Chico","CA","17140",17140,2001,75968,2727,0,3.59,0,6,13014,39.753803,-121.806931
"Chico","CA","17140",17140,2004,86552,3201,0,3.7,0,6,13014,39.753803,-121.806931
"Chico","CA","17140",17140,2005,90785,3334,0,3.67,0,6,13014,39.753803,-121.806931
"Chico","CA","17140",17140,2006,93370,3456,0,3.7,0,6,13014,39.753803,-121.806931
"Cincinnati","OH","17300",17300,2003,6572,165,569,2.51,8.66,39,15000,39.139801,-84.505957
"Cincinnati","OH","17300",17300,2005,8102,185,680,2.28,8.39,39,15000,39.139801,-84.505957
"Cincinnati","OH","17300",17300,2006,8752,193,694,2.21,7.93,39,15000,39.139801,-84.505957
"Cincinnati","OH","17300",17300,2002,5977,18,425,0.3,7.11,39,15000,39.139801,-84.505957
"Cincinnati","OH","17300",17300,2001,5591,129,491,2.31,8.78,39,15000,39.139801,-84.505957
"Cincinnati","OH","17300",17300,2004,7043,173,592,2.46,8.41,39,15000,39.139801,-84.505957
"Clarksville","TN","17420",17420,2004,3169,178,262,5.62,8.27,47,15160,36.561139,-87.347305
"Clarksville","TN","17420",17420,2003,2949,162,277,5.49,9.39,47,15160,36.561139,-87.347305
"Clarksville","TN","17420",17420,2002,2861,158,375,5.52,13.11,47,15160,36.561139,-87.347305
"Clarksville","TN","17420",17420,2001,2740,130,360,4.74,13.14,47,15160,36.561139,-87.347305
"Clarksville","TN","17420",17420,2006,3158,189,178,5.98,5.64,47,15160,36.561139,-87.347305
"Clarksville","TN","17420",17420,2005,3186,188,180,5.9,5.65,47,15160,36.561139,-87.347305
"Cleveland","OH","17660",17660,2003,2816,344,683,12.22,24.25,39,16000,41.4797,-81.678511
"Cleveland","OH","17660",17660,2001,2383,294,526,12.34,22.07,39,16000,41.4797,-81.678511
"Cleveland","OH","17660",17660,2002,2593,315,595,12.15,22.95,39,16000,41.4797,-81.678511
"Cleveland","OH","17660",17660,2006,3857,461,1001,11.95,25.95,39,16000,41.4797,-81.678511
"Cleveland","OH","17660",17660,2004,3148,389,734,12.36,23.32,39,16000,41.4797,-81.678511
"Cleveland","OH","17660",17660,2005,3505,406,885,11.58,25.25,39,16000,41.4797,-81.678511
"Cleveland","TN","17460",17460,2001,83939,5181,14247,6.17,16.97,47,15400,35.177558,-84.867544
