"fips_st","state","owner_occ","total","per_owner","year"
27,"MN",6748,8588,78.5747554727527,2001
27,"MN",6093,7772,78.3968090581575,2002
27,"MN",6729,8402,80.0880742680314,2003
27,"MN",6793,8571,79.255629448139,2004
27,"MN",17197,20607,83.4522249720969,2005
27,"MN",17310,20659,83.789147587008,2006
27,"MN",17381,20825,83.4621848739496,2007
29,"MO",2231,3001,74.3418860379873,2000
29,"MO",6790,9148,74.2238740708352,2001
29,"MO",5931,8006,74.0819385460904,2002
29,"MO",6773,9017,75.1136741710103,2003
29,"MO",6810,9056,75.1987632508834,2004
29,"MO",18361,24115,76.1393323657475,2005
29,"MO",18408,24158,76.1983607914562,2006
29,"MO",18562,24300,76.3868312757202,2007
28,"MS",1170,1540,75.974025974026,2000
28,"MS",6530,8512,76.7152255639098,2001
28,"MS",5879,7596,77.3959978936282,2002
28,"MS",6500,8397,77.4085983089198,2003
28,"MS",6239,8067,77.3397793479608,2004
28,"MS",8631,11425,75.5448577680525,2005
28,"MS",8606,11341,75.8839608500132,2006
28,"MS",8764,11440,76.6083916083916,2007
30,"MT",720,981,73.394495412844,2000
30,"MT",3134,4205,74.5303210463734,2001
30,"MT",2766,3704,74.6760259179266,2002
30,"MT",3009,4106,73.283000487092,2003
30,"MT",2974,4045,73.5228677379481,2004
30,"MT",2823,3724,75.8055853920516,2005
30,"MT",2837,3729,76.0793778492894,2006
30,"MT",2831,3734,75.8168184252812,2007
37,"NC",2945,3925,75.031847133758,2000
37,"NC",8909,12075,73.7805383022774,2001
37,"NC",8188,11025,74.2675736961451,2002
37,"NC",9255,12357,74.8968196164117,2003
37,"NC",9178,12234,75.0204348536865,2004
37,"NC",26783,36063,74.2672545268003,2005
37,"NC",26821,36441,73.6011635246014,2006
37,"NC",27746,37365,74.256657299612,2007
38,"ND",750,1059,70.8215297450425,2000
38,"ND",2931,4236,69.1926345609065,2001
38,"ND",2623,3795,69.1172595520422,2002
38,"ND",2870,4082,70.3086722195003,2003
38,"ND",2961,4135,71.608222490931,2004
38,"ND",2154,2782,77.4263120057513,2005
38,"ND",2158,2788,77.403156384505,2006
38,"ND",2177,2800,77.75,2007
31,"NE",991,1401,70.7351891506067,2000
31,"NE",4676,6463,72.3503017174687,2001
31,"NE",3754,5069,74.0579996054449,2002
31,"NE",3970,5387,73.6959346575088,2003
31,"NE",3962,5326,74.389785955689,2004
31,"NE",5472,7192,76.0845383759733,2005
31,"NE",5504,7208,76.3596004439512,2006
31,"NE",5594,7265,76.9993117687543,2007
33,"NH",804,1090,73.7614678899083,2000
33,"NH",3070,4106,74.7686312713103,2001
33,"NH",2783,3674,75.748502994012,2002
33,"NH",3210,4173,76.923076923077,2003
33,"NH",3185,4100,77.6829268292683,2004
33,"NH",4058,5092,79.693637077769,2005
33,"NH",4044,5080,79.6062992125984,2006
33,"NH",4093,5108,80.1292090837901,2007
34,"NJ",2850,3959,71.9878757261935,2000
34,"NJ",8925,12413,71.9004269717232,2001
34,"NJ",8086,11048,73.189717595945,2002
34,"NJ",9073,12279,73.8903819529278,2003
34,"NJ",9178,12259,74.8674443266172,2004
34,"NJ",24123,32518,74.1835291223322,2005
34,"NJ",23851,32433,73.5392963956464,2006
34,"NJ",24122,32624,73.9394310936734,2007
35,"NM",728,1001,72.7272727272727,2000
35,"NM",2702,3685,73.3242876526459,2001
35,"NM",2448,3290,74.4072948328267,2002
35,"NM",2795,3697,75.6018393291858,2003
35,"NM",2765,3674,75.2585737615678,2004
35,"NM",5704,7493,76.1243827572401,2005
35,"NM",5663,7511,75.3960857409133,2006
35,"NM",5696,7490,76.0480640854473,2007
32,"NV",726,1103,65.8204895738894,2000
