"year","quarter","statefips","countyfips","type","total","vac","nostat","vac_days","nostat_days"
2006,1,"06","037","1",3972922,39341,76996,5144817,10130407
2006,1,"06","039","1",47672,290,2439,30052,274490
2006,1,"06","041","1",120503,1933,4118,221144,536835
2006,1,"06","043","1",6352,1,450,140,57216
2006,1,"06","045","1",36167,618,3531,73969,473082
2006,1,"06","047","1",85007,822,5203,74503,557979
2006,1,"06","049","1",3326,99,481,12402,65069
2006,1,"06","051","1",1704,0,225,0,23060
2006,1,"06","053","1",151763,1229,8230,161583,1126215
2006,1,"06","055","1",57486,401,869,48485,108876
2006,1,"06","057","1",45852,327,4004,39451,480036
2006,1,"06","059","1",1220338,13406,27838,1565468,3500899
2006,1,"06","061","1",137260,828,7400,103456,873798
2006,1,"06","063","1",6836,1,1567,140,210815
2006,1,"06","065","1",796501,14663,42997,1878167,5314529
2006,1,"06","067","1",604141,12085,16399,1332380,1956099
2006,1,"06","069","1",17962,199,280,22200,38469
2006,1,"06","071","1",684491,10402,22439,1315566,2812365
2006,1,"06","073","1",1307671,8985,54907,1022987,7028069
2006,1,"06","075","1",473219,10933,12492,1354651,1550476
2006,1,"06","077","1",244809,3175,9262,360483,1138624
2006,1,"06","079","1",127087,896,8516,122501,1142713
2006,1,"06","081","1",306177,4877,6188,576733,790011
2006,1,"06","083","1",177538,1217,8948,163647,1085731
2006,1,"06","085","1",710272,9494,12934,1108789,1636809
2006,1,"06","087","1",111358,1360,2764,175397,372158
2006,1,"06","089","1",79378,1556,3859,137594,460519
2006,1,"06","091","1",159,0,17,0,1678
2006,1,"06","093","1",18374,409,1166,47830,139230
2006,1,"06","095","1",165756,2135,3543,261749,433287
2006,1,"06","097","1",209125,4734,5557,530062,715235
2006,1,"06","099","1",190296,2101,7631,279078,952369
2006,1,"06","101","1",36198,389,1278,49296,139275
2006,1,"06","103","1",25319,437,1128,51740,136823
2006,1,"06","105","1",983,28,266,2376,35480
2006,1,"06","107","1",135057,537,5581,64016,699391
2006,1,"06","109","1",22090,125,1423,16457,183695
2006,1,"06","111","1",312723,2123,7307,266935,887755
2006,1,"06","113","1",78328,839,2559,69049,304546
2006,1,"06","115","1",27147,1012,2171,113202,240406
2006,1,"08","001","1",184868,9415,12974,961759,1580916
2006,1,"08","003","1",7558,102,465,14052,55541
2006,1,"08","005","1",276409,14287,14242,1473953,1802510
2006,1,"08","007","1",5253,0,1875,0,236363
2006,1,"08","009","1",1803,205,258,26853,34165
2006,1,"08","011","1",2475,259,242,31251,31097
2006,1,"08","013","1",142342,4124,4504,477543,570816
2006,1,"08","014","1",22160,239,1363,25507,183809
2006,1,"08","015","1",8584,257,1419,30247,187357
2006,1,"08","017","1",226,1,36,16,5004
2006,1,"08","019","1",2283,0,331,0,38568
2006,1,"08","021","1",1413,0,256,0,34218
2006,1,"08","023","1",636,0,66,0,8865
2006,1,"08","025","1",1320,65,154,8332,20015
2006,1,"08","027","1",1394,2,238,144,32566
2006,1,"08","029","1",17223,162,6321,21431,864535
2006,1,"08","031","1",323848,23384,11362,2389449,1358671
2006,1,"08","033","1",172,4,58,312,8062
2006,1,"08","035","1",111244,1441,9989,129957,1214565
2006,1,"08","037","1",11733,2135,1576,297039,210662
2006,1,"08","039","1",7578,2,977,280,123371
2006,1,"08","041","1",286797,16028,17463,1563517,2042617
2006,1,"08","043","1",20167,543,1517,61942,200458
2006,1,"08","045","1",24810,785,2610,92759,334305
2006,1,"08","047","1",2019,1,494,93,67322
2006,1,"08","049","1",738,0,202,0,26611
2006,1,"08","051","1",6889,106,781,14463,105309
2006,1,"08","053","1",63,0,3,0,417
2006,1,"08","055","1",3215,247,151,32247,19637
2006,1,"08","057","1",224,0,25,0,3475
2006,1,"08","059","1",258196,8533,10420,843713,1312078
2006,1,"08","061","1",436,0,111,0,14327
2006,1,"08","063","1",3283,197,233,25807,31939
2006,1,"08","065","1",3415,490,318,61436,41098
2006,1,"08","067","1",24376,259,2356,34730,303446
2006,1,"08","069","1",145129,2866,13041,361382,1679886
2006,1,"08","071","1",7427,467,441,54223,54236
2006,1,"08","073","1",1198,0,268,0,35302
2006,1,"08","075","1",9427,413,587,52397,76811
2006,1,"08","077","1",67139,1605,3784,165067,467207
2006,1,"08","079","1",370,0,22,0,3058
2006,1,"08","081","1",6489,357,327,40813,43381
2006,1,"08","083","1",10202,279,1252,30267,157505
2006,1,"08","085","1",17891,461,1886,55886,233520
2006,1,"08","087","1",12171,483,663,54461,87842
2006,1,"08","089","1",9675,554,566,66245,73303
2006,1,"08","091","1",1382,0,178,0,23884
2006,1,"08","093","1",4750,3,338,146,38792
2006,1,"08","095","1",2206,86,290,10261,38937
2006,1,"08","097","1",9594,763,938,105878,128710
2006,1,"08","099","1",6032,465,649,57404,87859
2006,1,"08","101","1",74499,3977,3388,410966,433003
2006,1,"08","103","1",2321,278,293,37315,40727
2006,1,"08","105","1",6265,164,568,22621,77114
2006,1,"08","107","1",7193,4,3129,541,427936
2006,1,"08","109","1",946,0,218,0,27866
2006,1,"08","111","1",1,0,0,0,0
2006,1,"08","113","1",1900,93,650,12747,88239
2006,1,"08","115","1",1295,112,116,14004,13814
2006,1,"08","117","1",2254,0,407,0,52817
2006,1,"08","119","1",9762,25,1578,3500,205239
2006,1,"08","121","1",2291,93,234,12015,30428
2006,1,"08","123","1",106146,3698,15323,376654,1982057
2006,1,"08","125","1",4986,170,387,20639,49338
2006,1,"09","001","1",391425,5272,2737,675455,366446
2006,1,"09","003","1",411670,8259,7003,1107159,927780
2006,1,"09","005","1",83644,2708,3850,344762,516079
2006,1,"09","007","1",76341,1432,1871,179458,244607
2006,1,"09","009","1",391641,8585,4758,1160348,641826
2006,1,"09","011","1",126895,2500,6057,304333,785343
2006,1,"09","013","1",66611,693,8914,86671,1227060
2006,1,"09","015","1",47187,840,2546,104283,324683
2006,1,"10","001","1",67606,862,5565,112909,634844
2006,1,"10","003","1",246066,6313,12239,834647,1581401
2006,1,"10","005","1",115881,2384,23203,312036,3050923
2006,1,"11","001","1",338161,11962,10947,1438737,1433855
2006,1,"12","001","1",120456,2097,13023,229840,1643710
2006,1,"12","003","1",9825,165,2151,21362,272969
2006,1,"12","005","1",99994,3083,9102,357438,1027667
2006,1,"12","007","1",13556,318,4418,40719,604460
2006,1,"12","009","1",303466,11462,26329,1199376,3380888
2006,1,"12","011","1",929855,30657,31684,3572273,3873647
2006,1,"12","013","1",8607,346,3706,36703,507318
2006,1,"12","015","1",104610,5339,10597,658174,1299880
2006,1,"12","017","1",79832,3224,7592,331434,961862
2006,1,"12","019","1",81325,1291,9168,118183,1189106
2006,1,"12","021","1",222183,8830,19109,1012333,2391195
2006,1,"12","023","1",30319,913,9407,100240,1263749
2006,1,"12","027","1",13330,611,1697,66216,224402
2006,1,"12","029","1",6865,35,3296,2081,442460
2006,1,"12","031","1",446611,13828,29756,1430524,3591791
2006,1,"12","033","1",155836,6285,15058,740966,1919853
2006,1,"12","035","1",47364,89,8579,5989,1039026
2006,1,"12","037","1",5481,464,889,59926,122143
2006,1,"12","039","1",18361,857,1165,82593,144860
2006,1,"12","041","1",6846,240,1084,4149,118212
2006,1,"12","043","1",4723,13,1611,871,221012
2006,1,"12","045","1",8722,207,2332,22764,311785
2006,1,"12","047","1",4869,218,688,24234,92573
2006,1,"12","049","1",9978,498,2336,56781,316729
2006,1,"12","051","1",13369,230,2159,26281,282116
2006,1,"12","053","1",84382,3473,6369,426951,697350
2006,1,"12","055","1",63477,1995,9513,199570,1215619
2006,1,"12","057","1",594671,20575,39592,2218830,4745368
2006,1,"12","059","1",9426,97,1797,11277,237625
2006,1,"12","061","1",89323,3154,10742,304040,1403964
2006,1,"12","063","1",21345,521,2808,62476,368516
2006,1,"12","065","1",8467,235,1575,29771,210726
2006,1,"12","067","1",2918,169,1371,6860,189198
2006,1,"12","069","1",149149,3463,18005,347926,2299326
2006,1,"12","071","1",376606,12024,34757,1226123,4013785
2006,1,"12","073","1",135532,3765,9044,437301,1144630
2006,1,"12","075","1",18470,326,2693,30667,337983
2006,1,"12","077","1",3070,97,1259,1902,170051
2006,1,"12","079","1",11323,363,5468,44432,747672
2006,1,"12","081","1",187896,3918,17430,412797,2315149
2006,1,"12","083","1",168162,5881,15490,561076,1836965
2006,1,"12","085","1",86556,2255,6752,252597,890622
2006,1,"12","086","1",1094594,30673,48111,3573694,6063858
2006,1,"12","087","1",51632,1831,4606,236145,526073
2006,1,"12","089","1",42739,1023,12144,121644,1634860
2006,1,"12","091","1",111684,2808,14255,266024,1854920
2006,1,"12","093","1",18144,456,1813,57090,243441
2006,1,"12","095","1",525056,17289,35634,1678899,4192411
2006,1,"12","097","1",120643,1908,15707,224861,1872349
2006,1,"12","099","1",769340,31231,43774,3609525,5563063
2006,1,"12","101","1",238992,8928,19701,985551,2437075
2006,1,"12","103","1",570324,25506,29339,2717660,3772879
2006,1,"12","105","1",303524,11882,36640,1290481,4579679
2006,1,"12","107","1",39246,862,11151,99820,1511757
2006,1,"12","109","1",92826,1903,10172,186960,1174596
2006,1,"12","111","1",143088,4744,15822,470141,1945328
2006,1,"12","113","1",70259,2809,8098,189843,994316
2006,1,"12","115","1",251956,8042,18765,822950,2246046
2006,1,"12","117","1",202059,4951,13171,510867,1618781
