"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
6,97,192658,4247,6149,1885091,4471118
6,99,177954,5988,4671,1807442,3635986
6,101,33410,770,676,324708,524195
6,103,24582,966,762,404902,665252
6,105,1122,53,350,37443,365308
6,107,133611,1488,7197,619623,4820738
6,109,20735,497,1253,171019,1176094
6,111,279466,1467,4625,980893,3318936
6,113,73573,1399,2238,407063,1693557
6,115,27251,2433,2099,1127320,1682726
8,1,181671,5053,11129,2300985,10146829
8,3,6708,134,523,78067,445226
8,5,248879,7239,12953,3201227,11877777
8,7,5599,19,2105,5449,1953494
8,9,1583,192,262,160454,276809
8,11,2254,243,273,193528,256414
8,13,135211,2128,4617,956464,3466941
8,15,8607,247,2143,169387,1986667
8,17,230,0,50,0,53341
8,19,2364,0,445,0,357018
8,21,1583,1,434,824,345240
8,23,958,1,407,488,258214
8,25,1220,48,179,49141,169271
8,27,1608,3,414,2629,297444
8,29,17034,155,6314,85646,7210381
8,31,290612,12994,9215,6194937,7084346
8,33,180,4,64,2797,68145
8,35,110073,632,7778,206324,6416280
8,37,9255,1823,1461,1689638,1295644
8,39,8010,4,1121,2450,1023424
8,41,263150,10718,14431,4001161,11876730
8,43,18487,464,1465,245245,1355945
8,45,23036,577,2347,348154,1954929
8,47,1951,0,435,0,398114
8,49,755,1,205,210,194726
8,51,7043,164,1510,96787,1289110
8,53,40,1,7,572,6329
8,55,2970,250,194,182512,166418
8,57,207,0,42,0,27461
8,59,235485,4668,9789,1950960,8940815
8,61,442,0,123,0,120388
8,63,2941,145,315,109636,256737
8,65,3294,403,482,293800,351301
8,67,22520,96,2777,73236,2187076
8,69,137164,1578,14564,850901,12461834
8,71,6787,365,584,251145,515091
8,73,1122,7,315,2768,298582
8,75,8260,313,561,216893,505456
8,77,62036,956,3817,367406,2852819
8,79,328,2,59,1207,40201
8,81,5876,292,321,176216,276948
8,83,9504,275,1254,126108,1130584
8,85,17755,250,2643,143756,2101520
8,87,11014,347,765,209089,728962
8,89,8563,561,582,317506,521525
8,91,1542,1,359,42,227812
8,93,4922,1,701,343,400589
8,95,2005,99,302,50534,300358
8,97,7815,588,839,514046,869935
8,99,5097,575,432,306290,423594
8,101,69132,2665,2817,1687224,2700217
8,103,2314,259,373,148216,260674
8,105,6402,357,1145,148304,679019
8,107,7077,9,3099,6883,2990257
8,109,1026,3,286,105,267732
8,111,0,0,0,0,0
8,113,1543,18,404,12342,415069
8,115,1058,101,94,79032,92633
8,117,2488,0,555,0,513300
8,119,9730,9,1785,3190,1565091
8,121,2078,119,223,59697,192813
8,123,101710,2611,14165,1142272,14066465
8,125,4334,138,405,81120,373195
9,1,352139,5650,2138,3562590,1618269
9,3,371617,7617,4516,5095899,3986969
9,5,78793,2505,3269,1907639,3327611
9,7,71593,1756,1810,1128501,1707776
9,9,351698,9071,3116,5604776,2923242
9,11,118352,2572,5494,1740192,5701668
9,13,63776,864,8225,585140,9644847
9,15,44448,1621,2178,914856,2184200
10,1,71537,813,10941,422177,8887240
10,3,227420,4899,13016,3231006,9792946
10,5,122941,2110,32275,1473882,27287950
11,1,291775,10149,13859,7072667,8723145
12,1,116646,3577,11227,1371069,10408981
12,3,9329,409,1288,222066,1339228
12,5,102288,4785,13142,2285113,10241038
12,7,10416,293,1202,186786,1136023
12,9,286395,19176,21811,8902269,19923490
12,11,836513,43996,21689,22062455,16399961
12,13,5415,378,623,236624,546529
12,15,104485,4283,15956,2216179,11809963
12,17,80004,5223,6494,2748277,6185231
12,19,80749,2768,7295,1200870,6520575
12,21,205568,6055,25537,3144896,18808976
12,23,25335,1453,3052,793667,2616042
12,27,12632,139,2213,52575,1801521
12,29,6114,485,1704,258357,2017915
12,31,424359,14830,24808,7218685,19724915
12,33,148260,7782,13540,4576087,12723793
12,35,49711,3106,5691,1126560,4894694
12,37,5382,535,965,415573,891626
12,39,18728,1297,1183,850902,1001493
12,41,7096,535,994,389088,886337
12,43,5446,104,3007,45048,1557015
12,45,8524,430,2422,215335,2138338
12,47,4755,394,410,260980,345539
12,49,10435,140,3492,31037,2841327
12,51,13045,117,2499,81199,2034115
12,53,86120,939,10735,352170,6664127
12,55,60171,1475,10012,509997,7421562
12,57,564394,16241,55186,7430984,40499650
12,59,9077,322,1583,160662,1384552
12,61,85119,3993,9796,1981510,8603070
12,63,20953,1316,2558,748331,2446955
12,65,6201,228,679,164048,549702
12,67,2150,323,44,257182,35250
12,69,156650,7431,21461,3252979,16763812
12,71,373048,14579,50555,6251568,32482226
12,73,125845,3330,8367,2062214,7844060
12,75,18628,1142,2530,549677,2392637
12,77,2207,293,93,170223,78493
12,79,10252,401,3973,204935,4454694
12,81,183800,5055,20671,2254519,17248255
12,83,170118,11793,13984,5608277,12262757
12,85,81817,3695,6154,1897225,5315937
12,86,974971,33508,33486,15295959,22201572
12,87,45927,1997,4685,1393146,3433996
12,89,43933,1948,11565,1074288,11981192
12,91,101022,4282,9655,2224579,8571847
12,93,18514,738,2445,345781,1970550
12,95,486652,25253,28167,8956437,21380834
12,97,127641,8702,18987,3455175,14874345
12,99,687478,40643,30444,21729970,25715018
12,101,240068,7317,24896,3230911,16671048
12,103,511330,29652,21258,14600847,18574964
12,105,304674,9308,44147,3952861,35532565
12,107,38329,1707,10508,907896,11461191
12,109,95394,3788,11634,1810972,9174184
12,111,142102,10801,12836,4657295,9912785
12,113,69765,3345,7204,1849365,7265234
12,115,239364,9551,21459,3486786,17327808
12,117,183345,7724,9137,3164286,7537940
12,119,47648,1394,5796,593801,4286202
12,121,22494,1932,2061,1183151,1714108
12,123,8919,723,777,492226,700732
12,125,4448,138,478,100035,431028
12,127,258335,13561,17374,5937114,13942180
12,129,11916,774,862,316887,675081
12,131,43531,1831,7148,947339,6301088
12,133,10658,808,1285,461176,1089813
13,1,8552,1093,594,767495,428118
13,3,3073,148,1092,55474,1101410
13,5,5015,619,285,335001,218935
13,7,864,9,130,2650,107056
13,9,21893,1629,2066,1094990,1743853
13,11,7109,397,891,248920,706634
13,13,29359,1230,3881,506565,2939037
13,15,41932,1237,4240,685933,3248030
13,17,8565,564,924,352317,794411
13,19,9540,564,2866,279506,1937900
13,21,75629,6123,4272,4260140,3437619
13,23,8211,416,3580,212914,3380297
13,25,3446,177,2984,96407,356424
13,27,7206,647,783,348606,612282
13,29,12006,468,801,215698,560675
13,31,28358,1497,2171,818769,1662594
13,33,10171,858,1003,485882,729600
13,35,9292,772,606,397351,455621
13,37,2099,142,662,56585,623073
13,39,22016,1306,2947,589589,1964409
13,43,4013,505,165,260640,96829
13,45,48783,2990,4436,1499186,3859185
13,47,26960,1035,1266,522011,962934
13,49,3295,73,2334,26977,246193
13,51,121701,4841,8423,2736725,6132020
13,53,3407,297,231,149886,193704
13,55,10921,609,773,406702,625712
13,57,90448,2301,9749,980472,7480897
13,59,53961,2254,3687,1127515,2787372
13,61,1076,84,305,46400,276820
13,63,112830,6602,6103,2962125,5127657
13,65,3364,293,706,150785,798014
13,67,295358,10719,14298,4192373,10847043
13,69,17267,1616,1357,859850,1334268
13,71,19511,1066,2541,621727,2028554
13,73,48645,1543,4175,687126,2793769
13,75,7377,609,1102,326473,982743
13,77,48858,1578,2376,835242,2105921
