"fips","total","vac","nostat","vac_days","nostat_days"
72073,3126,56,256,31381,12425
72075,10437,57,445,26266,221854
72077,9517,215,1291,36045,433468
72079,4793,81,238,52426,122028
72081,5497,47,362,12478,99987
72083,2135,68,9,17944,3994
72085,7671,73,186,57053,111534
72087,3980,26,14,15521,10166
72089,6427,127,603,82708,414596
72091,14026,439,773,256952,527966
72093,1508,5,44,4315,16946
72095,3142,55,204,47465,171110
72097,33679,1475,2933,970199,2315359
72099,6781,135,233,71134,143989
72101,6473,56,194,33350,104633
72103,5660,227,163,122713,101958
72105,4380,18,207,4418,130336
72107,2625,24,36,18366,16169
72109,4395,83,196,58269,150772
72111,5517,38,624,25957,279004
72113,59755,1335,4919,823220,3285015
72115,7533,102,898,39297,558990
72117,4307,13,739,11219,547110
72119,13901,248,852,128142,576241
72121,7301,186,511,96004,268944
72123,8917,352,1140,270779,487977
72125,7899,239,272,139381,124913
72127,160077,4969,5344,3095568,3225742
72129,9672,102,295,56293,79684
72131,12179,363,609,174267,287812
72133,6240,430,482,81710,359304
72135,18705,185,680,83341,320374
72137,24545,319,1670,194578,883449
72139,19016,143,447,76346,226699
72141,6875,138,397,58511,92250
72143,8682,162,755,90184,460563
72145,17696,320,2169,231426,1772757
72147,4281,176,1038,123940,591246
72149,4825,144,321,22710,156638
72151,7722,48,313,32835,105080
72153,12441,405,544,200131,385869
1001,23102,254,2206,122900,1435988
1003,90799,811,13119,299042,8294325
1005,13171,327,2153,216238,1501938
1007,8438,87,1033,48409,688297
1009,24467,110,3221,56231,2197316
1011,4457,167,900,119007,705529
1013,10978,258,2028,160628,1509060
1015,57957,2544,7560,1425274,5093876
1017,17753,986,1674,635579,1052636
1019,12382,96,2033,59534,1433630
1021,19361,191,2910,97967,1926600
1023,6280,268,634,123785,481306
1025,11655,255,1988,127588,1378414
1027,8993,0,3094,0,2557816
1029,7104,87,1184,57341,826721
1031,23558,599,3057,277855,2042351
1033,27181,918,2649,522249,1891919
1035,5242,111,1068,46136,525225
1037,3838,0,705,0,506554
1039,18577,767,2828,427634,2098512
1041,8773,96,2249,52263,1787993
1043,38667,398,4804,166341,3198552
1045,22962,690,2595,379529,1705059
1047,22897,1780,2943,1281646,1892909
1049,29948,342,4527,154147,3094683
1051,33577,348,3557,200222,2321014
1053,18968,481,3708,262045,2676924
1055,49854,2561,3949,1317438,2645001
1057,8488,187,1330,109822,971068
1059,13910,140,1616,91149,1144791
1061,12556,350,1639,205637,1157896
1063,4569,108,1124,65209,943271
1065,7498,124,1173,91808,734469
1067,8609,159,1192,111482,820623
1069,47079,1036,4550,625438,2954770
1071,24527,298,3311,164227,2261616
1073,316071,21812,20159,11700468,13226458
1075,6516,0,1150,0,869236
1077,44025,1665,4042,884671,2754165
1079,15596,70,1989,28800,1310645
1081,71118,1881,7769,915300,5060369
1083,34684,415,3475,193104,2138490
1085,4874,17,973,8363,627171
1087,10466,726,1447,487170,941553
1089,147440,4416,7378,1938064,4063771
1091,10919,357,1521,229811,1180043
1093,13824,2,2297,1331,1652285
1095,42124,841,4434,387024,2915153
1097,179060,8279,12900,4349668,7967726
1099,8476,182,1440,97348,1049768
1101,107594,8274,6769,4378829,4391584
1103,54049,1506,4135,780537,2876360
1105,3198,162,330,118777,246146
1107,8438,129,1269,74555,951834
1109,16905,497,3110,282428,2244421
1111,11626,150,2050,88557,1469045
1113,26184,1302,3089,819184,2051266
1115,35200,187,5641,64079,3774007
1117,80143,176,7231,61944,4097825
1119,5046,189,774,127212,541802
1121,37686,966,4967,514484,3566405
1123,21558,406,2591,229202,1897352
1125,90910,3497,11262,1242179,7221804
1127,32202,640,5181,416738,3828047
1129,4784,0,489,0,270349
