"msa_fips","city","state"
"47300","Virginia Beach","VA"
"47380","Visalia","CA"
"47580","Waco","TX"
"47900","Warner Robins","GA"
"47940","Washington","DC"
"48140","Waterloo","IA"
"48260","Wausau","WI"
"48300","Weirton","WV"
"48540","Wenatchee","WA"
"48620","Wheeling","WV"
"48660","Wichita","KS"
"48700","Wichita Falls","TX"
"48900","Williamsport","PA"
"49020","Wilmington","NC"
"49180","Winchester","VA"
"49340","Winston","NC"
"49420","Worcester","MA"
"49620","Yakima","WA"
"49660","York","PA"
"49700","Youngstown","OH"
"49740","Yuba City","CA"
"","Yuma","AZ"
