"msa","year","price_rng","value"
"170",1998,350,0.9
"170",1998,450,0
"170",1998,550,0
"180",1998,15,1.9
"180",1998,35,5.5
"180",1998,45,5.7
"180",1998,55,7.7
"180",1998,65,9.9
"180",1998,75,9.8
"180",1998,85,11
"180",1998,95,9.6
"180",1998,110,11.7
"180",1998,130,8.5
"180",1998,150,5
"180",1998,170,5.6
"180",1998,190,3.2
"180",1998,225,2.5
"180",1998,275,1.4
"180",1998,350,0.6
"180",1998,450,0.2
"180",1998,550,0.1
"186",1998,15,0.3
"186",1998,35,0.3
"186",1998,45,0.6
"186",1998,55,1
"186",1998,65,2.1
"186",1998,75,2.9
"186",1998,85,4.2
"186",1998,95,5.6
"186",1998,110,12.6
"186",1998,130,17.1
"186",1998,150,12.7
"186",1998,170,9.1
"186",1998,190,6
"186",1998,225,10.8
"186",1998,275,5.9
"186",1998,350,5.1
"186",1998,450,1.6
"186",1998,550,2.2
"190",1998,15,4.1
"190",1998,35,3.6
"190",1998,45,6.5
"190",1998,55,8.5
"190",1998,65,10.3
"190",1998,75,13.1
"190",1998,85,11.9
"190",1998,95,7.7
"190",1998,110,9.9
"190",1998,130,7
"190",1998,150,6.2
"190",1998,170,3.8
"190",1998,190,2.4
"190",1998,225,2.6
"190",1998,275,1.3
"190",1998,350,0.8
"190",1998,450,0.2
"190",1998,550,0.2
"200",1998,15,1.8
"200",1998,35,1.8
"200",1998,45,3.2
"200",1998,55,4.7
"200",1998,65,6
"200",1998,75,7.4
"200",1998,85,8.3
"200",1998,95,7.5
"200",1998,110,11.7
"200",1998,130,11.5
"200",1998,150,8.3
"200",1998,170,6.2
"200",1998,190,4.3
"200",1998,225,6.8
"200",1998,275,3.7
"200",1998,350,3.3
"200",1998,450,1.3
"200",1998,550,2.2
"212",1998,15,0.1
"212",1998,35,0.3
"212",1998,45,0.8
"212",1998,55,2.2
"212",1998,65,3.7
"212",1998,75,7.2
"212",1998,85,8.2
"212",1998,95,9.5
"212",1998,110,14.9
"212",1998,130,13.2
"212",1998,150,10.6
"212",1998,170,8.1
"212",1998,190,5.8
"212",1998,225,8.2
"212",1998,275,3.1
"212",1998,350,2.4
"212",1998,450,0.9
"212",1998,550,0.9
"220",1998,15,1.6
"220",1998,35,2.1
"220",1998,45,6.4
"220",1998,55,12.4
"220",1998,65,17.7
"220",1998,75,13.9
"220",1998,85,11.9
"220",1998,95,5.5
"220",1998,110,8.7
"220",1998,130,6.9
"220",1998,150,4.2
"220",1998,170,2.7
"220",1998,190,1.4
"220",1998,225,2.5
"220",1998,275,1
"220",1998,350,0.8
"220",1998,450,0.3
"220",1998,550,0.2
"230",1998,15,0.4
"230",1998,35,0.8
"230",1998,45,1.9
"230",1998,55,5.4
"230",1998,65,10.4
"230",1998,75,8.9
"230",1998,85,7.9
"230",1998,95,6.7
"230",1998,110,10.9
"230",1998,130,11.3
"230",1998,150,8
"230",1998,170,7.3
"230",1998,190,4.5
"230",1998,225,6.8
"230",1998,275,3.1
"230",1998,350,3
"230",1998,450,1.2
"230",1998,550,1.2
"240",1998,15,6.5
"240",1998,35,6.5
"240",1998,45,8.3
"240",1998,55,10.4
"240",1998,65,12.3
"240",1998,75,11.4
"240",1998,85,9.6
"240",1998,95,5.8
