"state","county","year","births","deaths","domesticmig","gqestimates","internationalmig","naturalinc","netmig","npopchg_","popestimate","rbirth","rdeath","rdomesticmig","residual","rinternationalmig","rnaturalinc","rnetmig"
1,13,2004,274,294,-31,265,5,-20,-26,-60,20476,13.361942846,14.337267141,-1.511752658,-14,0.2438310738,-0.975324295,-1.267921584
1,13,2005,244,292,-78,265,2,-48,-76,-140,20336,11.95726747,14.309516809,-3.822405175,-16,0.0980103891,-2.352249338,-3.724394786
1,13,2006,281,291,-122,265,4,-10,-118,-138,20198,13.864903538,14.358316475,-6.019637835,-10,0.1973651749,-0.493412937,-5.82227266
1,13,2007,300,269,-45,265,0,31,-45,-21,20177,14.860681115,13.325077399,-2.229102167,-7,0,1.5356037152,-2.229102167
1,13,2008,287,283,-86,265,0,4,-86,-87,20090,14.254848884,14.056175032,-4.271487819,-5,0,0.198673852,-4.271487819
1,15,2001,1561,1388,-481,2418,60,173,-421,-345,111001,14.041115913,12.484989678,-4.326570631,-97,0.5396969602,1.5561262351,-3.78687367
1,15,2002,1492,1321,-311,2379,49,171,-262,-187,110814,13.452651985,11.91082659,-2.804138584,-96,0.4418096161,1.541825395,-2.362328968
1,15,2003,1413,1213,400,2489,27,200,427,494,111308,12.722737955,10.921925789,3.6016243326,-133,0.2431096424,1.8008121663,3.844733975
1,15,2004,1521,1313,24,2713,55,208,79,212,111520,13.651785233,11.784874432,0.2154127847,-75,0.4936542984,1.8669108012,0.7090670831
1,15,2005,1514,1345,322,2791,43,169,365,433,111953,13.549735315,12.037248348,2.8817799018,-101,0.384833962,1.5124869671,3.2666138639
1,15,2006,1490,1371,511,2779,53,119,564,628,112581,13.27193209,12.211958991,4.5516491934,-55,0.4720888596,1.0599730998,5.023738053
1,15,2007,1505,1296,3,2701,44,209,47,275,112856,13.351845527,11.497668972,0.0266149745,19,0.3903529589,1.8541765549,0.4169679334
1,15,2008,1544,1317,228,2701,45,227,273,563,113419,13.647110816,11.640702685,2.015246934,63,0.3977461054,2.0064081317,2.4129930394
1,17,2001,460,508,-250,518,17,-48,-233,-311,36251,12.635106368,13.95355225,-6.866905635,-30,0.4669495832,-1.318445882,-6.399956052
1,17,2002,429,467,-279,518,16,-38,-263,-329,35922,11.888102199,12.941127568,-7.731423108,-28,0.443379103,-1.05302537,-7.288044005
1,17,2003,446,460,-292,518,14,-14,-278,-328,35594,12.472733374,12.864254153,-8.16600481,-36,0.3915207786,-0.391520779,-7.774484032
1,17,2004,436,451,-216,518,18,-15,-198,-241,35353,12.290865012,12.713715872,-6.089052391,-28,0.5074210326,-0.422850861,-5.581631359
1,17,2005,415,480,-136,518,16,-65,-120,-217,35136,11.774886862,13.61914625,-3.858758104,-32,0.4539715417,-1.844259388,-3.404786562
1,17,2006,395,487,-282,518,19,-92,-263,-369,34767,11.301374762,13.933593694,-8.068323248,-14,0.5436104316,-2.632218932,-7.524712816
1,17,2007,414,445,-43,518,15,-31,-28,-54,34713,11.917098446,12.809441566,-1.237766264,5,0.4317789292,-0.89234312,-0.805987334
1,17,2008,424,462,-285,518,15,-38,-270,-289,34424,12.26550183,13.364768503,-8.244500051,19,0.4339210553,-1.099266673,-7.810578995
1,19,2001,286,237,-17,360,15,49,-2,21,24073,11.885714286,9.8493506494,-0.706493506,-26,0.6233766234,2.0363636364,-0.083116883
1,19,2002,268,292,92,360,12,-24,104,60,24133,11.118947849,12.114674522,3.8169522466,-20,0.4978633365,-0.995726673,4.3148155831
1,19,2003,262,276,43,360,9,-14,52,9,24142,10.854479544,11.434489902,1.7814603832,-29,0.3728638011,-0.580010357,2.1543241844
1,19,2004,267,304,175,360,13,-37,188,129,24271,11.030095222,12.558610291,7.2294631607,-22,0.5370458348,-1.528515068,7.7665089955
1,19,2005,253,271,0,360,11,-18,11,-29,24242,10.430193969,11.172263105,0,-22,0.4534866943,-0.742069136,0.4534866943
1,19,2006,262,266,247,360,13,-4,260,243,24485,10.753791532,10.917971556,10.138116445,-13,0.533585076,-0.164180023,10.671701521
1,19,2007,264,297,47,360,11,-33,58,29,24514,10.775730117,12.122696382,1.9184064981,4,0.4489887549,-1.346966265,2.367395253
1,19,2008,254,297,45,360,11,-43,56,31,24545,10.354878819,12.107870116,1.8345257751,18,0.4484396339,-1.752991296,2.282965409
1,21,2001,556,377,60,351,48,179,108,246,40024,13.934487857,9.4483847523,1.5037217112,-41,1.202977369,4.4861031052,2.7066990802
1,21,2002,505,408,310,351,47,97,357,425,40449,12.550793434,10.140046972,7.7044474544,-29,1.1680936463,2.4107464615,8.8725411007
1,21,2003,554,437,195,351,28,117,223,294,40743,13.646664696,10.76460735,4.8034289093,-46,0.6897231254,2.8820573456,5.4931520347
1,21,2004,530,457,306,351,31,73,337,374,41117,12.94893721,11.165404349,7.4761788419,-36,0.757390667,1.783532861,8.2335695089
1,21,2005,558,468,234,351,30,90,264,314,41431,13.519406891,11.338857392,5.669428696,-40,0.7268498328,2.1805494985,6.3962785289
1,21,2006,537,443,134,351,32,94,166,241,41672,12.923721165,10.661468298,3.2249136614,-19,0.7701286355,2.2622528669,3.9950422969
1,21,2007,566,446,376,351,25,120,401,524,42196,13.497400677,10.635760958,8.9664711213,3,0.5961749416,2.8616397196,9.5626460629
1,21,2008,573,424,77,351,25,149,102,248,42444,13.539697543,10.018903592,1.8194706994,-3,0.5907372401,3.5207939509,2.4102079395
1,23,2001,195,162,-225,133,4,33,-221,-201,15650,12.380559347,10.285387765,-14.28526079,-13,0.2539601917,2.0951715819,-14.03130059
1,23,2002,204,184,-327,133,3,20,-324,-317,15333,13.168511765,11.877481199,-21.10834974,-13,0.1936545848,1.2910305651,-20.91469516
1,23,2003,193,168,-198,133,-2,25,-200,-186,15147,12.664041995,11.023622047,-12.99212598,-11,-0.131233596,1.6404199475,-13.12335958
1,23,2004,166,176,-264,133,3,-10,-261,-286,14861,11.063716342,11.730205279,-17.59530792,-15,0.1999466809,-0.666488936,-17.39536124
1,23,2005,181,184,-394,133,1,-3,-393,-404,14457,12.347363395,12.552015826,-26.87768606,-8,0.0682174773,-0.204652432,-26.80946859
1,23,2006,169,155,-117,133,3,14,-114,-108,14349,11.733666597,10.761646879,-8.123307644,-8,0.2082899396,0.9720197181,-7.915017705
1,23,2007,161,187,-161,133,0,-26,-161,-182,14167,11.291906298,13.115443961,-11.2919063,5,0,-1.823537663,-11.2919063
1,23,2008,160,192,-78,133,0,-32,-78,-112,14055,11.338671958,13.60640635,-5.52760258,-2,0,-2.267734392,-5.52760258
1,25,2001,432,295,-319,387,0,137,-319,-205,27627,15.579076435,10.638489695,-11.50399394,-23,0,4.9405867398,-11.50399394
1,25,2002,363,305,-410,387,0,58,-410,-366,27261,13.226934849,11.1135403,-14.93951319,-14,0,2.1133945489,-14.93951319
1,25,2003,351,257,-270,387,-1,94,-271,-200,27061,12.922940982,9.4620963882,-9.940723832,-23,-0.036817496,3.4608445934,-9.977541328
1,25,2004,351,293,-169,387,0,58,-169,-132,26929,13.002407853,10.853861826,-6.260418596,-21,0,2.148546027,-6.260418596
1,25,2005,349,269,-261,387,0,80,-261,-206,26723,13.009766644,10.027585179,-9.729367032,-25,0,2.9821814657,-9.729367032
1,25,2006,316,305,8,387,0,11,8,6,26729,11.823692285,11.41210806,0.2993339819,-13,0,0.4115842251,0.2993339819
1,25,2007,318,259,-322,387,0,59,-322,-260,26469,11.955336667,9.7372081657,-12.10571826,3,0,2.2181285011,-12.10571826
1,25,2008,329,289,-203,387,-1,40,-204,-165,26304,12.468497148,10.952570443,-7.693328028,-1,-0.037898168,1.5159267049,-7.731226195
1,27,2001,190,169,-20,266,4,21,-16,-8,14256,13.32398317,11.851332398,-1.402524544,-13,0.2805049088,1.4726507714,-1.122019635
1,27,2002,164,170,-72,266,3,-6,-69,-88,14168,11.539544047,11.961722488,-5.066141289,-13,0.2110892204,-0.422178441,-4.855052069
1,27,2003,130,172,-54,266,1,-42,-53,-110,14058,9.2113654078,12.187345001,-3.826259477,-15,0.070856657,-2.975979593,-3.75540282
1,27,2004,159,193,-89,266,4,-34,-85,-131,13927,11.363230302,13.793103448,-6.360550295,-12,0.285867429,-2.429873146,-6.074682866
1,27,2005,125,173,-37,266,2,-48,-35,-96,13831,9.0064125657,12.464874991,-2.665898119,-13,0.1441026011,-3.458462425,-2.521795518
1,27,2006,167,180,-43,266,3,-13,-40,-59,13772,12.100134043,13.042060646,-3.115603376,-6,0.2173676774,-0.941926602,-2.898235699
1,27,2007,154,166,26,266,2,-12,28,22,13794,11.173184358,12.0438221,1.8863817746,6,0.1451062904,-0.870637742,2.031488065
1,27,2008,140,158,26,266,1,-18,27,15,13809,10.143824947,11.448031011,1.8838532044,6,0.0724558925,-1.304206065,1.9563090968
1,29,2001,188,141,-7,113,14,47,7,39,14194,13.263254436,9.9474408268,-0.49384458,-15,0.9876891601,3.3158136089,0.4938445801
1,29,2002,161,158,173,113,11,3,184,178,14372,11.272141707,11.062101799,12.112301337,-9,0.7701463278,0.2100399076,12.882447665
1,29,2003,154,194,48,113,10,-40,58,2,14374,10.714534196,13.497530091,3.3395950741,-16,0.6957489738,-2.782995895,4.0353440479
1,29,2004,170,176,-105,113,11,-6,-94,-114,14260,11.873995949,12.293078159,-7.333938674,-14,0.7683173849,-0.41908221,-6.565621289
1,29,2005,175,167,5,113,11,8,16,13,14273,12.26649844,11.705744226,0.350471384,-11,0.7710370448,0.5607542144,1.1215084288
1,29,2006,179,153,164,113,11,26,175,194,14467,12.456506611,10.647181628,11.412665275,-7,0.7654836465,1.8093249826,12.178148921
1,29,2007,182,168,210,113,11,14,221,235,14702,12.47900168,11.519078474,14.398848092,0,0.7542253763,0.9599232061,15.153073468
1,29,2008,186,185,89,113,10,1,99,97,14799,12.609742043,12.541947731,6.0336937731,-3,0.6779431206,0.0677943121,6.7116368937
1,31,2001,540,444,-60,779,41,96,-19,36,43579,12.396409632,10.192603476,-1.377378848,-41,0.9412088795,2.2038061569,-0.436169969
1,31,2002,525,433,150,778,-29,92,121,175,43754,12.022946652,9.9160683819,3.435127615,-38,-0.664124672,2.1068782705,2.7710029428
1,31,2003,556,452,486,772,-145,104,341,423,44177,12.646279469,10.280788345,11.054121982,-22,-3.298040509,2.3654911237,7.756081473
1,31,2004,565,497,377,681,114,68,491,517,44694,12.715058906,11.184750931,8.4842074467,-42,2.5655163102,1.5303079745,11.049723757
1,31,2005,589,457,335,705,12,132,347,439,45133,13.114097098,10.175114387,7.4587818807,-40,0.2671802465,2.9389827112,7.7259621272
1,31,2006,582,476,293,754,78,106,371,455,45588,12.830546401,10.493711489,6.459364425,-22,1.719557765,2.3368349114,8.17892219
1,31,2007,636,474,964,780,24,162,988,1165,46753,13.77502951,10.266295578,20.87913278,15,0.5198124343,3.5087339318,21.398945214
1,31,2008,642,485,801,780,36,157,837,1000,47753,13.586438956,10.263898588,16.951304679,6,0.7618563901,3.3225403678,17.713161069
1,33,2001,612,654,-105,592,15,-42,-90,-188,54837,11.141249932,11.905845515,-1.911488959,-56,0.2730698513,-0.764595584,-1.638419108
1,33,2002,648,586,-273,592,13,62,-260,-251,54586,11.843945057,10.710728092,-4.989810186,-53,0.2376100089,1.1332169654,-4.752200177
1,33,2003,605,646,-170,592,5,-41,-165,-280,54306,11.111927414,11.864967123,-3.122359769,-74,0.0918341109,-0.753039709,-3.030525658
1,33,2004,560,596,171,592,13,-36,184,105,54411,10.301976692,10.964246622,3.1457821684,-43,0.2391530303,-0.66226993,3.3849351987
1,33,2005,630,633,9,592,10,-3,19,-36,54375,11.582372732,11.637526888,0.1654624676,-52,0.1838471862,-0.055154156,0.3493096538
1,33,2006,598,636,108,592,13,-38,121,57,54432,10.991939857,11.690424329,1.9851663955,-26,0.2389552143,-0.698484473,2.2241216098
1,33,2007,633,654,90,592,11,-21,101,87,54519,11.619902525,12.005396922,1.6521188424,7,0.2019256363,-0.385494397,1.8540444787
1,33,2008,625,640,146,592,11,-15,157,144,54663,11.448773607,11.723544174,2.6744335147,2,0.2014984155,-0.274770567,2.8759319302
