"pop08","pop00_est","pop_change_perc","pop_change","pop00","pop_under5","pop_under5_perc","pop_under18","pop_under18_perc","pop_over65","pop_over65_perc","pop_female","pop_white","pop_black","pop_indian","pop_asian","pop_pi","pop_multiracial","pop_hispanic","pop_nonhispanic","pop_white_perc","pop_black_perc","pop_indian_perc","pop_asian_perc","pop_pi_perc","pop_multiracial_perc","pop_hispanic_perc","pop_nothispanic_perc","births","deaths","deaths_infact","same_house_perc","foreign_born_perc","foreign_lang_perc","gse_perc","bachelor_perc","disabled","travel_time","houses07","houses_change","houses_change_perc","owner_occupied","value00","units_in_structure","household","household_size","income_percap_99","income_hhold_07","poverty_perc","income_personal_06","income_percap_06","laborforce","unemploy","unemploy_rate","employ_all","employ_change","employ_govt","earnings","earnings_job","employers","employ_private","employ_private_change","nonemployer","hospitality","firms","firms_black_perc","firms_indian_perc","firms_asian_perc","firms_hispanic_perc","firms_pi_perc","firms_female_perc","manufact","trade_wholesale","trade_retail","trade_retail_percap","houses_new","houses_new_value","farms","govt_exp","govt_exp_percap","area","popdens","state","county"
2010,2259,-11,-249,2259,128,6.5,504,25.4,18.4,364,50.2,1911,3,29,5,8,27,27,1890,96.4,0.2,1.5,0.3,0.4,1.4,1.4,95.3,22,26,0,69,2.9,16,69,13.5,395,18.8,1144,-10,-0.9,72.6,53100,6.2,853,2.24,11954,28654,19,49,24808,1041,31,3,1144,41,212,21699,18968,62,323,3.9,157,1484,199,0,0,0,0,0,0,0,5459,6561,3025,0,0,841643,19401,9784,1423.09,1.6,30,107
866,1068,-18.9,-202,1068,29,3.2,169,18.8,23.6,212,52,879,1,5,1,0,12,4,875,97.9,0.1,0.6,0.1,0,1.3,0.4,97.4,6,16,0,69.8,1.4,3.9,76.8,16,254,19.5,585,-2,-0.3,73.4,37500,11.8,421,2.45,16121,35045,13,21,23676,511,13,2.5,689,21,119,11183,16231,28,167,5,89,448,96,0,0,0,0,0,0,0,0,2953,2953,0,0,535786,21188,23595,889.31,1.2,30,109
142348,129350,10,12998,129352,9498,6.8,33891,24.2,13.7,19115,50.9,129039,1744,5324,1139,150,2540,6842,123149,92.2,1.2,3.8,0.8,0.1,1.8,4.9,88,1874,1212,13,52.3,1.4,4.8,88.5,26.4,21017,17.9,58737,4174,7.6,69.2,101900,19.9,52084,2.43,19303,47947,9.7,4837,35021,81464,1932,2.4,101054,11854,9441,3854694,38145,5353,67900,15.3,10539,274959,14009,0,1,0,0.9,0,28,2128044,0,1944727,14738,631,92723,1568637,890346,6363,2635.15,49.1,30,111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,113
33238,31151,6.7,2087,31151,2171,6.6,7753,23.5,15,4950,50.6,31482,264,149,824,11,260,2176,29421,95.4,0.8,0.5,2.5,0,0.8,6.6,89.2,440,315,7,54.2,4.4,7.1,86.3,19.9,4933,15.5,13934,920,7.1,66.8,77200,18.8,12141,2.43,18308,41503,11.6,914,27733,17028,490,2.9,21123,328,2605,622207,29456,978,13613,-4.3,1922,34044,2712,0,0,0,0,0,27.5,0,0,293103,9472,113,20168,344309,179705,5447,563.41,55.3,31,1
6679,7452,-10.4,-773,7452,339,5,1477,21.9,20.8,1407,50.4,6693,6,24,5,0,29,102,6591,99.1,0.1,0.4,0.1,0,0.4,1.5,97.5,80,76,0,69.4,0.4,2.6,85.5,14.3,1127,18.6,3405,59,1.8,76.4,44600,4.3,2953,2.49,14601,36761,14.1,185,27167,3603,106,2.9,4908,104,588,107917,21988,226,1355,-10.6,604,2714,753,0,0,0,0,0,0,0,102728,80452,11078,31,4561,526896,69739,10321,857.06,8.7,31,3
338,444,-23.9,-106,444,28,7.9,86,24.2,14.3,51,50.3,347,0,1,2,1,5,7,341,97.5,0,0.3,0.6,0.3,1.4,2,95.8,3,4,0,64.8,0.7,2.1,89.5,15.7,53,18.7,280,7,2.6,63.2,44300,1.1,185,2.4,15810,34241,11.3,7,20226,240,9,3.8,335,48,47,1077,3215,13,22,-65.1,36,0,45,0,0,0,0,0,0,0,0,0,0,0,0,436252,2652,7449,715.37,0.6,31,5
735,819,-10.3,-84,819,23,3.1,135,18.4,21.1,155,48.8,725,1,2,1,0,5,48,681,98.8,0.1,0.3,0.1,0,0.7,6.5,92.8,5,5,0,68,0.9,3.7,94.2,19.6,104,24.1,385,10,2.7,64.6,45800,2.4,311,2.63,17149,37746,13.5,17,23434,435,9,2.1,452,38,77,8988,19885,6,0,0,39,0,35,0,0,0,0,0,0,0,0,0,0,0,0,411153,8323,11339,746.22,1.1,31,7
428,583,-26.6,-155,583,25,5.6,93,20.8,23.4,105,49.3,441,0,3,1,0,3,1,440,98.4,0,0.7,0.2,0,0.7,0.2,98.2,4,6,0,74.3,0.3,4.2,93.4,12.3,57,20.9,342,9,2.7,65.5,22500,0.6,238,2.45,12323,30647,17.6,9,19765,230,10,4.3,452,50,88,3215,7113,7,22,-46.3,43,0,50,0,0,0,0,0,0,0,0,0,0,0,0,441119,4044,9027,710.74,0.8,31,9
5446,6259,-13,-813,6259,270,4.9,1273,23,20.7,1145,49.9,5507,3,3,2,2,10,70,5439,99.6,0.1,0.1,0,0,0.2,1.3,98.4,59,87,0,68.2,0.9,3.1,84.4,13.1,866,16.4,2787,54,2,75.1,50700,6.4,2454,2.5,15831,37466,9.5,152,27329,3133,80,2.6,3821,129,641,87358,22863,189,1340,-11,472,2641,634,0,0,0,0,0,22.4,0,113362,62244,10238,8,1323,430712,46580,8428,686.69,9.1,31,11
